DateTime,AddedIPs,RemovedIPs
1488264320,277,0
1488285922,73,0
1488305958,44,0
1488327338,398,146
1488348927,792,0
1488370519,153,0
1488392107,149,0
1488413735,268,1276
1488435370,247,0
1488456926,108,0
1488478507,229,0
1488498880,229,313
1488519927,200,0
1488541628,175,0
1488563357,247,0
1488585296,106,414
1488606364,307,0
1488628058,188,0
1488649501,139,0
1488670513,275,389
1488691267,265,0
1488713214,145,0
1488734103,251,0
1488754404,247,664
1488775561,195,0
1488797122,119,0
1488818728,197,0
1488840322,181,896
1488861896,211,0
1488883511,136,0
1488905110,68,0
1488926736,377,575
1488948315,329,0
1488969925,106,0
1488991509,175,0
1489013155,312,468
1489034863,224,0
1489056317,128,0
1489077922,191,0
1489099530,290,130
1489121133,177,0
1489142726,289,0
1489164337,119,0
1489185914,459,888
1489204411,413,0
1489223749,91,0
1489245307,122,0
1489265142,273,0
1489285665,272,481
1489306539,120,0
1489322719,42,0
1489344534,216,0
1489364212,285,1039
1489384095,168,0
1489405652,213,0
1489427147,274,0
1489448112,270,686
1489468718,66,0
1489488354,115,0
1489506339,199,0
1489524352,330,0
1489546017,274,513
1489567837,177,0
1489589137,190,0
1489610718,445,0
1489632318,310,433
1489650553,79,0
1489671928,207,0
1489693537,309,0
1489715140,353,291
1489736711,199,0
1489754716,84,0
1489776358,380,0
1489797925,387,749
1489819531,136,0
1489841118,63,0
1489859109,81,0
1489877119,415,628
1489893329,20,0
1489909539,27,0
1489931123,37,0
1489952693,114,0
1489974321,650,584
1489988705,229,0
1490006800,116,0
1490026536,230,0
1490046366,63,0
1490067924,274,365
1490089534,297,0
1490111138,187,0
1490132710,290,0
1490154348,288,1399
1490175968,189,0
1490197575,135,0
1490219134,328,0
1490240721,275,665
1490262320,171,0
1490283936,224,0
1490305709,315,0
1490327108,239,237
1490348702,73,0
1490370344,70,0
1490391907,274,0
1490413514,294,1032
1490435139,105,0
1490456700,170,0
1490471134,293,0
1490492736,277,1135
1490514537,91,0
1490535925,115,0
1490557513,72,0
1490579107,250,1062
1490600696,213,0
1490616939,101,0
1490638555,164,0
1490656546,256,1037
1490676313,73,0
1490698037,136,0
1490719521,117,0
1490740521,292,1010
1490760916,286,0
1490777111,116,0
1490795139,99,0
1490816724,165,0
1490838328,168,899
1490856293,244,0
1490874333,99,0
1490892318,237,0
1490913426,228,253
1490933723,150,0
1490949905,62,0
1490971768,112,0
1490985948,185,0
1491007547,210,1294
1491029343,162,0
1491050707,186,0
1491072342,209,0
1491093922,40,987
1491101116,237,0
1491122711,69,0
1491144293,136,0
1491165877,276,0
1491187516,1353,1023
1491209169,415,0
1491230714,225,0
1491252494,306,0
1491270337,262,209
1491292134,157,0
1491313505,122,0
1491336954,307,0
1491356967,319,1586
1491378294,172,0
1491399940,273,0
1491420175,247,0
1491441309,59,1022
1491462937,198,0
1491484550,120,0
1491506310,158,0
1491527720,340,322
1491549309,194,0
1491569311,98,0
1491590732,310,0
1491612345,209,1366
1491634046,131,0
1491655545,212,0
1491677151,428,0
1491698938,213,1009
1491718561,124,0
1491736520,151,0
1491756341,105,0
1491777426,393,0
1491797736,268,781
1491817538,139,0
1491839137,496,0
1491860720,161,0
1491882407,218,974
1491903919,244,0
1491925635,101,0
1491939928,365,0
1491957931,244,923
1491979518,141,0
1492001183,99,0
1492022735,191,0
1492044323,888,683
1492065929,424,0
1492087536,241,0
1492109119,137,0
1492130735,377,687
1492152307,270,0
1492170341,91,0
1492191941,326,0
1492213745,301,854
1492235168,214,0
1492256743,249,0
1492272920,52,0
1492289103,402,0
1492310731,41,1207
1492332319,468,0
1492350350,128,0
1492371926,370,0
1492393559,77,1037
1492411631,334,0
1492427737,183,0
1492449334,198,0
1492471191,291,863
1492492558,153,0
1492514184,134,0
1492535739,214,0
1492557384,76,899
1492578938,471,0
1492600578,164,0
1492622210,198,0
1492643786,302,730
1492665360,213,0
1492684276,92,0
1492703159,201,0
1492722935,153,0
1492744536,57,762
1492766159,154,0
1492787741,42,0
1492809403,385,0
1492830966,656,865
1492850719,196,0
1492872327,113,0
1492893941,196,0
1492915543,459,1165
1492937142,118,0
1492958738,171,0
1492980345,274,0
1493001953,37,843
1493023570,219,0
1493045173,48,0
1493066784,54,0
1493088343,465,654
1493108175,150,0
1493129750,89,0
1493151359,192,0
1493172961,192,741
1493194561,169,0
1493216447,99,0
1493237850,270,0
1493259372,253,773
1493281160,130,0
1493302601,257,0
1493324295,598,0
1493345759,390,996
1493367396,129,0
1493388950,206,0
1493410534,513,0
1493430713,681,847
1493451958,513,0
1493473582,309,0
1493495196,831,0
1493516975,601,2203
1493534763,194,0
1493556321,295,0
1493577913,308,0
1493599528,76,770
1493617585,407,0
1493630140,255,0
1493651737,275,0
1493673392,540,0
1493694999,354,686
1493731205,125,0
1493747167,314,0
1493768806,432,781
1493790352,166,0
1493812132,230,0
1493833755,415,0
1493855184,73,834
1493876760,364,0
1493898368,109,0
1493919993,90,0
1493941639,288,815
1493961384,326,0
1493983054,174,0
1494002803,285,0
1494023939,318,0
1494044186,190,839
1494063999,1,0
1494085567,321,0
1494098227,269,0
1494119784,210,2129
1494141361,131,0
1494161346,161,0
1494182982,79,0
1494204351,191,1005
1494225968,286,0
1494245752,41,0
1494265581,216,0
1494287181,195,776
1494308761,124,0
1494330373,108,0
1494351961,279,0
1494373570,184,797
1494395374,101,0
1494416731,70,0
1494438327,79,0
1494459975,172,710
1494481590,15,0
1494503227,11,0
1494524765,16,0
1494546379,20,957
1494567958,148,0
1494582328,35,0
1494603938,49,0
1494625560,25,0
1494647140,60,1165
1494666956,10,0
1494688543,6,0
1494710111,5,0
1494731740,721,1638
1494746132,102,0
1494767709,59,0
1494789537,274,0
1494810932,206,1449
1494836247,62,0
1494857783,156,0
1494879368,135,0
1494900952,91,1020
1494915363,174,0
1494936955,45,0
1494956771,118,0
1494978365,151,962
1494999937,140,0
1495019787,54,0
1495041355,132,0
1495061816,191,0
1495077329,179,1117
1495098965,159,0
1495120541,86,0
1495142165,278,0
1495163732,97,854
1495183542,101,0
1495205118,82,0
1495226716,157,0
1495248368,204,1452
1495259193,88,0
1495280764,150,0
1495302322,55,0
1495323938,230,15243
1495331324,180,0
1495352735,66,0
1495374368,59,0
1495396118,250,0
1495417534,44,571
1495428333,166,0
1495446327,71,0
1495466142,145,0
1495487729,221,0
1495509331,24,506
1495521957,301,0
1495543547,80,0
1495565172,117,0
1495586715,179,841
1495608361,120,0
1495629947,55,0
1495651717,253,0
1495673122,131,14
1495694718,84,0
1495710916,69,0
1495732522,189,0
1495754154,366,0
1495775714,309,1466
1495795678,99,0
1495817102,184,0
1495839154,283,0
1495860333,243,804
1495882075,30,0
1495898067,23,0
1495912478,288,0
1495932276,256,967
1495953908,116,0
1495975500,164,0
1495997063,8,0
1496018866,382,891
1496027888,313,0
1496047709,108,0
1496069073,248,0
1496090660,174,0
1496112269,303,906
1496133891,277,0
1496155700,178,0
1496177077,310,0
1496198679,182,834
1496213085,141,0
1496234698,65,0
1496256366,343,0
1496278169,101,805
1496294174,125,0
1496314136,28,0
1496330205,99,0
1496351688,271,0
1496373276,173,878
1496394897,39,0
1496416459,3,0
1496438275,228,0
1496456075,227,1028
1496468645,141,0
1496488468,93,0
1496510045,49,0
1496531645,133,0
1496553235,210,1116
1496560437,59,0
1496582049,108,0
1496603650,383,0
1496625269,166,1113
1496646859,196,0
1496668466,101,0
1496688255,151,0
1496709882,250,934
1496731537,158,0
1496745941,77,0
1496767465,209,0
1496789545,48,0
1496810704,184,100
1496832402,103,0
1496853860,59,0
1496874535,172,0
1496895271,351,351
1496911457,267,0
1496933051,286,0
1496954666,381,0
1496976275,167,822
1496987089,30,0
1497001444,80,0
1497023138,141,0
