DateTime,AddedIPs,RemovedIPs
1498500428,0,4
1498504038,0,1
1498507627,5,2
1498511245,1,8
1498514833,1,0
1498522071,1,19
1498525618,3,3
1498529247,1,9
1498532818,7,3
1498536440,8,3
1498540052,4,4
1498543628,20,1
1498547223,2,1
1498550825,1,0
1498554429,0,1
1498558041,3,3
1498561629,3,1
1498565232,1,15
1498568848,2,3
1498572437,2,6
1498576035,6,10
1498579616,23,2
1498586841,2,6
1498590438,1,3
1498594043,0,28
1498597633,3,4
1498601236,4,4
1498604827,33,1
1498608446,8,0
1498612051,1,1
1498619275,0,4
1498622849,0,14
1498626468,1,2
1498630043,16,8
1498633662,1,1
1498637226,8,0
1498640831,4,0
1498644450,1,2
1498648045,0,1
1498651627,4,0
1498655226,0,1
1498658853,1,2
1498662444,2,1
1498666060,0,1
1498669658,1,6
1498673264,6,6
1498676853,7,10
1498680445,2,1
1498684027,7,0
1498687654,1,7
1498691263,0,3
1498694899,0,1
1498698432,9,5
1498702056,2,2
1498705638,1,3
1498709249,2,1
1498712853,1,20
1498716455,0,11
1498720062,5,6
1498723636,30,2
1498727257,0,2
1498730846,6,0
1498738043,1,8
1498741673,0,2
1498745255,0,22
1498748854,29,1
1498752444,6,1
1498756057,1,0
1498759672,5,2
1498763253,0,9
1498766851,0,7
1498770448,1,0
1498774045,15,2
1498777655,0,2
1498781288,4,1
1498788446,1,10
1498792039,10,0
1498795646,0,2
1498799249,2,0
1498802845,2,1
1498806449,0,10
1498810040,2,2
1498813643,1,19
1498817240,4,7
1498820832,24,2
1498824451,9,0
1498831639,1,0
1498835245,0,1
1498838846,0,7
1498842447,1,3
1498846059,2,0
1498849647,3,3
1498853251,3,12
1498856828,14,2
1498860427,7,1
1498864043,0,5
1498867688,3,2
1498871249,0,2
1498874852,1,15
1498878445,7,0
1498882065,5,1
1498885640,7,3
1498889229,1,1
1498896433,1,0
1498900055,0,5
1498903637,2,0
1498910844,1,4
1498914469,1,1
1498918046,7,4
1498921658,0,1
1498925261,1,6
1498928836,1,3
1498932438,8,1
1498936059,0,1
1498939630,6,0
1498943250,1,1
1498946841,2,6
1498950452,0,2
1498954097,1,12
1498957645,16,0
1498961238,1,0
1498972057,0,2
1498975633,2,4
1498979235,4,0
1498982850,1,0
1498990037,2,1
1498993634,2,3
1499000837,1,0
1499004458,1,0
1499008047,0,7
1499011647,0,2
1499015257,6,1
1499018849,3,8
1499022458,3,6
1499026049,5,4
1499029652,2,3
1499033247,0,13
1499036853,4,7
1499040495,2,6
1499043998,23,1
1499047656,3,1
1499051212,5,0
1499054825,0,3
1499058411,5,2
1499062029,1,1
1499065613,0,1
1499072819,0,5
1499076419,2,2
1499080022,3,10
1499083631,0,1
1499087218,11,5
1499090804,2,1
1499094452,1,2
1499098013,4,0
1499101623,6,5
1499105247,1,0
1499112420,0,6
1499116011,2,20
1499119635,13,5
1499123211,19,0
1499126865,2,0
1499130469,2,2
1499134016,2,2
1499137630,0,5
1499141231,3,0
1499144825,0,1
1499148438,1,7
1499152021,1,8
1499155656,4,17
1499159217,6,0
1499162838,4,7
1499166432,3,7
1499170025,7,4
1499173630,5,7
1499177240,14,0
1499180820,11,1
1499184448,2,2
1499188049,1,1
1499191675,1,2
1499195226,2,15
1499198828,8,3
1499202437,2,2
1499206009,15,2
1499209605,0,3
1499213283,1,3
1499216835,7,1
1499220431,1,4
1499224016,2,1
1499227654,0,3
1499231234,1,1
1499234797,2,3
1499238426,2,2
1499245615,5,1
1499249244,2,4
1499252820,4,1
1499256435,1,0
1499260024,1,12
1499263631,2,1
1499267252,0,19
1499270831,1,3
1499274440,2,3
1499278022,20,2
1499281648,0,3
1499285244,3,1
1499288829,0,1
1499292433,1,5
1499296040,6,2
1499299663,4,12
1499303233,4,5
1499306833,2,9
1499310454,13,2
1499314001,15,4
1499317642,2,3
1499321230,4,1
1499324810,8,1
1499328421,2,2
1499332037,3,1
1499335649,1,1
1499339227,0,8
1499342825,2,17
1499346458,0,11
1499350041,7,10
1499353639,4,4
1499357247,3,2
1499360824,5,4
1499364439,5,4
1499368038,5,2
1499371647,4,6
1499375229,2,3
1499378840,1,5
1499382437,23,4
1499386071,2,2
1499389643,5,3
1499393240,1,1
1499396832,7,4
1499400437,2,2
1499404038,1,3
1499407626,2,1
1499411224,4,23
1499414834,5,3
1499418445,17,3
1499422056,2,2
1499425618,7,4
1499432829,5,6
1499436421,12,0
1499440030,0,2
1499443636,1,0
1499447218,0,4
1499450843,1,24
1499454440,5,9
1499458040,4,1
1499461644,7,8
1499465239,5,1
1499468835,10,2
1499472468,2,4
1499476088,1,7
1499479632,22,0
1499483228,3,5
1499486857,0,2
1499490449,0,2
1499494044,0,25
1499497655,14,4
1499501240,26,0
1499504835,1,0
1499512031,0,1
1499515657,0,2
1499519258,1,5
1499522826,3,1
