DateTime,Entries,UniqueIPs
1498543628,101,101
1498547223,102,102
1498550825,103,103
1498554429,102,102
1498558041,102,102
1498561629,104,104
1498565232,90,90
1498568848,89,89
1498572437,85,85
1498576035,81,81
1498579616,102,102
1498586841,98,98
1498590438,96,96
1498594043,68,68
1498597633,67,67
1498601236,67,67
1498604827,99,99
1498608446,107,107
1498612051,107,107
1498619275,103,103
1498622849,89,89
1498626468,88,88
1498630043,96,96
1498633662,96,96
1498637226,104,104
1498640831,108,108
1498644450,107,107
1498648045,106,106
1498651627,110,110
1498655226,109,109
1498658853,108,108
1498662444,109,109
1498666060,108,108
1498669658,103,103
1498673264,103,103
1498676853,100,100
1498680445,101,101
1498684027,108,108
1498687654,102,102
1498691263,99,99
1498694899,98,98
1498698432,102,102
1498702056,102,102
1498705638,100,100
1498709249,101,101
1498712853,82,82
1498716455,71,71
1498720062,70,70
1498723636,98,98
1498727257,96,96
1498730846,102,102
1498738043,95,95
1498741673,93,93
1498745255,71,71
1498748854,99,99
1498752444,104,104
1498756057,105,105
1498759672,108,108
1498763253,99,99
1498766851,92,92
1498770448,93,93
1498774045,106,106
1498777655,104,104
1498781288,107,107
1498788446,98,98
1498792039,108,108
1498795646,106,106
1498799249,108,108
1498802845,109,109
1498806449,99,99
1498810040,99,99
1498813643,81,81
1498817240,78,78
1498820832,100,100
1498824451,109,109
1498831639,110,110
1498835245,109,109
1498838846,102,102
1498842447,100,100
1498846059,102,102
1498849647,102,102
1498853251,93,93
1498856828,105,105
1498860427,111,111
1498864043,106,106
1498867688,107,107
1498871249,105,105
1498874852,91,91
1498878445,98,98
1498882065,102,102
1498885640,106,106
1498889229,106,106
1498896433,107,107
1498900055,102,102
1498903637,104,104
1498910844,101,101
1498914469,101,101
1498918046,104,104
1498921658,103,103
1498925261,98,98
1498928836,96,96
1498932438,103,103
1498936059,102,102
1498939630,108,108
1498943250,108,108
1498946841,104,104
1498950452,102,102
1498954097,91,91
1498957645,107,107
1498961238,108,108
1498972057,106,106
1498975633,104,104
1498979235,108,108
1498982850,109,109
1498990037,110,110
1498993634,109,109
1499000837,110,110
1499004458,111,111
1499008047,104,104
1499011647,102,102
1499015257,107,107
1499018849,102,102
1499022458,99,99
1499026049,100,100
1499029652,99,99
1499033247,86,86
1499036853,83,83
1499040495,79,79
1499043998,101,101
1499047656,103,103
1499051212,108,108
1499054825,105,105
1499058411,108,108
1499062029,108,108
1499065613,107,107
1499072819,102,102
1499076419,102,102
1499080022,95,95
1499083631,94,94
1499087218,100,100
1499090804,101,101
1499094452,100,100
1499098013,104,104
1499101623,105,105
1499105247,106,106
1499112420,100,100
1499116011,82,82
1499119635,90,90
1499123211,109,109
1499126865,111,111
1499130469,111,111
1499134016,111,111
1499137630,106,106
1499141231,109,109
1499144825,108,108
1499148438,102,102
1499152021,95,95
1499155656,82,82
1499159217,88,88
1499162838,85,85
1499166432,81,81
1499170025,84,84
1499173630,82,82
1499177240,96,96
1499180820,106,106
1499184448,106,106
1499188049,106,106
1499191675,105,105
1499195226,92,92
1499198828,97,97
1499202437,97,97
1499206009,110,110
1499209605,107,107
1499213283,105,105
1499216835,111,111
1499220431,108,108
1499224016,109,109
1499227654,106,106
1499231234,106,106
1499234797,105,105
1499238426,105,105
1499245615,109,109
1499249244,107,107
1499252820,110,110
1499256435,111,111
1499260024,100,100
1499263631,101,101
1499267252,82,82
1499270831,80,80
1499274440,79,79
1499278022,97,97
1499281648,94,94
1499285244,96,96
1499288829,95,95
1499292433,91,91
1499296040,95,95
1499299663,87,87
1499303233,86,86
1499306833,79,79
1499310454,90,90
1499314001,101,101
1499317642,100,100
1499321230,103,103
1499324810,110,110
1499328421,110,110
1499332037,112,112
1499335649,112,112
1499339227,104,104
1499342825,89,89
1499346458,78,78
1499350041,75,75
1499353639,75,75
1499357247,76,76
1499360824,77,77
1499364439,78,78
1499368038,81,81
1499371647,79,79
1499375229,78,78
1499378840,74,74
1499382437,93,93
1499386071,93,93
1499389643,95,95
1499393240,95,95
1499396832,98,98
1499400437,98,98
1499404038,96,96
1499407626,97,97
1499411224,78,78
1499414834,80,80
1499418445,94,94
1499422056,94,94
1499425618,97,97
1499432829,96,96
1499436421,108,108
1499440030,106,106
1499443636,107,107
1499447218,103,103
1499450843,80,80
1499454440,76,76
1499458040,79,79
1499461644,78,78
1499465239,82,82
1499468835,90,90
1499472468,88,88
1499476088,82,82
1499479632,104,104
1499483228,102,102
1499486857,100,100
1499490449,98,98
1499494044,73,73
1499497655,83,83
1499501240,109,109
1499504835,110,110
1499512031,109,109
1499515657,107,107
1499519258,103,103
1499522826,105,105
1499526440,101,101
1499533650,100,100
1499537240,98,98
1499540853,91,91
1499544449,83,83
1499548039,102,102
1499551644,107,107
