DateTime,AddedIPs,RemovedIPs
1498626961,5,22
1498630537,16,13
1498634163,10,9
1498637701,23,7
1498641325,13,4
1498644930,6,5
1498648512,5,9
1498652118,15,5
1498655712,4,2
1498659355,9,3
1498662923,2,5
1498666572,3,4
1498670154,3,7
1498673769,10,11
1498677315,9,13
1498680942,4,2
1498684496,8,9
1498688144,12,16
1498691744,4,10
1498695419,40,8
1498698882,28,7
1498702543,11,10
1498706088,8,36
1498709775,14,15
1498713332,5,38
1498716953,19,16
1498720551,22,17
1498724125,41,17
1498727747,17,10
1498731356,13,12
1498734996,8,9
1498738491,12,15
1498742170,11,14
1498745735,9,37
1498749385,39,16
1498752935,17,14
1498756551,14,11
1498760145,13,11
1498763734,4,19
1498767308,14,16
1498770932,13,6
1498774534,27,11
1498778176,5,10
1498781801,41,10
1498788931,12,22
1498792535,16,6
1498796171,10,26
1498799714,11,18
1498803327,12,17
1498806969,14,15
1498810539,15,11
1498814172,16,26
1498817692,15,16
1498821344,24,28
1498824942,16,11
1498828506,10,10
1498832123,7,22
1498835758,11,13
1498839316,7,13
1498842941,4,8
1498846558,22,10
1498850139,6,9
1498853755,24,17
1498857296,25,2
1498860932,21,16
1498864546,9,13
1498868229,41,15
1498871761,3,17
1498875378,13,22
1498878958,17,39
1498882541,14,17
1498886168,20,6
1498889720,8,4
1498893359,6,11
1498896952,11,10
1498900575,11,14
1498904129,17,7
1498907749,8,4
1498911337,12,10
1498914973,12,11
1498918535,13,16
1498922190,8,8
1498925766,14,19
1498929334,10,12
1498932943,18,17
1498936561,3,16
1498940125,16,8
1498943783,9,4
1498947323,16,12
1498950925,13,13
1498954598,28,16
1498958139,13,9
1498961715,6,17
1498965371,7,37
1498968892,3,6
1498972543,0,7
1498976129,5,7
1498979734,8,15
1498983360,9,13
1498986921,11,3
1498990536,12,3
1498994132,12,4
1498997750,3,3
1499001314,2,4
1499004955,5,6
1499008537,5,10
1499012150,2,6
1499015736,10,5
1499019353,7,19
1499022932,10,7
1499026529,12,8
1499030134,3,10
1499033720,6,14
1499037316,10,6
1499040955,24,6
1499044498,18,2
1499048119,4,3
1499051668,6,38
1499055305,7,7
1499058908,7,12
1499062504,2,3
1499066076,3,8
1499069717,3,7
1499073291,7,14
1499076915,16,5
1499080487,6,13
1499084090,6,8
1499087683,14,10
1499091280,5,10
1499094946,4,5
1499098467,20,11
1499102111,12,8
1499105712,5,2
1499109283,4,3
1499112870,5,27
1499116467,15,24
1499120114,26,12
1499123662,28,1
1499127351,21,1
1499130939,4,6
1499134456,4,7
1499138093,6,38
1499141687,10,6
1499145334,8,4
1499148890,7,11
1499152505,5,14
1499156126,7,20
1499159683,8,16
1499163278,18,12
1499166888,8,12
1499170504,14,6
1499174094,11,12
1499177706,19,7
1499181288,16,5
