DateTime,Entries,UniqueIPs
1498644930,358,358
1498648512,354,354
1498652118,364,364
1498655712,366,366
1498659355,372,372
1498662923,369,369
1498666572,368,368
1498670154,364,364
1498673769,363,363
1498677315,359,359
1498680942,361,361
1498684496,360,360
1498688144,356,356
1498691744,350,350
1498695419,382,382
1498698882,403,403
1498702543,404,404
1498706088,376,376
1498709775,375,375
1498713332,342,342
1498716953,345,345
1498720551,350,350
1498724125,374,374
1498727747,381,381
1498731356,382,382
1498734996,381,381
1498738491,378,378
1498742170,375,375
1498745735,347,347
1498749385,370,370
1498752935,373,373
1498756551,376,376
1498760145,378,378
1498763734,363,363
1498767308,361,361
1498770932,368,368
1498774534,384,384
1498778176,379,379
1498781801,410,410
1498788931,400,400
1498792535,410,410
1498796171,394,394
1498799714,387,387
1498803327,382,382
1498806969,381,381
1498810539,385,385
1498814172,375,375
1498817692,374,374
1498821344,370,370
1498824942,375,375
1498828506,375,375
1498832123,360,360
1498835758,358,358
1498839316,352,352
1498842941,348,348
1498846558,360,360
1498850139,357,357
1498853755,364,364
1498857296,387,387
1498860932,392,392
1498864546,388,388
1498868229,414,414
1498871761,400,400
1498875378,391,391
1498878958,369,369
1498882541,366,366
1498886168,380,380
1498889720,384,384
1498893359,379,379
1498896952,380,380
1498900575,377,377
1498904129,387,387
1498907749,391,391
1498911337,393,393
1498914973,394,394
1498918535,391,391
1498922190,391,391
1498925766,386,386
1498929334,384,384
1498932943,385,385
1498936561,372,372
1498940125,380,380
1498943783,385,385
1498947323,389,389
1498950925,389,389
1498954598,401,401
1498958139,405,405
1498961715,394,394
1498965371,364,364
1498968892,361,361
1498972543,354,354
1498976129,352,352
1498979734,345,345
1498983360,341,341
1498986921,349,349
1498990536,358,358
1498994132,366,366
1498997750,366,366
1499001314,364,364
1499004955,363,363
1499008537,358,358
1499012150,354,354
1499015736,359,359
1499019353,347,347
1499022932,350,350
1499026529,354,354
1499030134,347,347
1499033720,339,339
1499037316,343,343
1499040955,361,361
1499044498,377,377
1499048119,378,378
1499051668,346,346
1499055305,346,346
1499058908,341,341
1499062504,340,340
1499066076,335,335
1499069717,331,331
1499073291,324,324
1499076915,335,335
1499080487,328,328
1499084090,326,326
1499087683,330,330
1499091280,325,325
1499094946,324,324
1499098467,333,333
1499102111,337,337
1499105712,340,340
1499109283,341,341
1499112870,319,319
1499116467,310,310
1499120114,324,324
1499123662,351,351
1499127351,371,371
1499130939,369,369
1499134456,366,366
1499138093,334,334
1499141687,338,338
1499145334,342,342
1499148890,338,338
1499152505,329,329
1499156126,316,316
1499159683,308,308
1499163278,314,314
1499166888,310,310
1499170504,318,318
1499174094,317,317
1499177706,329,329
1499181288,340,340
1499184938,349,349
1499188497,347,347
1499192125,350,350
1499195710,338,338
1499199284,339,339
1499202888,341,341
1499206497,355,355
1499210049,348,348
1499213745,378,378
1499217326,381,381
1499220908,373,373
1499224489,355,355
1499228138,337,337
1499231743,337,337
1499235273,342,342
1499238900,346,346
1499242537,353,353
1499246104,359,359
1499249711,356,356
1499253283,361,361
1499256929,360,360
1499260520,347,347
1499264092,347,347
1499267732,325,325
1499271326,320,320
1499274900,341,341
1499278496,371,371
1499282120,365,365
1499285696,388,388
1499289308,386,386
1499292903,380,380
1499296529,380,380
1499300140,382,382
1499303689,388,388
1499307298,377,377
1499310926,368,368
1499314431,379,379
1499318086,364,364
1499321718,375,375
1499325262,389,389
1499328891,388,388
1499332499,383,383
1499336102,383,383
1499339671,357,357
1499343305,345,345
1499346917,339,339
1499350517,336,336
1499354089,346,346
1499357709,347,347
1499361280,349,349
1499364895,348,348
1499368493,350,350
1499372104,346,346
1499375696,345,345
1499379304,334,334
1499382918,357,357
1499386560,369,369
1499390106,371,371
1499393695,374,374
1499397258,360,360
1499400897,362,362
1499404507,361,361
1499408084,362,362
1499411717,345,345
1499415325,343,343
1499418901,351,351
1499422531,357,357
1499426077,361,361
1499429708,360,360
1499433298,359,359
1499436870,361,361
1499440513,359,359
1499444117,363,363
1499447701,357,357
1499451327,329,329
1499454884,327,327
1499458512,329,329
1499462111,331,331
1499465694,333,333
1499469290,345,345
1499472949,364,364
1499476579,357,357
1499480096,380,380
1499483686,347,347
1499487347,344,344
1499490907,344,344
1499494495,321,321
1499498124,335,335
1499501716,366,366
1499505304,368,368
1499508942,366,366
1499512489,348,348
1499516110,347,347
1499519724,350,350
1499523286,354,354
1499526929,353,353
1499530493,353,353
1499534135,351,351
1499537676,354,354
1499541340,345,345
1499544915,347,347
1499548501,359,359
1499552118,352,352
1499555693,360,360
1499559404,381,381
1499562908,380,380
1499566507,377,377
1499570119,357,357
1499573722,346,346
1499577349,337,337
1499580921,350,350
1499584508,334,334
1499588133,348,348
1499591738,348,348
1499595320,346,346
1499598930,345,345
1499602493,352,352
1499606113,355,355
1499609729,355,355
1499613350,355,355
1499616902,331,331
1499620518,330,330
1499624132,362,362
1499627752,359,359
1499631333,360,360
1499634914,363,363
1499638525,328,328
1499642140,324,324
1499645774,338,338
1499649375,328,328
1499652907,331,331
1499656510,345,345
1499660103,346,346
1499663716,345,345
1499667305,346,346
1499670946,336,336
1499674500,346,346
1499678145,347,347
1499681731,355,355
1499685345,357,357
1499688886,352,352
1499692522,352,352
1499696107,355,355
1499699734,357,357
1499703344,343,343
1499706940,341,341
1499710515,354,354
1499714118,338,338
1499717753,334,334
1499721300,341,341
1499724897,350,350
1499728499,351,351
1499732192,384,384
1499735720,378,378
1499739350,372,372
1499742925,354,354
1499746538,356,356
1499750123,353,353
1499753725,359,359
