DateTime,AddedIPs,RemovedIPs
1497686872,1,1
1497690468,0,1
1497694057,3,2
1497697681,0,1
1497701250,5,0
1497704843,2,0
1497708471,0,1
1497712066,1,0
1497715692,1,0
1497719280,0,1
1497722876,0,1
1497726461,1,2
1497730058,1,0
1497733661,2,0
1497737273,0,1
1497740875,1,1
1497744490,1,3
1497748071,1,1
1497751689,0,2
1497755283,0,6
1497758871,4,0
1497762470,0,1
1497773287,2,4
1497798478,2,0
1497802074,0,1
1497805668,2,0
1497820080,1,1
1497823689,0,1
1497827270,0,1
1497830933,1,0
1497834482,1,0
1497841681,0,2
1497845281,1,0
1497848879,0,3
1497852482,2,0
1497874088,0,1
1497877706,1,0
1497881268,0,1
1497892069,2,0
1497895685,1,0
1497906460,1,0
1497917303,0,1
1497920896,0,3
1497924497,1,0
1497928072,1,1
1497938890,1,1
1497942453,0,1
1497949702,1,1
1497953294,0,1
1497956884,1,1
1497964090,1,0
1497971288,1,0
1497978487,1,0
1497989287,0,1
1497992886,2,1
1497996495,1,0
1498007283,0,1
1498010865,0,1
1498014491,1,0
1498018109,2,0
1498021700,1,0
1498028868,0,1
1498032483,0,1
1498036085,1,2
1498039699,2,2
1498043275,4,0
1498057700,0,1
1498061304,2,0
1498064888,0,3
1498068488,0,2
1498072102,2,2
1498075678,3,0
1498079292,1,1
1498090136,1,0
1498093696,0,1
1498097313,0,4
1498100887,1,0
1498104474,2,0
1498108087,0,1
1498118874,1,1
1498129669,0,1
1498133268,1,1
1498154892,1,0
1498158473,0,1
1498165687,1,1
1498169298,2,1
1498172886,1,0
1498180070,1,0
1498183677,1,2
1498187276,0,2
1498190855,0,2
1498194464,0,1
1498198060,3,1
1498201663,1,0
1498208840,1,0
1498212442,1,1
1498216042,1,0
1498219683,1,0
1498226847,0,1
1498234069,1,2
1498237650,2,0
1498241257,1,2
1498244860,2,0
1498252047,0,1
1498255654,1,1
1498270056,1,2
1498273666,1,0
1498277274,1,0
1498280864,1,1
1498284441,1,1
1498288075,0,1
1498295260,1,1
1498298853,1,1
1498302453,1,0
1498309668,0,2
1498313265,2,1
1498324033,0,2
1498327672,0,2
1498331244,0,1
1498334842,0,1
1498338473,2,1
1498342085,3,0
1498349308,1,1
1498352890,1,2
1498356469,3,0
1498360099,3,0
1498364444,1,4
1498370883,0,2
1498381670,1,1
1498385277,1,0
1498388884,2,0
1498392466,1,0
1498396071,1,0
1498403300,1,0
1498406886,1,1
1498410472,1,3
1498414075,1,0
1498417684,1,2
1498421268,2,1
1498424877,0,1
1498428457,1,1
1498432065,1,0
1498435702,1,0
1498442863,0,3
1498446476,0,5
1498450081,0,1
1498453669,1,0
1498468054,2,1
1498471670,2,0
1498475274,0,1
1498478868,1,0
1498482462,0,2
1498486069,1,2
1498489680,0,1
1498496860,1,0
1498500463,3,1
1498504073,1,0
1498511278,0,1
1498514866,1,2
1498518469,0,1
1498522105,2,0
1498525654,1,0
1498529283,1,1
1498532850,1,1
1498536475,0,1
1498540087,0,2
1498543662,2,0
1498547261,0,3
1498550867,1,0
1498554464,2,0
1498558077,0,1
1498565269,1,0
1498568883,0,1
1498572472,2,1
1498579654,1,0
1498583266,1,0
1498586875,0,1
1498590470,0,1
1498594078,0,2
1498597667,2,0
1498601272,0,1
1498604863,2,0
1498608494,1,2
1498612096,3,2
1498619321,0,3
1498622897,2,0
1498626515,2,3
1498633707,2,0
1498637273,2,0
1498640875,1,0
1498644494,1,1
1498648095,0,2
1498651670,1,1
1498655274,1,0
1498666107,1,0
1498673311,2,0
1498676900,0,1
1498687693,1,1
1498691310,0,1
1498694948,1,0
1498698476,1,1
1498702102,1,2
1498705682,1,1
1498709289,1,0
1498716489,1,2
1498723682,1,1
1498727294,1,0
1498730890,1,2
1498734505,0,2
1498738078,2,1
1498741715,2,1
1498745301,0,1
1498752489,0,1
1498756102,0,1
1498759711,0,1
1498763296,0,2
1498770492,2,0
1498774092,1,0
1498777699,1,0
1498784881,2,2
1498788484,0,2
1498792075,0,3
1498799290,0,1
1498802879,0,1
1498810074,1,0
1498813676,2,0
1498817272,1,0
1498828079,1,1
1498831674,0,3
1498835279,2,1
1498838884,1,0
1498842485,0,1
1498849682,0,1
1498853288,0,1
1498860467,2,0
1498867752,1,0
1498871295,0,1
1498874896,0,1
1498878490,0,2
1498882113,1,0
1498885686,2,0
1498889276,1,0
1498896479,2,1
1498900101,1,0
1498903694,0,1
1498910891,1,2
1498914517,1,0
1498928882,1,0
1498932485,0,2
1498936106,1,0
1498946888,1,0
1498950491,0,1
1498954141,1,0
1498961277,1,0
1498964922,2,0
1498975680,0,1
1498979282,0,1
1498982899,1,0
1498990081,1,0
1498993679,1,0
1498997303,0,1
1499004506,1,1
1499008095,0,3
1499015299,1,0
1499018900,1,1
1499029697,0,1
1499033293,0,1
1499036889,0,1
1499040529,2,0
1499044035,2,0
1499047695,0,1
1499051245,0,2
1499058449,0,1
1499072852,1,1
1499083666,2,0
1499087256,0,1
1499090839,0,1
1499098053,1,2
1499101660,1,0
1499112459,1,1
1499126902,1,0
1499148472,1,1
1499152055,0,2
1499155689,2,0
1499162874,1,1
1499173665,1,0
1499177278,0,1
1499180856,0,1
1499188086,0,1
1499191712,2,0
1499195262,1,0
1499206047,1,0
1499209641,0,1
1499216880,0,1
1499220478,1,1
1499224064,1,1
1499234842,1,0
1499238474,0,1
1499242089,2,0
1499245661,1,0
1499249296,1,1
1499252863,1,0
1499256486,0,1
1499263677,1,0
1499267288,0,1
1499270865,0,1
1499285288,0,2
1499288876,1,1
1499292471,2,0
1499296084,1,0
1499299698,1,0
1499306869,0,3
1499310487,0,3
1499328458,1,0
1499360858,0,1
1499364478,1,0
1499386106,0,1
1499393276,1,0
1499396865,1,0
1499407660,0,1
1499411262,1,0
1499432864,0,1
1499436459,0,1
1499440063,0,1
1499447255,2,0
1499450876,0,1
1499461678,0,1
1499468869,1,0
1499472502,2,0
1499486891,0,1
1499497689,0,2
1499501279,2,0
1499512069,1,0
1499519294,0,1
1499522864,1,0
1499555266,0,1
1499558935,1,0
1499566068,1,0
1499569682,1,2
1499576898,2,1
1499580493,1,0
1499591292,0,1
1499594885,2,0
1499612896,0,2
1499623675,2,0
1499645314,0,1
1499652464,0,3
1499656071,0,1
1499663264,1,0
1499674067,3,0
1499677684,0,1
1499688448,0,1
1499692077,1,0
1499695672,1,0
1499702885,0,2
1499706480,1,1
1499710064,1,1
1499720871,1,0
1499724460,2,1
1499735291,0,1
1499738895,0,1
1499742480,3,0
1499749676,0,1
1499753272,1,0
1499756897,1,1
1499764082,1,0
1499774868,1,0
1499778489,0,2
1499782087,0,1
1499785691,1,2
1499789286,2,1
1499800069,2,0
1499807268,0,2
1499810887,1,0
1499814489,0,1
1499818107,1,0
1499821693,0,1
1499825279,0,1
1499828883,2,1
1499832489,0,1
1499839665,2,0
1499843290,0,1
1499854084,1,1
1499879279,1,0
1499882888,1,1
1499886475,0,1
1499890079,2,0
1499893702,0,1
1499897272,1,2
1499900889,1,0
1499904520,0,1
1499911674,3,2
1499922448,3,0
1499926066,0,3
1499936880,0,5
1499940468,1,1
1499944076,1,0
1499947660,2,0
1499951288,1,0
1499954878,1,1
1499958470,2,0
1499962067,0,2
1499965672,2,1
1499969258,0,1
1499972863,2,1
1499976490,2,0
1499980080,0,1
1499983664,1,0
1499987279,0,2
1499990903,0,2
1499994477,2,0
1499998060,1,4
1500001676,0,3
1500005289,1,0
1500008853,2,0
1500023240,0,1
1500026872,2,1
1500030447,1,0
1500041277,0,1
1500044858,0,4
1500048483,3,0
1500052072,2,1
1500055669,1,0
1500062880,4,0
1500066474,0,2
1500073656,3,0
1500088073,0,2
1500091674,0,2
1500095263,3,0
1500098858,1,0
1500106081,0,1
1500113255,1,1
1500116857,0,2
1500120479,1,1
1500124071,0,3
1500127668,3,1
1500131261,1,0
1500138476,0,1
1500142050,1,1
1500145672,6,0
1500160068,0,6
1500163695,0,1
1500167252,2,0
1500174462,4,0
1500185251,0,1
1500188873,0,8
1500192438,2,1
1500196048,7,1
1500206849,0,1
1500210457,1,3
1500217642,5,0
1500228455,0,1
1500232064,1,7
1500235676,0,1
1500239267,3,1
1500242865,1,1
1500246457,1,1
1500253651,8,3
1500260845,1,1
1500268066,0,4
1500275267,4,0
1500282477,4,1
1500286054,1,0
1500289664,3,1
1500293287,2,0
1500296867,0,3
1500300443,0,1
1500304061,0,4
1500307658,2,0
1500311241,0,1
1500318462,0,1
1500322062,0,2
1500325666,0,1
1500336492,6,0
1500340069,1,0
1500343688,0,2
1500347287,0,3
1500350885,0,3
1500354477,0,7
1500358084,1,0
1500361678,2,0
1500365277,1,0
1500368875,1,0
1500372476,3,0
1500376074,0,1
1500379705,0,1
1500383273,5,1
1500397682,0,6
1500401283,5,0
1500404896,1,1
1500408481,1,0
1500412064,1,0
1500415692,0,3
1500419278,0,1
1500422917,1,1
1500430080,0,1
1500433678,2,2
1500437290,0,1
1500440878,1,1
1500444479,3,0
