DateTime,Entries,UniqueIPs
1497650861,14,14
1497654472,13,13
1497658105,12,12
1497661670,14,14
1497665270,14,14
1497668889,12,12
1497672455,12,12
1497676069,13,13
1497679654,10,10
1497683263,12,12
1497686872,12,12
1497690468,11,11
1497694057,12,12
1497697681,11,11
1497701250,16,16
1497704843,18,18
1497708471,17,17
1497712066,18,18
1497715692,19,19
1497719280,18,18
1497722876,17,17
1497726461,16,16
1497730058,17,17
1497733661,19,19
1497737273,18,18
1497740875,18,18
1497744490,16,16
1497748071,16,16
1497751689,14,14
1497755283,8,8
1497758871,12,12
1497762470,11,11
1497773287,9,9
1497798478,11,11
1497802074,10,10
1497805668,12,12
1497820080,12,12
1497823689,11,11
1497827270,10,10
1497830933,11,11
1497834482,12,12
1497841681,10,10
1497845281,11,11
1497848879,8,8
1497852482,10,10
1497874088,9,9
1497877706,10,10
1497881268,9,9
1497892069,11,11
1497895685,12,12
1497906460,13,13
1497917303,12,12
1497920896,9,9
1497924497,10,10
1497928072,10,10
1497938890,10,10
1497942453,9,9
1497949702,9,9
1497953294,8,8
1497956884,8,8
1497964090,9,9
1497971288,10,10
1497978487,11,11
1497989287,10,10
1497992886,11,11
1497996495,12,12
1498007283,11,11
1498010865,10,10
1498014491,11,11
1498018109,13,13
1498021700,14,14
1498028868,13,13
1498032483,12,12
1498036085,11,11
1498039699,11,11
1498043275,15,15
1498057700,14,14
1498061304,16,16
1498064888,13,13
1498068488,11,11
1498072102,11,11
1498075678,14,14
1498079292,14,14
1498090136,15,15
1498093696,14,14
1498097313,10,10
1498100887,11,11
1498104474,13,13
1498108087,12,12
1498118874,12,12
1498129669,11,11
1498133268,11,11
1498154892,12,12
1498158473,11,11
1498165687,11,11
1498169298,12,12
1498172886,13,13
1498180070,14,14
1498183677,13,13
1498187276,11,11
1498190855,9,9
1498194464,8,8
1498198060,10,10
1498201663,11,11
1498208840,12,12
1498212442,12,12
1498216042,13,13
1498219683,14,14
1498226847,13,13
1498234069,12,12
1498237650,14,14
1498241257,13,13
1498244860,15,15
1498252047,14,14
1498255654,14,14
1498270056,13,13
1498273666,14,14
1498277274,15,15
1498280864,15,15
1498284441,15,15
1498288075,14,14
1498295260,14,14
1498298853,14,14
1498302453,15,15
1498309668,13,13
1498313265,14,14
1498324033,12,12
1498327672,10,10
1498331244,9,9
1498334842,8,8
1498338473,9,9
1498342085,12,12
1498349308,12,12
1498352890,11,11
1498356469,14,14
1498360099,17,17
1498364444,14,14
1498370883,12,12
1498381670,12,12
1498385277,13,13
1498388884,15,15
1498392466,16,16
1498396071,17,17
1498403300,18,18
1498406886,18,18
1498410472,16,16
1498414075,17,17
1498417684,16,16
1498421268,17,17
1498424877,16,16
1498428457,16,16
1498432065,17,17
1498435702,18,18
1498442863,15,15
1498446476,10,10
1498450081,9,9
1498453669,10,10
1498468054,11,11
1498471670,13,13
