DateTime,AddedIPs,RemovedIPs
1493032157,2,0
1493039347,1,0
1493075363,0,1
1493078997,1,0
1493111370,0,1
1493114980,0,1
1493122178,2,0
1493129383,0,1
1493136562,1,1
1493140187,1,0
1493165409,1,0
1493230168,0,1
1493237360,1,1
1493240972,1,0
1493251799,1,0
1493255383,0,2
1493273359,0,1
1493276988,1,0
1493327374,0,1
1493330975,1,0
1493348998,0,1
1493399380,0,1
1493410192,1,0
1493424622,0,1
1493431790,1,0
1493492972,0,1
1493496572,1,0
1493514571,0,1
1493518192,1,0
1493575759,0,1
1493593781,1,0
1493608176,1,1
1493611797,0,1
1493618988,1,0
1493636994,1,0
1493683854,0,1
1493687393,2,0
1493701772,0,1
1493705414,1,0
1493726981,0,1
1493730593,2,2
1493734191,0,1
1493737798,1,0
1493741384,1,0
1493755758,1,0
1493770238,0,1
1493773738,1,0
1493795358,0,1
1493802579,1,0
1493831344,0,2
1493834961,2,0
1493838566,0,1
1493842158,1,0
1493878167,0,2
1493881800,1,0
1493885809,1,0
1493918140,0,1
1493921850,1,0
1493986184,0,1
1493993370,1,0
1494000580,1,0
1494007795,0,1
1494029369,0,1
1494032961,1,0
1494036562,0,2
1494040155,1,0
1494068952,0,1
1494072570,1,1
1494079766,1,0
1494108568,0,2
1494112161,0,1
1494115791,2,1
1494119348,1,1
1494122944,2,0
1494126550,0,1
1494130151,1,0
1494137379,0,1
1494140969,1,0
1494144554,0,1
1494148148,1,0
1494173365,0,1
1494180561,1,0
1494202201,0,1
1494205771,1,0
1494209380,0,1
1494212960,1,0
1494223762,1,0
1494252557,1,0
1494266959,0,1
1494274201,0,1
1494281354,1,0
1494284982,0,1
1494295781,0,1
1494299365,1,0
1494310161,0,1
1494313779,1,0
1494353363,0,1
1494356991,1,0
1494371371,0,1
1494375002,2,0
1494410967,0,1
1494428977,0,1
1494432572,1,0
1494439772,1,0
1494446970,0,1
1494497397,2,0
1494500985,0,2
1494515383,0,1
1494529784,1,0
1494533367,0,1
1494537317,1,0
1494558552,0,3
1494562164,0,1
1494565778,1,0
1494572973,1,0
1494583767,1,0
1494594596,0,1
1494598186,1,1
1494601780,1,0
1494641363,0,1
1494644985,1,1
1494662965,0,1
1494666551,1,0
1494670186,1,0
1494763756,0,1
1494767349,1,0
1494770975,0,1
1494778165,1,0
1494806971,1,0
1494814194,0,1
1494817747,1,1
1494860958,0,1
1494868151,1,0
1494871761,1,0
1494878968,0,1
1494932961,1,0
1494936560,0,1
1494940156,0,1
1494958159,0,1
1494968947,1,0
1494979815,2,0
1495030161,0,1
1495033763,1,0
1495066192,1,0
1495076986,1,1
1495087777,1,0
1495091386,0,1
1495094967,1,0
1495130993,0,1
1495134601,1,0
1495149001,0,1
1495152607,1,0
1495213759,0,1
1495228158,0,1
1495231771,1,0
1495235371,1,0
1495249784,0,1
1495274961,0,1
1495278583,1,0
1495296586,0,1
1495300175,1,0
1495314567,0,1
1495318190,0,1
1495321783,1,0
1495325443,1,0
1495354194,0,1
1495368581,1,0
1495382987,0,1
1495393790,1,0
1495422579,0,1
1495429803,0,1
1495436995,1,0
1495458572,0,1
1495462191,1,0
1495472977,0,1
1495480191,1,0
1495487391,0,3
1495494570,2,0
1495498213,1,0
1495505341,0,1
1495508955,0,1
1495516156,0,1
1495526949,1,1
1495534138,1,0
1495541360,0,1
1495552168,1,0
1495584577,0,1
1495588148,1,0
1495595342,0,1
1495602545,1,0
1495613364,0,1
1495620571,0,1
1495624148,1,0
1495627736,0,1
1495631357,1,0
1495642146,1,0
1495652941,0,1
1495660173,1,0
1495742979,0,1
1495746566,1,0
1495764553,0,2
1495768158,1,0
1495771756,0,1
1495775351,2,0
1495793356,0,1
1495800560,0,1
1495804154,0,1
1495807785,2,0
1495814943,1,0
1495822166,0,1
1495825754,1,0
1495836551,0,1
1495865359,1,0
1495879741,0,1
1495883380,1,0
1495897759,0,1
1495901353,1,0
1495940970,0,1
1495944548,1,0
1495962557,0,1
1495969754,1,1
1495973368,1,0
1495987761,0,1
1495994959,1,0
1496030970,0,1
1496034581,1,0
1496084976,0,1
1496088586,1,1
1496092184,1,0
1496117367,0,1
1496124567,1,0
1496138994,1,0
1496149774,0,1
1496153375,1,0
1496192971,0,1
1496196587,1,0
1496218172,0,1
1496225387,1,1
1496279399,1,0
1496304578,0,1
1496308203,1,0
1496333384,0,2
1496340594,1,0
1496344193,0,1
1496347783,2,0
1496362236,4,0
1496369393,0,1
1496373011,0,1
1496376561,1,0
1496383777,1,0
1496452139,1,0
1496459344,1,0
1496466563,0,1
1496488136,0,1
1496491754,1,0
1496502546,0,1
1496506156,1,1
1496513351,1,5
1496516948,4,0
1496520545,1,0
1496534974,1,0
1496545756,0,1
1496552964,0,5
1496556572,6,0
1496570962,0,1
1496578160,1,0
1496599747,0,1
1496610568,1,0
1496650171,0,1
1496653766,1,0
1496686167,0,1
1496696959,1,0
1496718568,0,2
1496722182,1,0
1496736584,0,1
1496740160,1,5
1496743768,1,0
1496747346,4,0
1496768962,1,0
1496776197,0,1
1496804964,0,4
1496815749,0,1
1496822959,1,0
1496923768,0,2
1496927380,1,0
1496970568,0,1
1496974195,2,0
1496977770,0,1
1496988571,0,1
1496995781,1,0
1497038975,0,1
1497042576,1,0
1497067774,1,0
1497085746,0,1
1497089374,1,0
1497096566,0,1
1497100153,1,0
1497121773,0,1
1497125362,1,1
1497128977,1,0
1497143379,0,1
1497147007,1,1
1497150561,0,1
1497154170,1,0
1497157766,0,1
1497161382,1,0
1497168576,0,1
1497172169,1,0
1497193765,0,1
1497204594,0,1
1497208172,2,0
1497244188,0,1
1497247782,1,0
1497251353,1,0
1497262156,0,1
1497265776,1,1
1497269387,1,0
1497283777,0,1
1497290967,1,0
1497305374,1,1
1497316168,0,1
1497319792,0,1
1497344989,0,1
1497348588,1,0
1497409761,0,1
1497427762,0,1
1497434950,1,0
1497467375,0,1
1497470972,1,0
1497485399,0,1
1497496160,0,1
1497503366,1,1
1497510563,1,0
1497524954,0,1
1497535755,1,0
1497550175,0,1
1497553767,1,0
1497557384,1,0
1497586143,0,1
1497589765,0,1
1497593350,1,0
1497654566,1,0
1497661768,0,1
1497665367,1,0
1497676166,0,1
1497686969,1,0
1497708567,0,1
1497737368,0,1
1497740973,1,0
1497766187,0,1
1497773383,1,0
1497802167,0,1
1497812978,1,0
1497831029,1,0
1497845376,0,1
1497848974,0,1
1497852576,2,0
1497910178,0,1
1497913772,1,0
1497917399,1,0
1497928167,0,1
1497931755,1,0
1497967766,0,1
1497974980,0,1
1497982203,2,0
1498000162,0,1
1498003816,1,0
1498025393,0,1
1498028963,1,0
1498039794,0,2
1498054172,2,0
1498090232,1,0
1498144180,0,1
1498147757,1,0
1498176594,0,1
1498183772,1,0
1498198154,0,1
1498201758,1,2
1498205340,1,0
1498216140,1,0
1498248556,0,1
1498252142,1,0
1498255747,0,1
1498266564,0,1
1498270150,1,1
1498273761,1,0
1498356566,0,1
1498367339,1,0
1498374560,0,1
1498378174,1,0
1498385371,0,1
1498388979,0,1
1498392565,1,0
1498410567,0,2
1498417780,2,0
1498529378,0,1
1498543758,0,1
1498554557,1,0
1498612194,1,0
1498651765,0,1
1498655368,1,0
1498691404,0,1
1498695043,1,0
1498712994,0,1
1498716587,1,0
1498748995,0,1
1498752591,1,0
1498799386,0,2
1498806605,1,0
1498810167,1,0
1498820960,0,1
1498824584,1,0
1498846190,0,1
1498860562,1,0
1498864179,0,1
1498874990,1,0
1498932574,0,1
1498939765,1,0
1498979384,0,1
1498997399,1,0
1499051341,0,1
1499065743,0,1
1499072959,1,0
1499076550,0,1
1499101754,1,0
1499112554,0,1
1499123341,1,0
1499324943,0,1
1499335780,1,0
1499436555,0,1
1499443766,1,0
1499458175,0,1
1499461773,1,0
1499486984,0,1
1499497777,1,0
1499551772,0,1
1499559032,2,0
1499562586,1,0
1499627386,0,1
1499630992,1,0
1499638180,0,1
1499649017,1,0
1499652560,1,0
1499663357,0,1
1499666943,1,1
1499670581,1,0
1499681350,0,1
1499688543,0,1
1499692174,1,0
1499695767,1,0
1499713770,1,0
1499731831,0,1
1499735382,0,1
1499742577,1,0
1499760587,0,1
1499764177,1,1
1499771374,1,0
1499785786,0,1
1499796562,1,0
1499803777,0,1
1499807363,1,0
1499821789,0,1
1499825374,1,0
1499875776,0,1
1499879373,1,0
1499882983,0,1
1499893797,1,0
1499904621,0,1
1499911772,1,0
1499922543,0,1
1499926160,0,1
1499929740,1,0
1499936975,1,0
1499972957,0,1
1499976586,1,0
1499990996,1,0
1500001772,0,2
1500019770,0,1
1500041371,1,0
1500088168,0,1
1500199731,0,1
1500203346,1,0
1500260941,0,1
1500264562,1,0
1500278983,0,2
1500282574,2,0
1500336587,0,2
1500340165,2,0
1500343784,1,0
1500372572,0,1
1500376174,1,0
1500379799,1,0
1500394169,1,0
1500404991,0,1
1500408575,1,0
1500415788,0,1
1500419374,0,1
1500423012,0,1
1500426564,0,1
1500430176,1,0
