DateTime,Entries,UniqueIPs
1493111370,6,6
1493114980,5,5
1493122178,7,7
1493129383,6,6
1493136562,6,6
1493140187,7,7
1493165409,8,8
1493230168,7,7
1493237360,7,7
1493240972,8,8
1493251799,9,9
1493255383,7,7
1493273359,6,6
1493276988,7,7
1493327374,6,6
1493330975,7,7
1493348998,6,6
1493399380,5,5
1493410192,6,6
1493424622,5,5
1493431790,6,6
1493492972,5,5
1493496572,6,6
1493514571,5,5
1493518192,6,6
1493575759,5,5
1493593781,6,6
1493608176,6,6
1493611797,5,5
1493618988,6,6
1493636994,7,7
1493683854,6,6
1493687393,8,8
1493701772,7,7
1493705414,8,8
1493726981,7,7
1493730593,7,7
1493734191,6,6
1493737798,7,7
1493741384,8,8
1493755758,9,9
1493770238,8,8
1493773738,9,9
1493795358,8,8
1493802579,9,9
1493831344,7,7
1493834961,9,9
1493838566,8,8
1493842158,9,9
1493878167,7,7
1493881800,8,8
1493885809,9,9
1493918140,8,8
1493921850,9,9
1493986184,8,8
1493993370,9,9
1494000580,10,10
1494007795,9,9
1494029369,8,8
1494032961,9,9
1494036562,7,7
1494040155,8,8
1494068952,7,7
1494072570,7,7
1494079766,8,8
1494108568,6,6
1494112161,5,5
1494115791,6,6
1494119348,6,6
1494122944,8,8
1494126550,7,7
1494130151,8,8
1494137379,7,7
1494140969,8,8
1494144554,7,7
1494148148,8,8
1494173365,7,7
1494180561,8,8
1494202201,7,7
1494205771,8,8
1494209380,7,7
1494212960,8,8
1494223762,9,9
1494252557,10,10
1494266959,9,9
1494274201,8,8
1494281354,9,9
1494284982,8,8
1494295781,7,7
1494299365,8,8
1494310161,7,7
1494313779,8,8
1494353363,7,7
1494356991,8,8
1494371371,7,7
1494375002,9,9
1494410967,8,8
1494428977,7,7
1494432572,8,8
1494439772,9,9
1494446970,8,8
1494497397,10,10
1494500985,8,8
1494515383,7,7
1494529784,8,8
1494533367,7,7
1494537317,8,8
1494558552,5,5
1494562164,4,4
1494565778,5,5
1494572973,6,6
1494583767,7,7
1494594596,6,6
1494598186,6,6
1494601780,7,7
1494641363,6,6
1494644985,6,6
1494662965,5,5
1494666551,6,6
1494670186,7,7
1494763756,6,6
1494767349,7,7
1494770975,6,6
1494778165,7,7
1494806971,8,8
1494814194,7,7
1494817747,7,7
1494860958,6,6
1494868151,7,7
1494871761,8,8
1494878968,7,7
1494932961,8,8
1494936560,7,7
1494940156,6,6
1494958159,5,5
1494968947,6,6
1494979815,8,8
1495030161,7,7
1495033763,8,8
1495066192,9,9
1495076986,9,9
1495087777,10,10
1495091386,9,9
1495094967,10,10
1495130993,9,9
1495134601,10,10
1495149001,9,9
1495152607,10,10
1495213759,9,9
1495228158,8,8
1495231771,9,9
1495235371,10,10
1495249784,9,9
