DateTime,AddedIPs,RemovedIPs
1494749082,0,1
1494752675,1,0
1494777881,0,1
1494781475,1,0
1494795878,0,1
1494799492,1,0
1494835471,0,1
1494839064,1,0
1494842681,0,1
1494846262,1,0
1494867888,0,1
1494875067,1,1
1494878680,1,0
1494893114,0,1
1494896663,1,0
1494900278,0,1
1494903888,1,0
1494929081,0,1
1494932674,1,0
1494947068,0,1
1494950660,1,0
1494975872,0,1
1494979499,1,0
1495004666,0,1
1495011873,1,0
1495019065,0,1
1495022681,1,0
1495029867,0,2
1495033468,1,0
1495037060,1,0
1495047868,0,1
1495051471,1,0
1495069503,0,1
1495076692,1,0
1495091098,0,1
1495098283,1,0
1495112698,0,1
1495116293,1,0
1495134290,0,1
1495137911,1,0
1495152335,0,1
1495155893,1,0
1495220696,0,1
1495224293,0,1
1495227895,2,0
1495260296,0,1
1495267498,1,0
1495281880,0,1
1495285494,1,0
1495299886,0,1
1495307095,1,0
1495332310,0,1
1495335886,1,0
1495339506,0,1
1495343093,1,0
1495346699,0,1
1495350286,1,0
1495364691,0,1
1495368288,1,1
1495371896,1,0
1495393489,0,1
1495397097,1,0
1495411749,0,1
1495415229,1,0
1495429512,0,1
1495436698,1,0
1495451077,0,2
1495454688,1,0
1495458287,1,0
1495483480,0,1
1495487101,1,0
1495494293,0,1
1495501461,0,1
1495508668,2,0
1495523070,0,1
1495530260,1,0
1495541068,0,1
1495544660,1,1
1495551874,1,0
1495595062,0,1
1495605862,0,1
1495609486,1,0
1495616660,1,0
1495623867,0,1
1495627465,1,0
1495631070,0,1
1495638320,1,0
1495649066,1,0
1495656271,0,2
1495659890,1,0
1495663482,0,1
1495670694,1,0
1495674628,0,1
1495678122,1,0
1495724684,0,1
1495735470,1,0
1495739080,0,1
1495742674,1,0
1495764267,0,1
1495767870,1,0
1495785878,0,1
1495789480,1,0
1495793079,0,1
1495796673,1,0
1495807491,0,1
1495811070,1,0
1495821873,0,1
1495825473,1,0
1495868680,0,1
1495872278,1,0
1495897478,0,1
1495901070,1,0
1495933483,0,1
1495937079,1,0
1495951484,0,2
1495955071,2,0
1495980284,0,1
1495998277,1,0
1496005482,0,1
1496009072,1,0
1496016306,0,1
1496019893,1,0
1496153082,1,0
1496160297,0,1
1496163897,2,0
1496178290,0,2
1496181899,2,0
1496199891,0,1
1496203507,1,0
1496217887,0,1
1496221501,1,0
1496268294,0,1
1496271903,1,0
1496300701,0,1
1496304297,1,0
1496315113,0,1
1496318686,1,0
1496333092,1,1
1496336687,1,0
1496372719,1,0
1496376293,0,1
1496379900,1,0
1496394301,0,2
1496397891,2,0
1496415888,0,1
1496419498,1,0
1496433877,0,1
1496437521,1,0
1496451853,0,1
1496455463,1,0
1496477076,0,1
1496480682,1,1
1496484269,1,0
1496538281,0,1
1496541884,1,0
1496563479,0,1
1496570678,1,1
1496574272,1,0
1496581476,0,1
1496585070,1,0
1496588686,0,1
1496592278,1,0
1496599471,0,1
1496617478,0,1
1496621120,1,0
1496635493,0,1
1496642675,1,0
1496646279,0,1
1496649876,1,0
1496678665,0,1
1496685878,0,1
1496693066,1,0
1496700278,1,0
1496703869,0,1
1496707520,1,0
1496721890,0,1
1496732690,1,1
1496736296,0,2
1496739869,1,0
1496747078,0,1
1496768683,0,2
1496772279,2,0
1496779471,0,1
1496808284,0,1
1496811889,1,0
1496822685,1,0
1496847888,0,1
1496851474,1,0
1496862271,1,0
1496887506,0,1
1496891095,1,0
1496919905,1,0
1496923486,0,1
1496927099,1,0
1496948715,0,1
1496973889,0,1
1496977489,1,0
1497020711,0,1
1497031508,1,0
1497045895,0,1
1497049484,1,0
1497143092,0,1
1497146719,1,0
1497157507,0,1
1497161091,1,0
1497222297,0,1
1497225931,0,1
1497229497,2,0
1497326701,1,0
1497337480,0,1
1497355484,0,1
1497359073,1,0
1497366273,0,1
1497377082,1,0
1497413083,0,1
1497431087,1,0
1497459878,1,0
1497467093,0,1
1497474275,0,1
1497477899,2,0
1497485107,1,0
1497492285,0,1
1497499473,1,0
1497506686,0,1
1497510268,1,1
1497513879,1,0
1497535471,1,1
1497542686,1,0
1497546265,0,1
1497549888,1,0
1497571505,0,2
1497575072,2,1
1497585863,0,1
1497593066,0,1
1497596689,2,1
1497603873,2,0
1497618286,0,2
1497621869,1,0
1497632680,0,1
1497636279,2,1
1497643476,1,0
1497647070,0,1
1497657897,1,0
1497672271,0,1
1497675868,1,0
1497679462,0,1
1497683083,1,0
1497690267,0,1
1497693884,1,0
1497722666,0,1
1497726272,1,0
1497787502,0,2
1497791084,2,0
1497794705,0,1
1497798300,1,0
1497816285,0,1
1497819895,1,0
1497845097,0,1
1497848705,1,0
1497877503,0,1
1497881089,1,0
1497899106,0,2
1497902680,2,1
1497913502,1,0
1497927882,0,1
1497935100,1,1
1497938699,1,0
1497971097,0,1
1497974690,1,1
1497978298,0,1
1497985492,1,0
1497989098,1,0
1497996294,0,1
1497999891,1,1
1498003529,1,0
1498007097,0,1
1498046697,0,1
1498050279,1,0
1498075490,0,2
1498089935,1,0
1498122288,1,0
1498154704,0,1
1498158300,1,0
1498176330,0,1
1498183476,1,0
1498223064,0,1
1498226667,1,0
1498241067,0,2
1498244670,1,0
1498251859,1,1
1498255462,1,0
1498269864,0,1
1498273481,1,0
1498302268,0,1
1498305870,1,0
1498309477,0,1
1498313071,1,1
1498323863,1,0
1498331055,0,1
1498334668,1,0
1498341884,0,1
1498345461,1,0
1498467870,0,1
1498471469,1,0
1498493094,0,1
1498496681,1,0
1498503882,0,1
1498507490,1,0
1498518275,0,1
1498521909,1,0
1498536277,0,1
1498543485,1,0
1498547071,0,1
1498550682,0,1
1498554278,1,0
1498586689,1,0
1498629904,0,1
1498637084,1,1
1498640693,1,0
1498647887,0,1
1498651488,1,0
1498676705,0,1
1498680291,2,0
1498694739,0,1
1498698296,1,0
1498712700,0,1
1498716292,1,0
1498745094,0,1
1498748714,1,0
1498781132,0,1
1498791897,1,0
1498806283,0,1
1498809885,1,0
1498813492,0,1
1498817087,1,0
1498824307,0,1
1498827889,1,0
1498842296,0,1
1498845893,1,0
1498889093,0,1
1498896297,1,0
1498907108,0,1
1498910700,1,0
1498921508,0,1
1498925099,1,0
1498964713,0,1
1499025891,1,0
1499033089,1,0
1499072668,0,1
1499076256,1,0
1499115866,0,1
1499119471,1,0
1499137481,0,1
1499141086,1,0
1499155493,0,1
1499162681,1,0
1499166270,0,1
1499173476,1,0
1499205872,0,1
1499209469,1,1
1499213122,1,0
1499227495,0,1
1499231068,1,0
1499249080,0,1
1499259872,1,0
1499274274,18,0
1499277866,15,0
1499281484,6,0
1499285085,3,0
1499292274,0,3
1499295881,3,8
1499299508,0,1
1499303077,2,0
1499306678,0,2
1499313865,1,1
1499317488,2,7
1499321070,7,1
1499324679,4,2
1499328277,1,0
1499331878,0,6
1499335494,11,8
