DateTime,AddedIPs,RemovedIPs
1442742710,0,1
1443428538,1,0
1443608471,0,1
1444090868,1,0
1444101861,0,1
1454058456,1,0
1454242052,0,1
1455268103,1,0
1455455247,0,1
1462954544,1,0
1463137646,0,1
1480514900,1,0
1480532814,0,1
1482412056,1,0
1483664854,1,0
1484726869,0,1
1484831236,0,1
1484834869,1,0
1484899644,0,1
1484903255,1,0
1485104832,0,1
1485119255,1,0
1485151617,0,1
1485155253,1,0
1485295612,0,1
1485306447,1,0
1485356839,0,1
1485360453,1,0
1485382026,0,1
1485392863,1,0
1485428825,0,1
1485439655,1,0
1485475643,0,1
1485479330,1,0
1485493731,0,1
1485497366,1,0
1485511637,0,1
1485518870,1,0
1485551293,0,1
1485558488,1,0
1485587217,0,1
1485612462,1,0
1485637756,0,1
1485662904,1,0
1485828547,0,1
1485842848,1,0
1485868031,0,1
1485886602,1,0
1485918428,0,1
1485936469,1,0
1485972430,0,1
1485976052,1,0
1485994102,0,1
1486015653,1,0
1486030027,0,1
1486037257,1,0
1486051814,0,1
1486066063,1,0
1486109224,0,1
1486112843,1,0
1486127226,0,1
1486134441,1,0
1486152423,0,1
1486167069,1,0
1486181210,0,1
1486210060,1,0
1486253220,0,1
1486260455,1,0
1486274834,0,1
1486289250,1,0
1486314434,0,1
1486332462,1,0
1486350428,0,1
1486426056,1,0
1487927231,0,1
1487934461,1,0
1488121637,0,1
1488125272,1,0
1488157673,1,0
1488650864,0,1
1488654480,1,0
1488672470,0,1
1488676070,1,0
1488806153,0,1
1488809838,1,0
1488997007,0,1
1489007663,0,1
1489018387,1,0
1489090837,0,1
1489112241,1,0
1489223244,0,1
1489252053,1,0
1489277283,0,1
1489284468,1,0
1489306064,0,1
1489320508,1,0
1489334812,0,1
1489342075,1,0
1489356473,0,1
1489360098,1,0
1489439266,0,1
1489460904,1,0
1489475244,0,1
1489493246,1,0
1489507610,0,1
1489543641,1,0
1489568852,0,1
1489619280,1,0
1489633664,0,1
1489730878,1,0
1489745245,0,1
1489792068,1,0
1489806491,0,1
1489817324,1,0
1489831684,0,1
1489882150,1,0
1489896456,0,1
1489936114,1,0
1489950475,0,1
1489979859,1,0
1490004903,0,1
1490044115,1,0
1490058492,0,1
1490062111,1,0
1490094495,0,1
1490148529,1,0
1490162877,0,1
1490195319,1,0
1490224072,0,1
1490242103,1,0
1490256432,0,1
1490296903,1,0
1490310446,0,1
1490328503,1,0
1490357273,0,1
1490397105,1,0
1490411284,0,1
1490483315,1,0
1490519272,0,1
1490566104,1,0
1490800116,1,0
1490810936,0,1
1491912497,0,1
1491916130,1,0
1491962875,0,1
1491980886,1,0
1492016944,0,1
1492027698,1,0
1492074471,0,1
1492096150,1,0
1492125007,0,1
1492128619,1,0
1492150075,0,1
1492164500,1,0
1492189658,0,1
1492193298,1,0
1492265255,0,1
1492322899,1,0
1492363197,0,1
1492409280,1,0
1492423668,0,1
1492430901,1,0
1492463242,0,1
1492538935,1,0
1492585685,0,1
1492592904,1,0
1492607287,0,1
1492650509,1,0
1492668466,0,1
1492690127,1,0
1492704477,0,1
1492733366,1,0
1492762064,0,1
1492830491,1,0
1492844859,0,1
1492931296,1,0
1492945669,0,1
1492963684,1,0
1492978048,0,1
1493028506,1,0
1493042856,0,1
1493053696,1,0
1493089673,0,1
1493093449,1,0
1493125692,0,1
1493140123,1,0
1493154477,0,1
1493183316,1,0
1493219250,0,1
1493240907,1,0
1493255287,0,1
1493273296,1,0
1493287672,0,1
1493341734,1,0
1493356102,0,1
1493366940,1,0
1493381279,0,1
1493402907,1,0
1493417292,0,1
1493453311,1,0
1493467679,0,1
1493489321,1,0
1493518097,0,1
1493536093,1,0
1493550472,0,1
1493564920,1,0
1493579286,0,1
1493626148,1,0
1493640472,0,1
1493683791,1,0
1494292099,0,1
1494295718,1,0
1494486485,0,1
1494490123,1,0
1494518880,0,1
1494774502,1,0
1495073286,0,1
1495080516,1,0
1495170494,0,1
1495188491,1,0
1495228062,0,1
1495231707,1,0
1495267669,0,1
1495271308,1,0
1495318094,0,1
1495325380,1,0
1495339709,0,1
1495357732,1,0
1495375688,0,1
1495390136,1,0
1495415440,0,1
1495433310,1,0
1495447707,0,1
1495480126,1,0
1495494476,0,1
1495512501,1,0
1495530442,0,1
1495537712,1,0
1495555663,0,1
1495624084,1,0
1495638539,0,1
1495670959,1,0
1495689387,0,1
1495696469,1,0
1495732067,0,1
1495768095,1,0
1495782456,0,1
1495919290,1,0
1495944453,0,1
1495951708,1,0
1495966058,0,1
1495973305,1,0
1495994864,0,1
1496002087,1,0
1496030876,0,1
1496034517,1,0
1496059685,0,1
1496070517,1,0
1496084879,0,1
1496092122,1,0
1496106482,0,1
1496138932,1,0
1496153278,0,1
1496164114,1,0
1496192877,0,1
1496228900,1,0
1496243301,0,1
1496282925,1,0
1496308107,0,1
1496333320,1,0
1496347686,0,1
1496387313,1,0
1496401710,0,1
1496448538,1,0
1496491658,0,1
1496588899,1,0
1496603263,0,1
1496610505,1,0
1496635700,0,1
1496675297,1,0
1496689679,0,1
1496855308,1,0
1496869677,0,1
1496887734,1,0
1496902061,0,1
1496930915,1,0
1496963280,0,1
1498806519,1,0
1498846094,0,1
1498849713,1,0
1498975681,0,1
1498990112,1,0
1499004508,0,1
1499008126,1,0
1499054864,0,1
1499069283,1,0
1499116045,0,1
1499123281,1,0
1499202473,0,1
1499213359,1,0
1499227703,0,1
1499256518,1,0
1499292471,0,1
1499321296,1,0
1499339262,0,1
1499357315,1,0
1499371685,0,1
1499393307,1,0
1499432864,0,1
1499458110,1,0
1499486891,0,1
1499497720,1,0
1499512069,0,1
1499519325,1,0
1499533705,0,1
1499537305,1,0
1499551678,0,1
1499584108,1,0
1499598486,0,1
1499602099,1,0
1499620084,0,1
1499627322,1,0
1499641673,0,1
1499663295,1,0
1499677684,0,1
1499684918,1,0
1499699278,0,1
1499731767,1,0
1499746092,0,1
1499756928,1,0
1499771279,0,1
1499778520,1,0
1499814489,0,1
1499890111,1,0
1499904520,0,1
1499962099,1,0
1499976492,0,1
1500037704,1,0
1500070056,0,1
1500080914,1,0
1500106081,0,1
1500203283,1,0
1500239267,0,1
1500246490,1,0
1500275269,0,1
1500293319,1,0
1500311241,0,1
1500379736,1,0
1500394075,0,1
1500401315,1,0
1500415692,0,1
