DateTime,AddedIPs,RemovedIPs
1498522168,5,4
1498525728,3,3
1498529345,10,1
1498532913,1,4
1498536538,2,8
1498540149,1,8
1498543727,9,7
1498547325,6,5
1498550932,5,5
1498554527,22,1
1498558141,0,2
1498561726,2,1
1498565330,2,0
1498568943,0,1
1498572534,2,1
1498576134,1,1
1498579716,0,7
1498583328,3,4
1498586937,4,9
1498590534,3,5
1498594141,9,4
1498597730,1,2
1498601334,1,3
1498604926,3,5
1498608553,5,10
1498612163,14,3
1498615742,2,3
1498619384,3,0
1498622963,3,0
1498626578,2,17
1498630152,0,3
1498633771,6,9
1498637338,12,6
1498640934,7,4
1498644560,3,0
1498648159,5,4
1498651733,7,4
1498655337,2,1
1498658955,7,1
1498662561,0,4
1498666171,1,3
1498669767,2,1
1498673374,2,3
1498676962,2,0
1498684137,0,8
1498687755,10,8
1498691373,4,5
1498695011,8,5
1498698539,6,2
1498702165,1,5
1498705746,0,3
1498709352,4,7
1498712962,5,9
1498716556,8,3
1498720173,11,2
1498723745,2,7
1498727355,8,2
1498730960,1,2
1498734570,5,3
1498738142,3,0
1498741779,0,2
1498745365,1,7
1498748963,6,12
1498752560,4,4
1498756164,11,4
1498759774,5,4
1498763360,3,4
1498766958,5,2
1498770554,2,5
1498774157,4,0
1498777762,2,1
1498781392,2,0
1498788547,2,2
1498792139,1,3
1498795741,2,3
1498799354,3,7
1498802942,2,8
1498806573,11,2
1498810136,1,0
1498813738,2,2
1498817337,1,1
1498820929,2,17
1498824553,2,11
1498828143,0,4
1498831737,3,13
1498835342,10,3
1498838948,6,5
1498842548,2,1
1498846157,11,0
1498849745,1,3
1498853352,11,4
1498856927,4,0
1498860530,3,8
1498864147,7,4
1498867816,7,3
1498871359,1,7
1498874957,12,6
1498878553,2,1
1498882169,7,6
1498885766,2,0
1498889340,3,1
1498892970,2,6
1498896542,3,7
1498900165,3,1
1498903756,8,4
1498907374,3,0
1498910951,3,0
1498914579,1,0
1498918159,0,4
1498921773,0,2
1498925369,2,5
1498928946,0,3
1498932544,5,4
1498936171,3,2
1498939732,5,5
1498943352,6,2
1498946951,4,3
1498950553,5,0
1498954204,2,3
1498961340,1,8
1498964986,5,3
1498968538,2,2
1498972167,0,1
1498975744,0,1
1498979352,2,12
1498982965,4,13
1498986561,12,2
1498990143,9,1
1498993743,6,1
1498997366,1,0
1499000934,0,3
1499004571,2,4
1499008157,4,1
1499011757,2,4
1499015363,4,3
1499018963,2,7
1499022557,5,1
1499026156,6,4
1499029759,3,4
1499033351,5,3
1499036950,5,1
1499040593,1,0
1499047757,0,1
1499051310,0,9
1499054926,6,2
1499058512,1,9
1499062126,1,1
1499065712,2,5
1499069314,3,7
1499072927,2,4
1499076517,13,2
1499080125,1,2
1499083739,3,7
1499087322,3,1
1499090902,2,7
1499094552,1,2
1499098115,14,9
1499101723,3,1
1499105349,3,2
1499108917,3,0
1499112522,1,18
1499116108,12,1
1499119733,11,7
1499123309,6,0
1499126966,1,1
1499130573,1,2
1499134113,2,4
1499137728,4,12
1499141334,5,4
1499144921,6,3
1499148534,3,3
1499152119,4,3
1499155752,0,1
1499159314,2,14
1499162936,12,3
1499166530,4,4
1499170123,6,1
1499173728,3,4
1499177340,4,5
1499180923,3,1
1499184545,10,1
1499188149,1,0
1499191774,1,0
1499198928,0,3
1499202536,2,1
1499206109,0,2
1499209702,0,3
1499213391,7,0
1499216950,0,3
1499220544,0,2
1499224127,0,1
1499227766,3,16
1499231342,4,3
1499234907,7,2
1499238538,6,1
1499242153,6,0
1499245726,1,0
1499256548,0,1
1499260130,1,3
1499263739,0,3
1499267350,0,2
1499270928,2,3
1499274550,2,1
1499278133,1,5
1499281760,0,11
1499285347,22,0
1499296148,1,0
1499299761,0,6
