DateTime,AddedIPs,RemovedIPs
1497139869,17,0
1497150622,0,34
1497154230,1,0
1497157820,1,0
1497161447,1,0
1497168620,0,1
1497172220,0,1
1497175820,0,1
1497179430,1,0
1497190246,1,0
1497193822,0,1
1497201052,2,0
1497204652,0,2
1497208233,1,0
1497215447,0,2
1497226264,13,0
1497229838,1,0
1497237002,0,22
1497244237,0,1
1497247851,0,1
1497294649,1,0
1497312680,15,0
1497316224,2,0
1497319853,0,1
1497323449,0,5
1497330626,0,2
1497345051,0,1
1497363015,1,0
1497373831,0,1
1497377437,1,1
1497399083,27,0
1497409810,0,15
1497420622,8,0
1497427824,8,0
1497431425,0,8
1497435002,8,0
1497442214,0,8
1497445813,0,8
1497471041,8,0
1497478253,0,1
1497485461,10,0
1497489043,5,0
1497492623,1,0
1497496213,1,16
1497499816,1,1
1497503420,1,1
1497507050,1,9
1497510619,1,1
1497514224,1,1
1497517824,1,1
1497521393,1,1
1497525008,9,1
1497528619,1,1
1497532221,1,1
1497535808,1,9
1497539403,1,1
1497543015,1,1
1497546621,1,1
1497550226,1,1
1497553828,1,1
1497557439,1,1
1497561019,1,1
1497564623,1,1
1497568232,1,1
1497571878,17,1
1497575411,2,1
1497579010,1,2
1497582614,1,20
1497586197,1,3
1497589822,1,1
1497593401,1,1
1497597041,1,1
1497600605,1,1
1497604224,0,1
1497607839,1,1
1497611401,1,0
1497615009,1,1
1497618625,1,1
1497622205,10,1
1497625811,1,1
1497629411,1,1
1497633040,1,9
1497636598,9,1
1497640216,1,1
1497643837,1,1
1497647418,1,10
1497651012,2,1
1497654624,1,1
1497658263,22,1
1497661821,1,1
1497665418,1,1
1497669042,1,28
1497672601,1,3
1497676207,1,1
1497679801,1,1
1497683414,1,1
1497687020,2,1
1497690615,2,1
1497694201,1,1
1497697836,1,1
1497701404,1,2
1497704984,1,1
1497708628,1,1
1497712224,2,1
1497715854,1,1
1497719419,1,1
1497723035,1,2
1497726619,1,1
1497730204,1,1
1497733806,1,1
1497737426,1,1
1497741043,1,1
1497744648,17,2
1497748218,2,1
1497751845,0,1
1497755443,0,8
1497762617,1,1
1497777049,0,1
1497780645,0,1
1497795056,1,0
1497798616,1,0
1497809452,0,1
1497823842,0,1
1497831087,16,0
1497841837,0,13
1497845431,1,1
1497859845,0,1
1497881425,1,0
1497895827,0,1
1497899454,1,0
1497913828,0,1
1497917458,25,0
1497921040,0,1
1497924653,2,0
1497928225,0,19
1498003874,18,0
1498011016,1,1
1498014648,0,14
1498018280,0,1
1498021846,2,0
1498025446,0,1
1498029017,1,0
1498036234,0,1
1498039862,0,1
1498047056,1,0
1498054229,1,0
1498057849,0,1
1498065046,1,1
1498075823,1,1
1498079453,1,0
1498083034,1,0
1498086650,1,1
1498090287,6,1
1498093857,1,1
1498097479,1,1
1498101029,0,14
1498104612,1,0
1498108242,1,1
1498111840,0,1
1498115438,1,1
1498122614,1,1
1498129825,1,0
1498133412,1,1
1498137012,0,1
1498140617,1,0
1498151467,0,1
1498158618,1,1
1498162250,0,1
1498165828,1,0
1498169470,0,1
1498176657,17,0
1498183840,0,1
1498187450,0,30
1498191000,1,2
1498194617,1,0
1498198216,1,0
1498201822,4,1
1498208995,0,1
1498212603,1,0
1498216209,0,4
1498223404,0,1
1498230623,1,1
1498234241,2,0
1498237811,1,0
1498241427,0,1
1498245005,1,2
1498248619,0,2
1498252194,1,1
1498255810,2,0
1498263050,10,2
1498266634,1,0
1498270199,0,2
1498273826,0,16
1498277431,1,0
1498281013,0,1
1498288240,1,0
1498302599,0,2
1498313428,1,0
1498324182,0,1
1498327813,1,0
1498349452,21,0
1498353043,2,1
1498356629,1,0
1498360246,1,5
1498364597,0,1
1498367394,0,2
1498374623,0,1
1498378238,1,0
1498385433,0,1
1498396226,1,0
1498410627,0,1
1498417833,1,0
1498435854,31,0
1498439428,1,1
1498443013,2,0
1498446624,0,19
1498450229,0,2
1498457422,0,2
1498461018,1,0
1498464638,0,1
1498468188,1,0
1498475414,1,1
1498479025,2,0
1498482617,0,3
1498486219,3,1
1498493445,1,0
1498497016,1,0
1498500599,0,3
1498504234,2,0
1498507830,1,1
1498511439,0,1
1498515010,0,1
1498518608,1,1
1498522256,15,1
1498525829,0,1
1498529443,1,2
1498532984,1,12
1498536626,1,2
1498543819,2,0
1498547411,1,0
1498551008,1,0
1498554610,1,1
1498558230,1,1
1498561813,0,1
1498565416,0,2
1498569031,1,1
1498572618,1,0
1498576217,1,1
1498579801,1,0
1498583418,1,1
1498590614,1,0
1498594227,0,1
1498597827,1,0
1498605008,1,1
1498608632,27,0
1498612262,0,1
1498615849,0,1
1498619477,1,22
1498623060,1,2
1498626663,0,1
1498630248,1,0
1498633854,1,0
1498637429,1,1
1498641027,2,0
1498644643,1,2
1498648236,0,1
1498651823,2,1
1498655424,1,0
1498659050,1,1
1498662650,0,1
1498666258,1,0
1498669846,0,1
1498673458,0,1
1498677050,0,1
1498680647,0,1
1498684230,1,0
1498687846,1,0
1498695103,33,1
1498698624,11,1
1498702256,8,2
1498705832,5,27
1498709443,8,7
1498713053,1,8
1498716654,8,1
1498720284,8,8
1498723838,8,8
1498727461,8,8
1498731062,5,8
1498734687,4,5
1498738223,8,5
1498741863,9,9
1498745463,8,8
1498749062,5,4
1498752648,8,8
1498756257,2,6
1498759867,3,5
1498763450,5,4
1498767041,10,9
1498770652,8,1
1498774258,9,9
1498777870,1,8
1498781489,34,8
1498788631,6,6
1498792227,5,1
1498795848,9,20
1498799438,7,8
1498803038,8,6
1498806673,3,3
1498810240,8,10
1498813840,10,8
1498817423,8,8
1498821024,3,8
1498824637,5,2
1498828234,8,6
1498831831,4,8
1498835445,0,8
1498839030,2,1
1498842637,1,3
1498846259,9,9
1498849849,2,2
1498853452,9,0
1498857013,8,1
1498860620,8,8
1498864251,2,3
1498867912,26,9
1498871464,0,7
1498875061,1,4
1498878657,7,31
1498882258,6,9
1498885868,9,2
1498889434,2,1
1498893063,4,6
1498896644,3,3
1498900265,9,8
1498903854,8,3
1498907467,4,2
1498911045,6,8
1498914678,8,9
1498918249,8,8
1498921871,6,4
1498925468,9,8
1498929043,8,8
1498932648,8,8
1498936267,0,10
1498939824,2,2
1498943457,2,0
1498947044,9,8
1498950644,9,9
1498954298,20,2
1498957850,1,8
1498961430,2,10
1498965080,0,34
1498968625,0,3
1498975840,1,1
1498979442,1,1
1498983061,2,1
1498990240,1,1
1498993848,2,1
1498997451,1,2
1499001023,1,1
1499004662,1,1
1499008248,1,2
1499015446,2,0
1499019061,0,1
1499022650,0,1
1499029856,1,2
1499033440,0,1
1499037034,1,0
1499040670,17,0
1499044202,0,1
1499051391,1,26
1499055019,0,2
1499058606,1,0
1499065808,1,2
1499073012,2,1
1499080206,1,1
1499087400,1,2
1499094640,1,0
1499098194,1,0
1499101808,0,2
1499109004,1,2
1499112593,2,0
1499116197,1,1
1499123396,1,0
1499127050,13,1
1499130681,1,2
1499134200,1,0
1499137811,1,22
1499145013,1,0
1499148607,1,1
1499155840,0,2
1499159395,0,2
1499163017,1,1
1499166608,2,1
1499173820,1,0
1499177421,2,1
1499181008,1,1
1499188235,0,1
1499195428,0,1
1499199010,1,1
1499206211,2,1
1499213473,25,1
1499217047,1,1
1499220627,0,2
1499224211,0,17
1499231438,0,1
1499253018,1,0
1499267442,0,1
1499274633,1,0
1499289033,0,1
1499299855,14,0
1499307020,1,0
1499310636,0,15
1499343012,0,1
1499346637,1,0
1499357439,0,1
1499371830,1,0
1499379024,0,1
1499386257,12,1
1499393415,1,0
1499397013,0,10
1499400620,0,1
1499407804,0,1
1499418630,2,0
1499433019,0,1
1499436606,1,0
1499440223,1,0
1499443823,0,1
1499451031,0,1
1499472651,13,1
1499479822,2,0
1499483412,0,25
1499494220,0,1
1499497841,0,1
1499512223,1,0
1499526629,0,1
1499533856,1,0
1499559107,12,0
1499569837,0,13
1499573440,0,1
1499616629,0,1
1499641843,1,0
1499645468,11,0
1499656225,0,13
1499703041,0,1
1499724593,1,0
1499731880,25,0
1499742627,0,13
1499746245,0,1
1499818260,18,0
1499829048,0,11
1499832644,1,0
1499843446,0,1
1499865037,0,1
1499904674,19,0
1499915445,0,13
1499937043,1,0
1499951436,0,1
1499991061,14,0
1500001836,0,24
1500005452,0,2
1500030605,1,0
1500041439,0,1
1500077462,16,0
1500081033,3,0
1500088221,0,18
1500091819,0,1
1500163852,16,0
1500174604,0,16
1500178229,0,1
1500207013,0,1
1500210603,0,1
1500214212,1,0
1500225014,1,0
1500250281,17,0
1500253818,0,1
1500257401,1,0
1500261004,0,12
1500264629,0,1
1500275424,0,1
1500279042,1,0
1500293438,1,0
1500307821,0,2
1500311398,1,0
1500336641,19,0
1500340215,2,0
1500343843,1,1
1500347437,2,17
1500351046,1,1
1500354647,1,1
1500358235,2,1
1500361837,1,1
1500365430,2,2
1500369028,2,1
1500372634,2,2
1500376245,0,1
1500379874,1,3
1500383413,2,1
1500387021,2,1
1500390640,1,1
