DateTime,Entries,UniqueIPs
1497168620,52,52
1497172220,51,51
1497175820,50,50
1497179430,51,51
1497190246,52,52
1497193822,51,51
1497201052,53,53
1497204652,51,51
1497208233,52,52
1497215447,50,50
1497226264,63,63
1497229838,64,64
1497237002,42,42
1497244237,41,41
1497247851,40,40
1497294649,41,41
1497312680,56,56
1497316224,58,58
1497319853,57,57
1497323449,52,52
1497330626,50,50
1497345051,49,49
1497363015,50,50
1497373831,49,49
1497377437,49,49
1497399083,76,76
1497409810,61,61
1497420622,69,69
1497427824,77,77
1497431425,69,69
1497435002,77,77
1497442214,69,69
1497445813,61,61
1497471041,69,69
1497478253,68,68
1497485461,78,78
1497489043,83,83
1497492623,84,84
1497496213,69,69
1497499816,69,69
1497503420,69,69
1497507050,61,61
1497510619,61,61
1497514224,61,61
1497517824,61,61
1497521393,61,61
1497525008,69,69
1497528619,69,69
1497532221,69,69
1497535808,61,61
1497539403,61,61
1497543015,61,61
1497546621,61,61
1497550226,61,61
1497553828,61,61
1497557439,61,61
1497561019,61,61
1497564623,61,61
1497568232,61,61
1497571878,77,77
1497575411,78,78
1497579010,77,77
1497582614,58,58
1497586197,56,56
1497589822,56,56
1497593401,56,56
1497597041,56,56
1497600605,56,56
1497604224,55,55
1497607839,55,55
1497611401,56,56
1497615009,56,56
1497618625,56,56
1497622205,65,65
1497625811,65,65
1497629411,65,65
1497633040,57,57
1497636598,65,65
1497640216,65,65
1497643837,65,65
1497647418,56,56
1497651012,57,57
1497654624,57,57
1497658263,78,78
1497661821,78,78
1497665418,78,78
1497669042,51,51
1497672601,49,49
1497676207,49,49
1497679801,49,49
1497683414,49,49
1497687020,50,50
1497690615,51,51
1497694201,51,51
1497697836,51,51
1497701404,50,50
1497704984,50,50
1497708628,50,50
1497712224,51,51
1497715854,51,51
1497719419,51,51
1497723035,50,50
1497726619,50,50
1497730204,50,50
1497733806,50,50
1497737426,50,50
1497741043,50,50
1497744648,65,65
1497748218,66,66
1497751845,65,65
1497755443,57,57
1497762617,57,57
1497777049,56,56
1497780645,55,55
1497795056,56,56
1497798616,57,57
1497809452,56,56
1497823842,55,55
1497831087,71,71
1497841837,58,58
1497845431,58,58
1497859845,57,57
1497881425,58,58
1497895827,57,57
1497899454,58,58
1497913828,57,57
1497917458,82,82
1497921040,81,81
1497924653,83,83
1497928225,64,64
1498003874,82,82
1498011016,82,82
1498014648,68,68
1498018280,67,67
1498021846,69,69
1498025446,68,68
1498029017,69,69
1498036234,68,68
1498039862,67,67
1498047056,68,68
1498054229,69,69
1498057849,68,68
1498065046,68,68
1498075823,68,68
1498079453,69,69
1498083034,70,70
1498086650,70,70
1498090287,75,75
1498093857,75,75
1498097479,75,75
1498101029,61,61
1498104612,62,62
1498108242,62,62
1498111840,61,61
1498115438,61,61
1498122614,61,61
1498129825,62,62
