DateTime,AddedIPs,RemovedIPs
1440014578,0,1
1442872722,0,14635
1443553346,13387,0
1445940189,1740,0
1446423879,225,6669
1446461144,7487,7341
1446571075,0,1
1446628520,169,0
1447289071,1982,2293
1448304810,0,1
1450209686,4598,0
1450210486,37,0
1452223010,2981,6656
1452231011,45,0
1454366922,14156,3233
1454453593,858,826
1454497598,780,0
1454671471,1663,1737
1454697074,272,0
1454871021,1177,0
1454926227,682,0
1456930052,7,23482
1456942054,20096,0
1459209725,7132,0
1459296752,1056,0
1459383782,1234,0
1459470508,915,0
1459557533,885,0
1459644264,940,0
1459731294,848,0
1459818324,958,0
1459905649,791,0
1459992680,798,0
1460079412,803,0
1460166439,1020,0
1460253477,889,0
1460340509,788,0
1460427243,759,0
1460514277,1106,0
1460601310,873,0
1460688340,853,0
1460775676,828,0
1460862714,869,0
1460949752,771,0
1461036801,935,0
1461123831,928,0
1461210867,772,0
1461297913,863,0
1461384983,857,0
1461472061,986,0
1461559097,736,14350
1461646134,1013,0
1461733179,983,0
1461820206,853,20799
1461907231,1014,0
1461994558,1016,0
1462081584,1072,0
1462168610,1,22098
1462255638,19310,0
1462342662,659,1965
1462429690,1252,367
1462516717,924,767
1462603745,873,1055
1462690772,595,1576
1462777802,1376,0
1462864528,3,19249
1462951555,18346,6
1463038581,1192,1
1463125590,1021,1313
1463212616,997,0
1463299641,966,0
1463386667,8,21084
1463473693,18179,18
1463560717,1941,0
1463647741,979,1745
1463734764,967,1822
1463822090,1081,394
1463909117,686,1089
1463996142,759,554
1464083169,1450,0
1464169895,1053,2
1464256921,1118,3356
1464343647,1087,638
1464430673,652,810
1464517697,1131,0
1464604723,673,1412
1464691749,842,1134
1464778775,1496,0
1464866102,871,1623
1464953126,648,1084
1465040151,1174,163
1465127177,994,1
1465213901,986,2
1465300926,968,0
1465387950,919,0
1465474973,1445,0
1465561697,842,5703
1465648724,1073,0
1465735748,722,2169
1465822774,796,991
1465909799,1248,1
1465996525,733,1895
1466083549,1270,0
1466170274,139,18286
1466257300,17882,1
1466344097,103,21133
1466431121,110,0
1466518145,112,0
1466605170,140,0
1466692195,109,0
1466779219,99,0
1466866244,99,1
1466952969,94,0
1467039994,116,0
1467127018,204,0
1467214043,140,0
1467301067,134,0
1467388091,91,0
1467475116,93,0
1467562142,98,0
1467649169,126,0
1467735895,95,0
1467822922,105,0
1467909948,117,0
1467996974,86,0
1468084000,75,0
1468171026,79,0
1468258053,78,0
1468345079,97,0
1468432104,94,0
1468519131,113,0
1468606156,101,0
1468693182,93,0
1468780208,75,0
1468867233,89,0
1468954259,84,0
1469041285,94,0
1469128309,92,0
1469215335,104,0
1469302040,141,0
1469389065,127,0
1469476090,78,0
1469563115,176,0
1469650141,101,0
1469737167,69,0
1469824192,87,0
1469911217,82,0
1469998242,90,2
1470084968,91,0
1470171992,79,0
1470259016,107,0
1470346040,87,0
1470433064,81,0
1470520089,68,0
1470607113,86,0
1470694138,104,0
1470781164,100,0
1470868188,82,0
1470955212,83,0
1471042237,71,0
1471128960,80,0
1471215985,86,0
1471302709,91,0
1471389733,105,0
1471476459,90,0
1471563483,107,0
1471650229,89,1
1471737247,86,0
1471823968,62,0
1471910989,64,0
1471998011,56,0
1472085032,74,0
1472172053,65,0
1472259075,62,0
1472346395,53,0
1472433414,69,0
1472520435,70,0
1472607457,56,0
1472694478,47,0
1472781501,43,0
1472868222,71,0
1472955243,76,0
1473041966,97,0
1473128987,65,0
1473216007,83,0
1473303028,75,0
1473390050,147,0
1473477071,15,8473
1473564093,1270,0
1473651115,132,0
1473738136,145,0
1473824858,104,0
1473911880,103,0
1473998902,90,0
1474085925,88,0
1474172946,103,0
1474259968,91,0
1474346987,85,0
1474434009,105,0
1474521029,127,0
1474608052,108,0
1474695073,75,0
1474782095,85,0
1474869115,86,0
1474956435,70,0
1475043457,89,0
1475130478,65,0
1475217498,84,0
1475304217,104,0
1475391238,73,0
1475478260,63,0
1475565281,66,0
1475652305,73,0
1475739328,76,0
1475826352,76,0
1475913375,81,0
1476000399,90,0
1476087422,120,0
1476174445,92,0
1476261468,120,0
1476348490,98,0
1476435510,100,0
1476522532,62,0
1476609554,84,0
1476696576,88,0
1476783594,100,0
1476870616,103,0
1476957636,70,0
1477044658,71,0
1477131680,92,0
1477218700,64,0
1477305721,90,0
1477392442,84,0
1477479464,94,0
1477566486,81,0
1477653506,71,0
1477740525,47,4338
1477827545,142,0
1477914567,130,0
1478001588,138,0
1478088610,136,0
1478175632,131,0
1478262653,125,0
1478349675,144,0
1478436696,105,0
1478523717,108,0
1478610740,114,0
1478697761,106,0
1478784782,141,0
1478871804,107,0
1478958825,107,0
1479045847,126,0
1479132868,96,0
1479219891,101,0
1479306913,114,0
1479393934,116,0
1479480955,101,0
1479567977,107,0
1479654697,90,0
1479742019,110,0
1479829041,193,0
1479916064,97,0
1480003085,114,2
1480090106,73,0
1480177128,85,0
1480264149,107,0
1480351169,95,0
1480438189,91,0
1480525211,84,0
1480612230,99,0
1480698952,107,0
1480785974,76,0
1480872996,75,0
1480960018,74,0
1481047040,101,0
1481134062,87,0
1481221084,104,0
1481307806,91,0
1481394825,90,0
1481481846,101,0
1481568867,78,0
1481655887,66,0
1481742909,78,0
1481830230,83,0
1481917252,92,0
1482004274,79,0
1482090996,71,0
1482178018,67,0
1482265039,81,0
1482352058,66,0
1482439080,69,0
1482526100,76,0
1482613120,73,0
1482700140,75,0
1482787161,113,0
1482874183,87,0
1482961203,112,0
1483048224,133,0
1483135246,118,0
1483222266,86,0
1483309288,88,0
1483396309,96,0
1483483330,105,0
1483570052,114,0
1483657074,84,0
1483744094,110,0
1483831116,24,6829
1483918137,189,15
1484005157,171,0
1484092178,195,0
1484179198,172,0
1484266219,182,0
1484353240,149,0
1484440261,136,0
1484527280,138,0
1484614301,151,0
1484701453,207,0
1484788473,145,0
1484875194,117,0
1484962212,75,0
1485048932,79,0
1485135953,79,0
1485222974,72,0
1485309996,89,0
1485397017,101,0
1485484038,105,0
1485571059,113,0
1485658081,96,0
1485745102,100,0
1485831821,104,0
1485919142,88,0
1486006163,95,0
1486093185,99,0
1486180206,78,0
1486267226,65,0
1486354247,80,0
1486441268,74,0
1486528289,76,1
1486615311,85,1
1486702332,107,0
1486789354,98,0
1486876376,72,0
1486963397,78,0
1487050416,78,0
1487137439,87,0
1487224459,75,0
1487311179,59,0
1487398201,83,0
1487485221,79,0
1487572241,77,0
1487659261,86,0
1487746282,69,0
1487833303,60,0
1487920324,66,0
1488007345,92,0
1488094065,99,0
1488181085,115,0
1488267805,112,0
1488354828,110,0
1488441849,117,0
1488528871,124,0
1488615892,101,0
1488702914,124,0
1488789936,119,0
1488876957,128,0
1488963979,107,0
1489050700,108,0
1489137720,106,0
1489224740,105,0
1489311760,100,0
1489398780,95,0
1489485802,134,0
1489572822,137,0
1489659842,98,0
1489746864,86,0
1489833886,99,0
1489920907,107,0
1490007928,100,0
1490094950,118,0
1490181971,123,0
1490268992,104,0
1490356013,112,0
1490443035,105,0
1490530057,110,0
1490617078,110,0
1490704100,4,9608
1490791120,1600,0
1490878140,124,0
1490918371,3990,189
1494489606,211,4131
1494576005,179,0
1494662406,224,0
1494748807,218,0
1494835205,186,0
1494921605,196,0
1495008005,181,0
1495094405,186,0
1495180805,200,0
1495267206,183,0
1495353605,147,0
1495440006,153,0
1495526406,167,0
1495612805,180,0
1495699204,174,0
1495785605,237,0
1495872005,206,0
1495958405,213,0
1496044805,187,0
1496131205,204,0
1496217605,131,0
1496304005,161,0
1496390405,167,0
1496476806,194,0
1496563205,187,0
1496649606,176,0
1496736005,177,0
1496822405,192,0
1496908805,67,4828
1496995205,270,0
1497081604,248,0
1497168006,230,0
1497254406,203,0
1497340804,221,0
1497427206,195,0
1497513606,211,0
1497600004,189,0
1497686405,262,0
1497772805,159,0
1497859205,167,0
1497945604,186,0
1498032005,183,0
1498118404,207,0
1498204805,178,0
1498291206,150,0
1498377605,127,0
1498464005,107,0
1498550406,140,0
1498636805,154,0
1498723204,268,0
1498809605,184,0
1498896005,156,247
1498982406,161,0
1499068805,146,0
1499155205,161,0
1499241608,176,0
1499328006,151,0
1499414405,175,0
1499500806,159,4
1499587205,146,0
1499673605,137,0
1499760005,162,0
1499846406,154,0
1499932805,157,0
1500019204,136,0
1500105605,136,2
1500192008,151,0
1500278406,141,0
1500364806,126,0
