DateTime,AddedIPs,RemovedIPs
1456584598,166,103
1456671693,94,91
1456758831,176,106
1456845918,118,80
1456933046,111,87
1457020174,108,98
1457107305,107,115
1457194435,10698,72
1457281529,2150,63
1457368712,241,63
1457456026,233,70
1457543206,191,83
1457630625,279,69
1457717855,297,125
1457804985,280,61
1457892100,170,71
1457979229,552,51
1458066389,153,53
1458153740,471,182
1458241059,229,114
1458328183,220,294
1458415321,203,69
1458502438,170,48
1458589519,152,63
1458676657,134,63
1458763783,217,53
1458850813,525,48
1458937960,206,54
1459025076,144,61
1459112207,197,213
1459199674,138,52
1459286998,179,53
1459374370,207,144
1459461493,147,77
1459548630,149,88
1459635737,104,79
1459722960,118,65
1459810578,98,12509
1459897795,108,255
1459985158,123,136
1460072257,187,109
1460159421,103,152
1460246571,114,203
1460334050,146,186
1460421245,130,151
1460508390,109,128
1460595726,93,163
1460682870,108,361
1460769930,131,276
1460857045,141,197
1460944182,276,179
1461031323,138,182
1461118430,100,168
1461205571,156,165
1461292702,107,149
1461379702,103,656
1461466865,121,234
1461553950,103,190
1461641088,129,306
1461728184,138,493
1461815299,121,183
1461902428,141,165
1461989561,118,300
1462076648,106,136
1462163785,112,107
1462250906,102,105
1462338068,142,1279
1462425151,135,98
1462512278,133,106
1462599391,137,117
1462686534,127,163
1462773663,101,143
1462860753,107,91
1462947878,126,114
1463034974,134,117
1463122109,132,95
1463209232,155,107
1463296393,108,93
1463383456,122,87
1463470594,142,88
1463557719,146,107
1463644833,127,103
1463731947,141,150
1463819057,137,147
1463906183,132,101
1463993301,133,81
1464080452,161,91
1464167743,195,114
1464254820,179,124
1464342021,173,128
1464429093,166,127
1464516271,144,131
1464603384,125,107
1464690572,129,101
1464777635,176,80
1464864749,169,115
1464951876,163,125
1465039031,791,124
1465126143,128,124
1465213221,99,97
1465300351,122,78
1465387457,103,105
1465474620,98,108
1465561707,428,115
1465648819,126,120
1465735949,103,127
1465823080,108,95
1465910186,134,112
1465997301,101,458
1466084434,126,127
1466171555,127,121
1466258672,131,270
1466345805,123,123
1466432906,116,114
1466520030,171,105
1466607143,138,134
1466694258,109,128
1466781377,1083,140
1466868503,119,161
1466955617,140,159
1467042763,122,146
1467129870,331,470
1467216992,272,130
1467304162,423,128
1467391245,171,108
1467478339,163,110
