DateTime,Entries,UniqueIPs
1456584598,5902,5902
1456671693,5905,5905
1456758831,5975,5975
1456845918,6013,6013
1456933046,6037,6037
1457020174,6047,6047
1457107305,6039,6039
1457194435,16665,16665
1457281529,18752,18752
1457368712,18930,18930
1457456026,19093,19093
1457543206,19201,19201
1457630625,19411,19411
1457717855,19583,19583
1457804985,19802,19802
1457892100,19901,19901
1457979229,20402,20402
1458066389,20502,20502
1458153740,20791,20791
1458241059,20906,20906
1458328183,20832,20832
1458415321,20966,20966
1458502438,21088,21088
1458589519,21177,21177
1458676657,21248,21248
1458763783,21412,21412
1458850813,21889,21889
1458937960,22041,22041
1459025076,22124,22124
1459112207,22108,22108
1459199674,22194,22194
1459286998,22320,22320
1459374370,22383,22383
1459461493,22453,22453
1459548630,22514,22514
1459635737,22539,22539
1459722960,22592,22592
1459810578,10181,10181
1459897795,10034,10034
1459985158,10021,10021
1460072257,10099,10099
1460159421,10050,10050
1460246571,9961,9961
1460334050,9921,9921
1460421245,9900,9900
1460508390,9881,9881
1460595726,9811,9811
1460682870,9558,9558
1460769930,9413,9413
1460857045,9357,9357
1460944182,9454,9454
1461031323,9410,9410
1461118430,9342,9342
1461205571,9333,9333
1461292702,9291,9291
1461379702,8738,8738
1461466865,8625,8625
1461553950,8538,8538
1461641088,8361,8361
1461728184,8006,8006
1461815299,7944,7944
1461902428,7920,7920
1461989561,7738,7738
1462076648,7708,7708
1462163785,7713,7713
1462250906,7710,7710
1462338068,6573,6573
1462425151,6610,6610
1462512278,6637,6637
1462599391,6657,6657
1462686534,6621,6621
1462773663,6579,6579
1462860753,6595,6595
1462947878,6607,6607
1463034974,6624,6624
1463122109,6661,6661
1463209232,6709,6709
1463296393,6724,6724
1463383456,6759,6759
1463470594,6813,6813
1463557719,6852,6852
1463644833,6876,6876
1463731947,6867,6867
1463819057,6857,6857
1463906183,6888,6888
1463993301,6940,6940
1464080452,7010,7010
1464167743,7091,7091
1464254820,7146,7146
1464342021,7191,7191
1464429093,7230,7230
1464516271,7243,7243
1464603384,7261,7261
1464690572,7289,7289
1464777635,7385,7385
1464864749,7439,7439
1464951876,7477,7477
1465039031,8144,8144
1465126143,8148,8148
1465213221,8150,8150
1465300351,8194,8194
1465387457,8192,8192
1465474620,8182,8182
1465561707,8495,8495
1465648819,8501,8501
1465735949,8477,8477
1465823080,8490,8490
1465910186,8512,8512
1465997301,8155,8155
1466084434,8154,8154
1466171555,8160,8160
1466258672,8021,8021
1466345805,8021,8021
1466432906,8023,8023
1466520030,8089,8089
1466607143,8093,8093
1466694258,8074,8074
1466781377,9017,9017
1466868503,8975,8975
1466955617,8956,8956
1467042763,8932,8932
1467129870,8793,8793
1467216992,8935,8935
1467304162,9230,9230
1467391245,9293,9293
1467478339,9346,9346
1467565468,9396,9396
1467652599,9200,9200
1467739697,9433,9433
1467826827,9314,9314
1467913984,9576,9576
1468001062,9621,9621
1468088188,9685,9685
1468175307,9265,9265
1468262431,9306,9306
1468349549,9334,9334
1468436668,9359,9359
1468523795,9563,9563
1468610910,9626,9626
1468698040,9744,9744
1468785148,9768,9768
1468872267,9826,9826
1468959377,9896,9896
1469046506,9947,9947
1469133615,10003,10003
1469220741,10042,10042
1469307868,10087,10087
1469395075,9825,9825
1469482108,8923,8923
1469569231,8973,8973
1469656339,8990,8990
1469743460,8926,8926
1469830589,8825,8825
1469917700,8720,8720
1470004833,8705,8705
1470091949,8739,8739
1470179053,8724,8724
1470266188,8438,8438
1470353310,8223,8223
1470440421,8287,8287
1470527538,8306,8306
1470614675,8180,8180
1470701801,8248,8248
1470788897,8282,8282
1470876022,8273,8273
1470963151,8294,8294
1471050264,9320,9320
1471137386,9334,9334
1471224537,9308,9308
1471311640,10595,10595
1471398742,10887,10887
1471485873,10891,10891
