DateTime,Entries,UniqueIPs
1450513745,573,573
1450601172,566,566
1450688446,565,565
1450775539,555,555
1450862878,554,554
1450949932,540,540
1451037279,534,534
1451129554,528,528
1451216767,512,512
1451304072,510,510
1451391296,504,504
1451478447,500,500
1451565940,489,489
1451653286,493,493
1451740718,484,484
1451828214,481,481
1451915663,476,476
1452002991,476,476
1452090015,462,462
1452177495,453,453
1452312111,433,433
1452399550,436,436
1452487118,420,420
1452574499,411,411
1452661837,399,399
1452749305,386,386
1452836770,373,373
1452924149,369,369
1453011583,366,366
1453098817,353,353
1453185885,342,342
1453273005,334,334
1453360139,332,332
1453447256,327,327
1453534380,328,328
1453621513,326,326
1453708618,317,317
1453796020,301,301
1453883094,296,296
1453970464,289,289
1454057564,281,281
1454144703,275,275
1454231809,267,267
1454318941,272,272
1454406058,263,263
1454493284,247,247
1454580389,237,237
1454667654,230,230
1454754787,219,219
1454842093,215,215
1454929268,209,209
1455016431,203,203
1455103512,194,194
1455190604,187,187
1455277757,184,184
1455364868,178,178
1455451972,175,175
1455539087,172,172
1455626246,166,166
1455713347,166,166
1455800458,164,164
1455887594,159,159
1455974681,155,155
1456061862,156,156
1456148937,158,158
1456236078,162,162
1456323237,162,162
1456410370,167,167
1456497456,168,168
1456584601,174,174
1456671699,173,173
1456758835,171,171
1456845922,175,175
1456933050,176,176
1457020175,178,178
1457107308,176,176
1457194439,176,176
1457281533,306,306
1457368713,440,440
1457456028,538,538
1457543210,605,605
1457630626,700,700
1457717858,864,864
1457804986,1013,1013
1457892101,1083,1083
1457979230,1143,1143
1458066390,1188,1188
1458153744,1327,1327
1458241060,1454,1454
1458328185,1533,1533
1458415322,1640,1640
1458502439,1717,1717
1458589520,1781,1781
1458676659,1800,1800
1458763785,1838,1838
1458850816,1866,1866
1458937961,1889,1889
1459025077,1940,1940
1459112210,2031,2031
1459199680,2029,2029
1459287000,2027,2027
1459374371,2025,2025
1459461496,2018,2018
1459548634,2010,2010
1459635738,2008,2008
1459722963,2011,2011
1459810582,2012,2012
1459897799,1985,1985
1459985161,1961,1961
1460072260,1939,1939
1460159423,1918,1918
1460246572,1860,1860
1460334051,1792,1792
1460421248,1740,1740
1460508393,1696,1696
1460595729,1663,1663
1460682874,1638,1638
1460769933,1562,1562
1460857046,1472,1472
1460944184,1411,1411
1461031327,1323,1323
1461118431,1236,1236
1461205572,1177,1177
1461292703,1138,1138
1461379703,1052,1052
1461466866,991,991
1461553951,910,910
1461641116,689,689
1461728184,301,301
1461815299,295,295
1461902428,292,292
1461989562,295,295
1462076648,290,290
1462163785,289,289
1462250907,288,288
1462338069,289,289
1462425152,287,287
1462512279,289,289
1462599392,285,285
1462686535,288,288
1462773664,290,290
1462860754,292,292
1462947879,294,294
1463034975,295,295
1463122110,299,299
1463209233,303,303
1463296393,309,309
1463383457,306,306
1463470595,307,307
1463557720,305,305
1463644834,305,305
1463731948,304,304
1463819058,305,305
1463906184,301,301
1463993301,297,297
1464080453,299,299
1464167744,298,298
1464254821,283,283
1464342022,282,282
1464429094,280,280
1464516272,279,279
1464603385,278,278
1464690573,278,278
1464777636,279,279
1464864749,278,278
1464951890,280,280
1465039032,276,276
1465126144,273,273
1465213222,269,269
1465300352,268,268
1465387458,271,271
1465474621,265,265
1465561708,264,264
1465648820,261,261
1465735949,255,255
1465823081,249,249
1465910186,246,246
1465997301,252,252
1466084434,251,251
1466171556,257,257
1466258672,190,190
1466345806,190,190
1466432907,193,193
1466520031,192,192
1466607143,194,194
1466694259,194,194
1466781377,195,195
1466868503,193,193
1466955619,190,190
1467042763,196,196
1467129870,193,193
1467216993,195,195
1467304163,192,192
1467391245,191,191
1467478340,192,192
1467565469,192,192
1467652600,195,195
1467739697,200,200
1467826827,204,204
1467913985,210,210
1468001062,214,214
1468088189,216,216
1468175308,214,214
1468262432,215,215
1468349549,215,215
1468436668,218,218
1468523796,218,218
1468610910,220,220
1468698041,225,225
1468785149,219,219
1468872268,219,219
1468959378,215,215
1469046507,219,219
1469133616,222,222
1469220742,225,225
1469307869,230,230
1469395076,232,232
1469482109,232,232
1469656340,234,234
1469743461,239,239
1469830590,240,240
1469917701,244,244
1470004834,246,246
1470091950,248,248
1470179054,243,243
1470266189,241,241
1470353311,245,245
