DateTime,AddedIPs,RemovedIPs
1454580392,14,0
1454667655,0,2
1454754788,1,1
1454842094,0,1
1454929268,0,1
1455016435,1,0
1455103512,2,14
1455190605,3,1
1455277757,0,1
1455364870,1,0
1455451974,1,0
1455539088,1,2
1455626247,0,2
1455713348,2,2
1455800459,1,4
1455887595,1,6
1455974681,2,1
1456061864,0,4
1456148938,0,3
1456236081,0,4
1456323238,1,0
1456410371,0,1
1456497457,11,8
1456584602,1,6
1456671700,2,5
1456758837,2,7
1456845925,0,7
1456933051,1,0
1457020176,2,2
1457107312,0,3
1457194440,7,2
1457281535,3,1
1457368714,2,0
1457543211,0,2
1457630629,3,1
1457717861,1,3
1457804987,0,1
1457892105,3,0
1458066391,3,0
1458153745,0,2
1458241062,1,1
1458328188,1,2
1458502441,3,0
1458589521,2,0
1458676662,5,0
1458850819,3,1
1458937962,1,1
1459025080,2,1
1459112211,6,2
1459199681,1,0
1459287002,2,0
1459374375,18,2
1459461499,2,3
1459548635,8,1
1459635741,2,1
1459722966,4,1
1459810585,4,4
1459897801,4,0
1459985164,1,3
1460072261,7,0
1460159426,0,1
1460246575,1,0
1460334052,5,1
1460421249,5,2
1460508394,0,2
1460595733,0,22
1460682875,3,1
1460857047,1,4
1460944185,2,0
1461031329,12,1
1461118432,4,2
1461205572,34,3
1461292703,1,1
1461379704,1,3
1461466867,3,4
1461553951,1,2
1461641170,2,2
1461728185,1,5
1461815300,0,3
1461902429,2,1
1461989562,1,19
1462076649,0,4
1462163786,1,1
1462250907,1,0
1462338070,0,2
1462425152,2,2
1462512280,2,2
1462599393,2,0
1462686535,1,3
1462773664,0,1
1462860754,0,3
1462947879,1,1
1463034976,3,3
1463209234,2,2
1463296394,1,2
1463383458,0,1
1463470595,3,2
1463557721,1,2
1463644834,0,8
1463731949,2,2
1463819059,3,36
1463906184,1,3
1463993302,1,1
1464080454,1,0
1464167744,3,3
1464254821,3,0
1464342023,1,6
1464429094,1,0
1464516272,0,3
1464603386,0,4
1464690574,1,3
1464777637,2,0
1464864750,1,4
1464951892,1,1
1465039032,10,1
1465126144,0,3
1465213222,2,0
1465300352,2,1
1465474621,4,0
1465561708,22,2
1465648820,1,2
1465823082,4,2
1465910187,4,1
1465997302,2,2
1466084435,2,1
1466258673,2,0
1466345806,2,2
1466432907,2,7
1466520031,1,4
1466607144,1,2
1466694259,0,1
1466781378,2,0
1466868504,1,1
1466955619,1,1
1467042764,0,1
1467129871,1,0
1467216994,1,2
1467304163,2,0
1467391246,3,2
1467478340,1,2
1467565470,1,1
1467652600,3,11
1467739698,1,1
1467826828,1,2
1467913985,237,1
1468001063,6,0
1468088190,2,1
1468175308,4,22
1468262433,2,1
1468349550,3,1
1468436669,0,2
1468523796,182,2
1468610911,0,1
1468698042,0,1
1468785150,0,3
1468872268,3,0
1468959379,2,1
1469046508,1,3
1469133617,5,0
1469220743,3,1
1469307870,3,1
1469395077,5,2
1469482109,4,1
1469569232,3,0
1469656340,4,0
1469743462,3,1
1469830591,4,1
1469917702,8,0
1470004835,5,2
1470091951,11,0
1470179055,2,1
1470266190,4,0
1470353312,2,1
1470440423,4,0
1470527540,1,2
1470614676,5,109
1470701803,11,2
1470788899,2,1
1470876023,5,2
1470963153,2,2
1471050266,2,1
1471137388,5,2
1471224539,5,0
1471311642,3,0
1471398744,2,0
1471485875,2,2
1471572993,2,0
1471660110,5,0
1471747231,3,1
1471834360,114,1
1471921468,2,1
1472008595,2,1
1472095719,2,2
1472182827,2,1
1472269983,1,1
1472357331,3,1
1472444437,4,2
1472531558,1,3
1472618663,1,6
1472705799,5,2
1472792908,1,4
1472880040,2,2
1472967438,3,1
1473141668,3,3
1473228745,18,8
1473315853,5,2
1473402997,11,2
1473490109,7,7
1473577283,6,1
1473664609,22,3
1473751706,11,1
1473839235,14,5
1473926471,4,2
1474013550,7,2
1474100660,3,1
1474187799,6,5
1474274909,8,2
1474362064,15,3
1474449154,12,113
1474536255,10,3
1474623414,7,5
1474710502,6,0
1474797681,27,2
1474884749,8,2
1474971855,10,6
1475058980,11,0
1475233479,4,3
1475320605,1,2
1475407709,11,2
1475494832,10,1
1475581949,10,2
1475669063,7,0
1475756197,2,4
1475843300,6,4
1475930420,4,4
1476017551,10,5
1476104689,10,3
1476191811,12,9
1476278895,8,10
1476366024,14,2
1476453147,1,18
1476540532,0,3
1476627630,1,7
1476714751,3,2
1476801869,1,1
1476889000,0,10
1476976095,3,1
1477063239,0,11
1477150443,1,6
1477237454,2,7
1477324590,0,6
1477411724,0,12
1477498819,2,4
1477585962,1,13
1477673062,0,5
1477760195,3,4
1477847311,2,23
1477934428,4,5
1478021568,2,5
1478108678,0,5
1478195804,2,15
1478282917,4,4
1478370278,0,39
1478457398,2,19
1478544500,1,7
1478631691,2,6
1478718776,2,4
1478805877,3,10
1478892991,1,7
1478980147,1,6
1479067280,5,15
1479154366,2,1
1479241486,1,5
1479328600,3,7
1479415726,0,2
1479502873,1,22
1479589963,2,3
1479677062,2,1
1479764184,0,10
1479851311,5,2
1479938481,1,10
1480025564,0,3
1480112670,1,8
1480199793,0,1
1480286909,0,3
1480374096,3,6
1480461146,3,4
1480548261,2,7
1480635407,0,2
1480722509,1,7
1480809769,1,6
1480897244,3,2
1480984270,2,0
1481071622,2,13
1481158739,4,1
1481245975,1,6
1481333059,1,3
1481420199,1,184
1481507300,0,7
1481594507,2,4
1481681562,7,2
1481768677,0,3
1481855798,3,4
1481942914,3,3
1482030096,2,5
1482117155,0,2
1482204282,2,4
1482291399,3,6
1482378523,1,1
1482465767,2,4
1482552781,5,2
1482639863,1,5
1482726989,4,2
1482814128,4,0
1482901339,2,0
1482988359,0,3
1483075457,2,7
1483162613,3,3
1483336902,3,0
1483423963,1,3
1483511059,91,6
1483598192,2,4
1483685309,0,3
1483772519,2,1
1483859790,2,4
1483946911,3,0
1484034046,3,1
1484121158,0,3
1484208543,6,3
1484295635,1,2
1484382771,2,3
1484469866,4,2
1484557005,1,2
1484644130,4,0
1484731495,0,1
1484905712,0,5
1484992917,1,0
1485080324,8,2
1485167339,1,2
1485254477,1,6
1485341590,2,2
1485428936,5,3
1485516046,2,3
1485603146,4,1
1485690271,1,0
1485777400,0,3
1485864549,0,2
1486038788,0,1
1486125869,2,4
1486212993,1,5
1486300152,1,2
1486387484,0,3
1486474601,0,4
1486561711,1,0
1486648894,0,4
1486735971,2,3
1486823098,2,4
1486910192,0,88
1487084558,1,1
1487171796,0,1
1487258893,1,1
1487346015,0,1
1487433087,5,2
1487520117,3,1
1487607169,0,3
1487694258,69,5
1487781391,1,17
1487868499,2,2
1487955593,2,1
1488042771,2,5
1488129862,2,1
1488217030,3,4
1488304100,7,0
1488391316,1,3
1488478359,1,1
1488565481,3,2
1488652603,2,2
1488739710,3,3
1488913966,2,2
1489001058,3,1
1489088207,4,0
1489175297,3,1
1489262482,10,2
1489349556,4,2
1489436661,1,0
1489523782,15,1
1489610940,3,0
1489698081,4,0
1489785171,2,1
1489872262,2,2
1489959410,1,0
1490046496,1,0
1490133694,5,2
1490220745,1,0
1490307857,1,9
1490395006,1,0
1490482109,0,1
1490569309,1,2
1490656337,2,1
1490743458,1,2
1490830591,2,1
1490917722,2,3
1491004927,2,4
1491091974,2,4
1491179078,0,2
1491266198,4,4
1491353320,0,3
1491527812,1,1
1491614897,0,69
1491789168,1,0
1491876276,0,9
1491963398,38,2
1492050780,0,6
1492137883,0,4
1492224994,0,1
1492312128,1,6
1492399270,3,5
1492486354,19,3
1492573463,1,2
1492660581,2,4
1492747705,0,5
1492834832,12,7
1492921971,0,1
1493009060,2,1
1493096215,2,0
1493183361,0,1
1493270435,1,3
1493357584,0,2
1493444666,0,2
1493531797,1,4
1493618944,0,6
1493793185,2,4
1493880253,1,6
