DateTime,Entries,UniqueIPs
1456758838,1083,1083
1456845926,1105,1105
1456933051,1114,1114
1457020177,1127,1127
1457107315,1127,1127
1457194441,1118,1118
1457281536,1112,1112
1457368715,1110,1110
1457456035,1119,1119
1457543212,1127,1127
1457630630,1133,1133
1457717862,1127,1127
1457804988,1125,1125
1457892108,1113,1113
1457979234,1121,1121
1458066395,1136,1136
1458153749,1138,1138
1458241066,1146,1146
1458328189,1176,1176
1458415326,1178,1178
1458502449,1180,1180
1458589522,1196,1196
1458676666,1211,1211
1458763789,1281,1281
1458850820,1333,1333
1458937966,1372,1372
1459025081,1370,1370
1459112212,1355,1355
1459199687,1391,1391
1459287005,1476,1476
1459374378,1509,1509
1459461502,1530,1530
1459548639,1562,1562
1459635742,1557,1557
1459722969,1553,1553
1459810587,1574,1574
1459897804,1586,1586
1459985166,1600,1600
1460072268,1609,1609
1460159427,1616,1616
1460246581,1617,1617
1460334056,1650,1650
1460421250,1664,1664
1460508397,1680,1680
1460595739,1675,1675
1460682878,1688,1688
1460769935,1701,1701
1460857050,1713,1713
1460944186,1683,1683
1461031332,1699,1699
1461118432,1698,1698
1461205573,1691,1691
1461292704,1687,1687
1461379704,1635,1635
1461466867,1614,1614
1461553952,1591,1591
1461684794,1612,1612
1461771848,1607,1607
1461858990,1542,1542
1461946379,1510,1510
1462033456,1508,1508
1462120600,1501,1501
1462207900,1495,1495
1462295049,1507,1507
1462382194,1520,1520
1462469316,1528,1528
1462556418,1530,1530
1462643488,1532,1532
1462730697,1526,1526
1462817783,1530,1530
1462904917,1562,1562
1462992072,1587,1587
1463079159,1608,1608
1463166262,1623,1623
1463253407,1631,1631
1463340464,1644,1644
1463427656,1681,1681
1463514744,1724,1724
1463601868,1728,1728
1463688989,1756,1756
1463776102,1778,1778
1463863233,1787,1787
1463950347,1791,1791
1464037481,1810,1810
1464124586,1837,1837
1464211718,1852,1852
1464298870,1882,1882
1464385947,1904,1904
1464473056,1901,1901
1464560195,1910,1910
1464647212,1923,1923
1464734440,1958,1958
1464821596,1971,1971
1464908652,1971,1971
1464995807,1974,1974
1465082918,1962,1962
1465170016,1955,1955
1465257167,1966,1966
1465344281,1985,1985
1465431417,1990,1990
1465518509,1975,1975
1465605625,1957,1957
1465692777,1946,1946
1465779862,1944,1944
1465866987,1948,1948
1465954109,1962,1962
1466041253,1955,1955
1466129502,1938,1938
1466216660,1918,1918
1466303762,1886,1886
1466390908,1860,1860
1466478037,1887,1887
1466565153,1908,1908
1466652254,1899,1899
1466739399,1899,1899
1466826535,1883,1883
1466913946,1863,1863
1467000989,1822,1822
1467088107,1859,1859
1467175221,1529,1529
1467262336,1577,1577
1467349460,1589,1589
1467436591,1612,1612
1467523714,1662,1662
1467610897,1694,1694
1467698010,1742,1742
1467785055,1784,1784
1467872180,1815,1815
1467959322,1835,1835
1468046433,1870,1870
1468133617,1889,1889
1468220654,1909,1909
1468307786,1928,1928
1468395650,1978,1978
1468482747,2037,2037
1468569861,2087,2087
1468657001,2180,2180
1468744115,2234,2234
1468831233,2276,2276
1468918336,2351,2351
1469005464,2387,2387
1469092607,2430,2430
1469179701,2456,2456
1469266826,2479,2479
1469353949,2517,2517
1469441070,2546,2546
1469528179,2593,2593
1469615317,2613,2613
1469702443,2639,2639
1469789543,2658,2658
1469876661,2646,2646
1469963824,2650,2650
1470050908,2649,2649
1470138029,2703,2703
1470225150,2712,2712
1470312276,2728,2728
1470399409,2790,2790
1470486513,2789,2789
1470573634,2764,2764
1470660760,2765,2765
1470747857,2782,2782
1470834982,2766,2766
1470922133,2755,2755
1471009244,2730,2730
1471096360,2710,2710
1471183465,2698,2698
1471270610,2677,2677
1471357724,2690,2690
1471444820,2672,2672
1471531965,2628,2628
1471619052,2580,2580
1471706443,2539,2539
1471793548,2504,2504
1471880652,2470,2470
1471967803,2460,2460
1472054926,2440,2440
1472142059,2440,2440
1472229164,2417,2417
1472316261,2392,2392
1472403393,2347,2347
1472490518,2333,2333
1472577653,2352,2352
1472664745,2369,2369
1472751850,2339,2339
1472839001,2320,2320
1472926132,2295,2295
1473013228,2214,2214
1473100338,2207,2207
1473187463,2226,2226
1473274587,2202,2202
1473361706,2191,2191
1473448843,2179,2179
1473535946,2133,2133
1473623067,2113,2113
1473710186,2107,2107
1473797304,2098,2098
1473884717,2095,2095
1473971785,2092,2092
1474058919,2082,2082
1474146062,2057,2057
1474233152,2044,2044
1474320260,2043,2043
1474407393,2054,2054
