DateTime,AddedIPs,RemovedIPs
1456671712,69,65
1456758843,142,71
1456845931,72,53
1456933055,70,58
1457020179,70,74
1457107317,76,82
1457194449,10699,48
1457281539,1993,38
1457368720,76,37
1457456041,95,41
1457543216,90,57
1457630635,154,49
1457717867,104,92
1457804994,107,35
1457892114,82,46
1457979240,465,27
1458066400,76,40
1458153754,303,154
1458241074,68,89
1458328195,82,268
1458415328,68,42
1458502453,67,26
1458589527,54,44
1458676669,78,44
1458763794,86,36
1458850825,426,34
1458937969,121,30
1459025087,68,34
1459112219,81,175
1459199692,79,31
1459287011,82,39
1459374381,139,122
1459461505,99,39
1459548644,87,56
1459635748,72,42
1459722973,89,38
1459810592,55,12493
1459897807,74,209
1459985169,81,83
1460072275,145,61
1460159434,70,102
1460246588,88,117
1460334065,80,88
1460421253,86,70
1460508400,79,68
1460595744,66,77
1460682883,67,310
1460769939,91,176
1460857054,102,78
1460944189,251,64
1461031339,91,74
1461118434,75,54
1461205575,92,65
1461292706,81,77
1461380051,77,489
1461467161,84,116
1461554348,72,56
1461641648,89,59
1461728772,95,80
1461815895,87,74
1461902999,88,61
1461990119,75,257
1462077242,87,86
1462164432,77,83
1462251799,85,85
1462339076,102,1262
1462426195,105,72
1462513365,112,74
1462600678,99,73
1462687801,96,140
1462774940,76,115
1462862050,75,79
1462949150,87,97
1463036268,74,86
1463123712,85,72
1463211048,105,82
1463298496,73,70
1463385731,80,65
1463473107,87,74
1463560252,94,87
1463647585,89,74
1463734706,86,101
1463821822,89,87
1463908988,96,61
1463996291,113,65
1464083404,104,67
1464170535,141,74
1464257979,121,79
1464345239,119,91
1464432360,102,76
1464519475,104,77
1464606598,85,82
1464693717,90,89
1464780830,141,63
1464867957,131,86
1464955084,128,89
1465042190,758,98
1465129426,114,88
1465216695,83,73
1465303804,76,68
1465390966,79,76
1465478055,67,85
1465565153,395,79
1465652297,98,74
1465739681,76,82
1465827017,79,71
1465914115,111,90
1466001246,66,421
1466088354,89,86
1466175480,93,77
1466262595,100,152
1466349615,99,75
1466436757,86,80
1466523865,132,76
1466610979,83,105
1466698413,66,74
1466785467,1058,110
1466872608,90,109
1466960028,101,104
1467047061,78,83
1467134215,265,84
1467221311,208,86
1467308425,346,84
1467395556,97,71
1467482655,92,73
1467569801,82,70
1467656911,481,693
1467744123,252,76
1467831245,79,238
1467918259,84,83
1468005386,99,84
1468092512,104,76
1468179622,99,514
1468266743,103,86
1468353982,71,84
1468440993,77,98
1468528123,81,97
1468615234,78,85
1468702359,86,65
1468789464,65,61
1468876579,62,76
1468963697,95,82
1469050704,91,75
1469137721,88,81
1469224849,90,77
1469311938,68,59
1469399052,74,363
1469486188,98,1034
1469573310,88,84
1469660436,86,102
1469747545,137,223
1469834652,102,224
1469921783,98,189
1470008918,66,82
1470096047,86,84
1470183162,100,179
1470270259,125,413
1470357389,114,343
1470444499,91,98
1470531649,127,83
1470618762,97,113
1470705860,115,76
1470792981,114,98
1470880114,110,103
1470967278,124,73
1471054352,1124,83
1471141460,88,74
1471228591,89,106
1471315713,1343,49
1471402846,363,60
1471489958,92,77
1471577068,112,87
1471664189,120,95
1471751309,135,49
1471838476,144,71
1471925560,133,57
1472012656,126,51
1472099777,110,79
1472186903,111,45
1472274062,98,150
1472361142,79,118
1472448261,74,79
1472535383,139,70
1472622504,103,71
1472709670,97,65
1472796760,91,99
1472883876,101,102
1472970987,92,90
1473058108,81,88
1473145272,119,125
1473232363,137,81
1473319462,160,140
1473406609,139,86
1473493720,130,86
1473580867,101,80
1473667961,114,1037
1473755059,116,86
1473842195,106,75
1473929302,114,75
1474016471,280,314
1474103542,120,84
1474190663,271,97
1474277797,685,109
1474364905,276,83
1474452076,180,112
1474539155,117,135
1474626268,204,127
1474713411,136,110
1474800516,144,93
1474887662,137,89
1474974744,127,47
1475061851,124,87
1475236342,141,218
1475323469,185,90
1475410859,194,73
1475497951,163,62
1475585067,187,59
1475672188,188,76
1475759305,246,85
1475846421,244,95
1475933551,226,117
1476020683,179,115
1476107892,202,100
1476194933,182,90
1476282033,505,97
1476369164,158,107
1476456252,19,68
1476543385,19,515
1476630499,23,117
1476717750,14,87
1476804763,9,104
1476891862,12,701
1476978980,24,1223
1477066122,25,115
1477153232,857,444
1477240340,20,262
1477327464,17,112
1477414611,37,82
1477501726,57,131
1477588826,57,273
1477675943,31,161
1477763070,27,59
1477850194,20,46
1477937319,22,119
1478024447,34,138
1478111570,24,125
1478198669,28,102
1478285791,12,122
1478372913,14,138
1478460038,21,145
1478547154,12,175
1478634276,61,156
1478721393,29,176
1478808516,27,158
1478895646,27,194
1478982756,21,139
1479069878,23,68
1479156986,14,75
1479244118,2270,57
1479331236,27,53
1479418351,21,108
1479505463,1459,61
1479592589,121,41
1479679712,23,47
1479766835,17,751
1479853964,222,50
1479941072,26,44
1480028202,28,60
1480115334,16,72
1480202483,18,127
1480289547,19,56
1480376656,17,45
1480463795,21,36
1480550918,27,66
1480638052,29,34
1480725152,20,48
1480812297,16,45
1480899391,17,39
1480986394,15,23
1481073782,16,34
1481161018,81,39
1481248146,83,67
1481335379,12,66
1481422596,12,28
1481509722,18,40
1481596820,44,35
1481683966,698,29
1481771361,27,30
1481858422,18,389
1481945561,13,1124
1482032662,13,28
1482119796,17,19
1482206920,20,112
1482294033,25,25
1482381168,100,59
1482468267,31,43
1482555401,15,31
1482642509,26,40
1482729889,22,29
1482817005,8,33
1482904125,21,29
1482991301,26,315
1483078347,29,34
1483165484,24,31
1483252628,14,36
1483339722,22,32
1483426899,14,28
1483514213,13,23
1483601299,25,19
1483688453,10,18
1483775561,15,26
1483862669,14,33
1483949734,13,12
1484036902,871,13
1484124024,262,20
1484211159,12,42
1484298539,17,23
1484385666,19,30
1484472756,11,19
1484559887,7,17
1484647003,11,21
1484734164,11,20
1484821242,12,24
1484908355,20,26
1484995503,13,114
1485082599,13,23
1485169713,9,28
1485256848,11,17
1485343948,17,18
1485431064,14,14
1485518194,20,26
1485605336,12,15
1485692704,10,747
1485779786,20,23
1485866925,13,17
1485954113,11,17
1486041177,10,28
1486128302,16,57
1486215415,8,14
1486302547,7,81
1486389708,5,8
1486476792,13,13
1486563923,10,39
1486651016,12,31
1486738109,10,13
1486825279,37,308
1486912612,16,24
1486999968,10,25
1487087314,12,18
1487174488,21,12
1487261592,41,972
1487348661,89,51
1487436044,7,26
1487523148,340,13
1487610265,10,13
1487697396,55,15
1487784518,807,166
1487871617,16,14
1487958768,50,276
1488045868,20,20
1488132997,6,16
1488220102,933,22
1488307250,17,12
1488394373,9,32
1488481478,12,15
1488568596,10,16
1488655727,12,18
1488742814,17,18
1488829961,18,12
1488917323,28,13
1489004460,9,11
1489091555,50,14
1489178682,13,17
1489265787,7,14
1489352902,21,19
1489440051,22,32
1489527416,31,29
1489614520,17,8
1489701708,11,30
1489788750,8,16
1489875879,18,8
1489963020,14,58
1490050109,502,11
1490137303,13,320
1490224356,14,14
1490311471,14,1186
1490398598,10,834
1490485716,15,21
1490572929,16,36
1490659963,1189,9
1490747054,75,9
1490834187,450,948
1490921322,125,16
1491008525,23,11
1491095556,10,12
1491182689,6,31
1491269788,13,6
1491356932,46,141
1491444110,20,20
1491531194,21,23
1491618262,83,24
1491705401,17,48
1491792498,11,10
1491879722,14,16
1491966782,256,12
1492053877,16,38
1492140982,751,79
1492228114,7,34
1492315315,12,11
1492402340,13,12
1492489722,402,16
1492576837,6,16
1492664273,11,855
1492751312,9,5
1492838444,38,12
1492925856,17,23
1493012920,16,15
1493100135,51,11
1493187164,12,16
1493274272,11,53
1493361431,19,15
1493448565,7,317
1493535687,8,153
1493622761,149,18
1493709901,114,13
1493797014,7,10
1493884120,506,11
1494014933,9,86
1494102037,11,16
1494189184,253,18
1494276272,15,69
1494363402,15,13
1494450497,70,10
1494537605,7,982
1494624723,11,46
1494711888,5,879
1494798992,13,14
1494886155,975,12
1494973257,11,16
1495060378,12,5
1495147467,14,11
1495234633,13,15
1495321725,9,19
1495409185,6,515
1495496201,16,10
1495583343,10,12
1495670523,6,61
1495757579,23,800
1495844947,16,20
1495932033,4,16
1496019176,6,18
1496106276,7,10
1496193401,6,257
1496280529,12,126
1496367710,5,15
1496454745,8,14
1496541881,6,743
1496629003,27,13
1496716168,14,5
1496803224,6,11
1496890348,9,376
1496977727,10,19
1497064886,1221,57
1497151984,6,13
1497239062,4,10
1497326232,13,10
1497413340,2,10
1497500445,1,38
1497587587,596,18
1497674687,13,11
1497761793,7,8
1497848901,8,21
1497936032,10,10
1498023189,26,8
1498110270,10,17
1498241325,8,14
1498328468,10,15
1498459225,9,28
1498546380,4,3
1498633718,5,7
1498720861,23,7
1498808045,107,7
1498895054,0,9
1498982183,3,47
1499069334,13,7
1499156464,7,6
1499287214,10,1040
1499374386,15,7
1499461752,16,8
1499548827,10,7
1499636005,6,1128
1499723071,7,7
1499810222,16,9
1499897312,18,8
1499984603,66,10
1500071796,26,5
1500159172,4,3
1500246275,6,925
1500333661,177,16
1500420833,8,9
