DateTime,Entries,UniqueIPs
1456671712,4500,4500
1456758843,4571,4571
1456845931,4590,4590
1456933055,4602,4602
1457020179,4598,4598
1457107317,4592,4592
1457194449,15243,15243
1457281539,17198,17198
1457368720,17237,17237
1457456041,17291,17291
1457543216,17324,17324
1457630635,17429,17429
1457717867,17441,17441
1457804994,17513,17513
1457892114,17549,17549
1457979240,17987,17987
1458066400,18023,18023
1458153754,18172,18172
1458241074,18151,18151
1458328195,17965,17965
1458415328,17991,17991
1458502453,18032,18032
1458589527,18042,18042
1458676669,18076,18076
1458763794,18126,18126
1458850825,18518,18518
1458937969,18609,18609
1459025087,18643,18643
1459112219,18549,18549
1459199692,18597,18597
1459287011,18640,18640
1459374381,18657,18657
1459461505,18717,18717
1459548644,18748,18748
1459635748,18778,18778
1459722973,18829,18829
1459810592,6391,6391
1459897807,6256,6256
1459985169,6254,6254
1460072275,6338,6338
1460159434,6306,6306
1460246588,6277,6277
1460334065,6269,6269
1460421253,6285,6285
1460508400,6296,6296
1460595744,6285,6285
1460682883,6042,6042
1460769939,5957,5957
1460857054,5981,5981
1460944189,6168,6168
1461031339,6185,6185
1461118434,6206,6206
1461205575,6233,6233
1461292706,6237,6237
1461380051,5825,5825
1461467161,5793,5793
1461554348,5809,5809
1461641648,5839,5839
1461728772,5854,5854
1461815895,5867,5867
1461902999,5894,5894
1461990119,5712,5712
1462077242,5713,5713
1462164432,5707,5707
1462251799,5707,5707
1462339076,4547,4547
1462426195,4580,4580
1462513365,4618,4618
1462600678,4644,4644
1462687801,4600,4600
1462774940,4561,4561
1462862050,4557,4557
1462949150,4547,4547
1463036268,4535,4535
1463123712,4548,4548
1463211048,4571,4571
1463298496,4574,4574
1463385731,4589,4589
1463473107,4602,4602
1463560252,4609,4609
1463647585,4624,4624
1463734706,4609,4609
1463821822,4611,4611
1463908988,4646,4646
1463996291,4694,4694
1464083404,4731,4731
1464170535,4798,4798
1464257979,4840,4840
1464345239,4868,4868
1464432360,4894,4894
1464519475,4921,4921
1464606598,4924,4924
1464693717,4925,4925
1464780830,5003,5003
1464867957,5048,5048
1464955084,5087,5087
1465042190,5747,5747
1465129426,5773,5773
1465216695,5783,5783
1465303804,5791,5791
1465390966,5794,5794
1465478055,5776,5776
1465565153,6092,6092
1465652297,6116,6116
1465739681,6110,6110
1465827017,6118,6118
1465914115,6139,6139
1466001246,5784,5784
1466088354,5787,5787
1466175480,5803,5803
1466262595,5751,5751
1466349615,5775,5775
1466436757,5781,5781
1466523865,5837,5837
1466610979,5815,5815
1466698413,5807,5807
1466785467,6755,6755
1466872608,6736,6736
1466960028,6733,6733
1467047061,6728,6728
1467134215,6909,6909
1467221311,7031,7031
1467308425,7293,7293
1467395556,7319,7319
1467482655,7338,7338
1467569801,7350,7350
1467656911,7138,7138
1467744123,7314,7314
1467831245,7155,7155
1467918259,7156,7156
1468005386,7171,7171
1468092512,7199,7199
1468179622,6784,6784
1468266743,6801,6801
1468353982,6788,6788
1468440993,6767,6767
1468528123,6751,6751
1468615234,6744,6744
1468702359,6765,6765
1468789464,6769,6769
1468876579,6755,6755
1468963697,6768,6768
1469050704,6784,6784
1469137721,6791,6791
1469224849,6804,6804
1469311938,6813,6813
1469399052,6524,6524
1469486188,5588,5588
1469573310,5592,5592
1469660436,5576,5576
1469747545,5490,5490
1469834652,5368,5368
1469921783,5277,5277
1470008918,5261,5261
1470096047,5263,5263
1470183162,5184,5184
1470270259,4896,4896
1470357389,4667,4667
1470444499,4660,4660
1470531649,4704,4704
1470618762,4688,4688
1470705860,4727,4727
1470792981,4743,4743
1470880114,4750,4750
1470967278,4801,4801
1471054352,5842,5842
1471141460,5856,5856
1471228591,5839,5839
1471315713,7133,7133
1471402846,7436,7436
1471489958,7451,7451
1471577068,7476,7476
1471664189,7501,7501
1471751309,7587,7587
1471838476,7660,7660
1471925560,7736,7736
1472012656,7811,7811
1472099777,7842,7842
1472186903,7908,7908
1472274062,7856,7856
1472361142,7817,7817
1472448261,7812,7812
1472535383,7881,7881
1472622504,7913,7913
1472709670,7945,7945
1472796760,7937,7937
1472883876,7936,7936
1472970987,7938,7938
1473058108,7931,7931
1473145272,7925,7925
1473232363,7981,7981
1473319462,8001,8001
1473406609,8054,8054
1473493720,8098,8098
1473580867,8119,8119
1473667961,7196,7196
1473755059,7226,7226
1473842195,7257,7257
1473929302,7296,7296
1474016471,7262,7262
1474103542,7298,7298
1474190663,7472,7472
1474277797,8048,8048
1474364905,8241,8241
1474452076,8309,8309
1474539155,8291,8291
1474626268,8368,8368
1474713411,8394,8394
1474800516,8445,8445
1474887662,8493,8493
1474974744,8573,8573
1475061851,8610,8610
1475236342,8533,8533
1475323469,8628,8628
1475410859,8749,8749
1475497951,8850,8850
1475585067,8978,8978
1475672188,9090,9090
1475759305,9251,9251
1475846421,9400,9400
1475933551,9509,9509
1476020683,9573,9573
1476107892,9675,9675
1476194933,9767,9767
1476282033,10175,10175
1476369164,10226,10226
1476456252,10177,10177
1476543385,9681,9681
1476630499,9587,9587
1476717750,9514,9514
1476804763,9419,9419
1476891862,8730,8730
1476978980,7531,7531
1477066122,7441,7441
1477153232,7854,7854
1477240340,7612,7612
1477327464,7517,7517
1477414611,7472,7472
1477501726,7398,7398
1477588826,7182,7182
1477675943,7052,7052
1477763070,7020,7020
1477850194,6994,6994
1477937319,6897,6897
1478024447,6793,6793
1478111570,6692,6692
1478198669,6618,6618
1478285791,6508,6508
1478372913,6384,6384
1478460038,6260,6260
1478547154,6097,6097
1478634276,6002,6002
1478721393,5855,5855
1478808516,5724,5724
1478895646,5557,5557
1478982756,5439,5439
1479069878,5394,5394
1479156986,5333,5333
1479244118,7546,7546
1479331236,7520,7520
1479418351,7433,7433
1479505463,8831,8831
1479592589,8911,8911
1479679712,8887,8887
1479766835,8153,8153
1479853964,8325,8325
1479941072,8307,8307
1480028202,8275,8275
1480115334,8219,8219
1480202483,8110,8110
1480289547,8073,8073
1480376656,8045,8045
1480463795,8030,8030
1480550918,7991,7991
1480638052,7986,7986
1480725152,7958,7958
1480812297,7929,7929
1480899391,7907,7907
1480986394,7899,7899
1481073782,7881,7881
1481161018,7923,7923
1481248146,7939,7939
1481335379,7885,7885
1481422596,7869,7869
1481509722,7847,7847
1481596820,7856,7856
1481683966,8525,8525
1481771361,8522,8522
1481858422,8151,8151
1481945561,7040,7040
1482032662,7025,7025
1482119796,7023,7023
1482206920,6931,6931
1482294033,6931,6931
1482381168,6972,6972
1482468267,6960,6960
1482555401,6944,6944
1482642509,6930,6930
1482729889,6923,6923
1482817005,6898,6898
1482904125,6890,6890
1482991301,6601,6601
1483078347,6596,6596
1483165484,6589,6589
1483252628,6567,6567
1483339722,6557,6557
1483426899,6543,6543
1483514213,6533,6533
1483601299,6539,6539
1483688453,6531,6531
1483775561,6520,6520
1483862669,6501,6501
1483949734,6502,6502
1484036902,7360,7360
1484124024,7602,7602
1484211159,7572,7572
1484298539,7566,7566
1484385666,7555,7555
1484472756,7547,7547
1484559887,7537,7537
1484647003,7527,7527
1484734164,7518,7518
1484821242,7506,7506
1484908355,7500,7500
1484995503,7399,7399
1485082599,7389,7389
1485169713,7370,7370
1485256848,7364,7364
1485343948,7363,7363
1485431064,7363,7363
1485518194,7357,7357
1485605336,7354,7354
1485692704,6617,6617
1485779786,6614,6614
1485866925,6610,6610
1485954113,6604,6604
1486041177,6586,6586
1486128302,6545,6545
1486215415,6539,6539
1486302547,6465,6465
1486389708,6462,6462
1486476792,6462,6462
1486563923,6433,6433
1486651016,6414,6414
1486738109,6411,6411
1486825279,6140,6140
1486912612,6132,6132
1486999968,6117,6117
1487087314,6111,6111
1487174488,6120,6120
1487261592,5189,5189
1487348661,5227,5227
1487436044,5208,5208
1487523148,5535,5535
1487610265,5532,5532
1487697396,5572,5572
1487784518,6213,6213
1487871617,6215,6215
1487958768,5989,5989
1488045868,5989,5989
1488132997,5979,5979
1488220102,6890,6890
1488307250,6895,6895
1488394373,6872,6872
1488481478,6869,6869
1488568596,6863,6863
1488655727,6857,6857
1488742814,6856,6856
1488829961,6862,6862
1488917323,6877,6877
1489004460,6875,6875
1489091555,6911,6911
1489178682,6907,6907
1489265787,6900,6900
1489352902,6902,6902
1489440051,6892,6892
1489527416,6894,6894
1489614520,6903,6903
1489701708,6884,6884
1489788750,6876,6876
1489875879,6886,6886
1489963020,6842,6842
1490050109,7333,7333
1490137303,7026,7026
1490224356,7026,7026
1490311471,5854,5854
1490398598,5030,5030
1490485716,5024,5024
1490572929,5004,5004
1490659963,6184,6184
1490747054,6250,6250
1490834187,5752,5752
1490921322,5861,5861
1491008525,5873,5873
1491095556,5871,5871
1491182689,5846,5846
1491269788,5853,5853
1491356932,5758,5758
1491444110,5758,5758
1491531194,5756,5756
1491618262,5815,5815
1491705401,5784,5784
1491792498,5785,5785
1491879722,5783,5783
1491966782,6027,6027
1492053877,6005,6005
1492140982,6677,6677
1492228114,6650,6650
1492315315,6651,6651
1492402340,6652,6652
1492489722,7038,7038
1492576837,7028,7028
1492664273,6184,6184
1492751312,6188,6188
1492838444,6214,6214
1492925856,6208,6208
1493012920,6209,6209
1493100135,6249,6249
1493187164,6245,6245
1493274272,6203,6203
1493361431,6207,6207
1493448565,5897,5897
1493535687,5752,5752
1493622761,5883,5883
1493709901,5984,5984
1493797014,5981,5981
1493884120,6476,6476
1494014933,6399,6399
1494102037,6394,6394
1494189184,6629,6629
1494276272,6575,6575
1494363402,6577,6577
1494450497,6637,6637
1494537605,5662,5662
1494624723,5627,5627
1494711888,4753,4753
1494798992,4752,4752
1494886155,5715,5715
1494973257,5710,5710
1495060378,5717,5717
1495147467,5720,5720
1495234633,5718,5718
1495321725,5708,5708
1495409185,5199,5199
1495496201,5205,5205
1495583343,5203,5203
1495670523,5148,5148
1495757579,4371,4371
1495844947,4367,4367
1495932033,4355,4355
1496019176,4343,4343
1496106276,4340,4340
1496193401,4089,4089
1496280529,3975,3975
1496367710,3965,3965
1496454745,3959,3959
1496541881,3222,3222
1496629003,3236,3236
1496716168,3245,3245
1496803224,3240,3240
1496890348,2873,2873
1496977727,2864,2864
1497064886,4028,4028
1497151984,4021,4021
1497239062,4015,4015
1497326232,4018,4018
1497413340,4010,4010
1497500445,3973,3973
1497587587,4551,4551
1497674687,4553,4553
1497761793,4552,4552
1497848901,4539,4539
1497936032,4539,4539
1498023189,4557,4557
1498110270,4550,4550
1498241325,4544,4544
1498328468,4539,4539
1498459225,4520,4520
1498546380,4521,4521
1498633718,4519,4519
1498720861,4535,4535
1498808045,4635,4635
1498895054,4626,4626
1498982183,4582,4582
1499069334,4588,4588
1499156464,4589,4589
1499287214,3559,3559
1499374386,3567,3567
1499461752,3575,3575
1499548827,3578,3578
1499636005,2456,2456
1499723071,2456,2456
1499810222,2463,2463
1499897312,2473,2473
1499984603,2529,2529
1500071796,2550,2550
1500159172,2551,2551
1500246275,1632,1632
1500333661,1793,1793
1500420833,1792,1792
