DateTime,Entries,UniqueIPs
1499954900,204,204
1499956332,205,205
1499962841,206,206
1499964258,213,213
1499964976,214,214
1499965857,215,215
1499966672,215,215
1499967385,210,210
1499968112,213,213
1499968846,383,383
1499969556,459,459
1499970252,469,469
1499970990,474,474
1499971703,474,474
1499972497,477,477
1499973164,478,478
1499973853,481,481
1499974600,518,518
1499975301,515,515
1499976094,576,576
1499976745,726,726
1499977482,715,715
1499978177,838,838
1499978900,914,914
1499979772,971,971
1499980590,1008,1008
1499981564,1087,1087
1499982523,204,204
1499983256,232,232
1499984558,375,375
1499985167,436,436
1499985850,539,539
1499986582,585,585
1499987292,634,634
1499988041,662,662
1499988737,735,735
1499989462,733,733
1499990178,781,781
1499990940,855,855
1499991885,866,866
1499992839,902,902
1499993539,896,896
1499994273,987,987
1499994972,994,994
1499995701,990,990
1499996419,991,991
1499997150,1041,1041
1499997874,1075,1075
1499998590,1073,1073
1499999312,1171,1171
1500000012,1165,1165
1500000740,1161,1161
1500001471,1157,1157
1500002179,1170,1170
1500002911,1238,1238
1500003614,1257,1257
1500004358,1271,1271
1500005313,1275,1275
1500006291,1262,1262
1500007237,1317,1317
1500007941,1329,1329
1500008672,1364,1364
1500009370,1383,1383
1500010110,1399,1399
1500011071,1419,1419
1500012087,1443,1443
1500012744,1451,1451
1500013453,1448,1448
1500014169,1438,1438
1500014909,1432,1432
1500015627,1425,1425
1500016353,1416,1416
1500017053,1409,1409
1500017789,1399,1399
1500018492,1396,1396
1500019261,1393,1393
1500019946,1391,1391
1500020660,1388,1388
1500021646,1381,1381
1500022336,1379,1379
1500023075,1375,1375
1500023776,1371,1371
1500024499,1365,1365
1500025215,1359,1359
1500025944,1352,1352
1500026667,1340,1340
1500027374,1333,1333
1500028099,227,227
1500034353,226,226
1500036509,225,225
1500038678,224,224
1500042268,221,221
1500048494,219,219
1500052956,116,116
1500053790,207,207
1500054495,209,209
1500055335,208,208
1500055935,240,240
1500056664,252,252
1500057376,252,252
1500058105,351,351
1500058886,358,358
1500059537,363,363
1500060269,353,353
1500060977,419,419
1500061716,427,427
1500062495,459,459
1500063150,454,454
1500063860,459,459
1500064589,468,468
1500065295,485,485
1500066122,248,248
1500066758,311,311
1500067455,334,334
1500068190,370,370
1500069170,432,432
1500070426,436,436
1500071316,452,452
1500072021,472,472
1500072752,521,521
1500073471,528,528
1500074437,563,563
1500075151,588,588
1500075863,662,662
1500076925,770,770
1500077806,798,798
1500078496,807,807
1500079237,811,811
1500079928,810,810
1500080678,805,805
1500081386,803,803
1500082108,800,800
1500082818,795,795
1500083799,793,793
1500084503,788,788
1500085230,785,785
1500085934,783,783
1500086661,781,781
1500087699,767,767
1500088603,763,763
1500089559,760,760
1500090248,757,757
1500091002,752,752
1500091962,748,748
1500092925,745,745
1500093612,743,743
1500094342,742,742
1500095321,738,738
1500096640,737,737
1500097483,736,736
1500098171,734,734
1500098895,732,732
1500099638,731,731
1500100331,729,729
1500101767,727,727
1500102496,725,725
1500103471,723,723
1500104176,721,721
1500104921,720,720
1500105879,719,719
1500106848,717,717
1500107797,715,715
1500108762,714,714
1500109721,712,712
1500110692,711,711
1500112105,709,709
1500113096,707,707
1500114501,704,704
1500115224,702,702
1500116668,218,218
1500133940,217,217
1500143543,216,216
1500150990,215,215
1500151700,187,187
1500152465,193,193
1500153145,194,194
1500153851,193,193
1500154584,190,190
1500155311,191,191
1500156087,191,191
1500156746,194,194
1500157464,195,195
1500158180,189,189
1500159157,229,229
1500160120,369,369
1500160819,446,446
1500162282,631,631
1500162976,700,700
1500163717,822,822
1500164423,871,871
1500165147,927,927
1500165858,1017,1017
1500166919,1075,1075
1500167806,1097,1097
1500168760,1204,1204
1500169710,1256,1256
1500170472,1300,1300
1500171160,1338,1338
1500171863,1338,1338
1500172586,1358,1358
1500173556,1395,1395
1500174511,1470,1470
1500175218,1509,1509
1500175955,1628,1628
1500176652,1672,1672
1500177380,1725,1725
1500178091,1754,1754
1500178838,1778,1778
1500179541,1824,1824
1500180252,1834,1834
1500180988,1851,1851
1500181694,1866,1866
1500182438,1893,1893
1500183412,1917,1917
1500184027,1935,1935
1500184895,1934,1934
1500185550,1933,1933
1500186254,1927,1927
1500186991,1926,1926
1500187699,1925,1925
1500188481,1920,1920
1500189152,1910,1910
1500189853,1905,1905
1500190568,1903,1903
1500191313,1898,1898
1500192085,1891,1891
1500192746,1887,1887
1500193453,1886,1886
1500194200,1881,1881
1500194899,1878,1878
1500195694,1874,1874
1500196340,1872,1872
1500197065,1865,1865
1500197769,1861,1861
1500198511,1858,1858
1500199305,1853,1853
1500200207,1828,1828
1500201158,1801,1801
1500201846,1796,1796
1500202580,1795,1795
1500203287,1784,1784
1500204041,1777,1777
1500204739,1775,1775
1500205462,1773,1773
1500206513,1770,1770
1500207142,1762,1762
1500208118,1755,1755
1500209073,1748,1748
1500209782,1740,1740
1500210514,1739,1739
1500211218,1734,1734
1500211960,1727,1727
1500212649,1723,1723
1500213379,1714,1714
1500214087,1712,1712
1500214851,1705,1705
1500215540,1703,1703
1500216258,1700,1700
1500216977,1694,1694
1500217729,1691,1691
1500218690,1683,1683
1500219371,1680,1680
1500220105,1674,1674
1500220887,1671,1671
1500221567,1665,1665
1500222520,1654,1654
1500223941,1652,1652
1500224667,1645,1645
1500225391,1640,1640
1500226100,1637,1637
1500226821,1634,1634
1500227540,1629,1629
1500228279,1621,1621
1500229245,1614,1614
1500229939,1607,1607
1500230663,1601,1601
1500231371,1600,1600
1500232113,1593,1593
1500232813,1588,1588
1500233544,1584,1584
1500234255,1583,1583
1500234998,1580,1580
1500236437,1578,1578
1500237143,1575,1575
1500239311,1572,1572
1500240012,1570,1570
1500240762,1569,1569
1500242485,1567,1567
1500243638,1566,1566
1500244334,1562,1562
1500245069,1558,1558
1500246063,1554,1554
1500246743,1553,1553
1500247461,1550,1550
1500248178,1549,1549
1500248912,1547,1547
1500249891,1545,1545
1500250839,1544,1544
1500251540,1540,1540
1500252270,1537,1537
1500252974,1533,1533
1500253725,1530,1530
1500254419,1528,1528
1500255859,1527,1527
1500258765,1525,1525
1500259447,1524,1524
1500260191,1523,1523
1500261629,1522,1522
1500262331,1518,1518
1500263061,1517,1517
1500264524,1515,1515
1500265482,1512,1512
1500266170,1510,1510
1500266906,1508,1508
1500267673,1506,1506
1500269315,1503,1503
1500270011,1500,1500
1500270750,1496,1496
1500273157,1492,1492
1500273850,1490,1490
1500274592,1488,1488
1500275297,1486,1486
1500276033,1484,1484
1500276730,1483,1483
1500278168,1481,1481
1500278911,1477,1477
