DateTime,Entries,UniqueIPs
1500010113,6321,6321
1500011076,6334,6334
1500012091,6342,6342
1500012748,6350,6350
1500013458,6365,6365
1500014172,6344,6344
1500014912,6370,6370
1500015630,6360,6360
1500016356,6344,6344
1500017056,6347,6347
1500017792,6358,6358
1500018496,6367,6367
1500019264,6358,6358
1500019950,6359,6359
1500020663,6368,6368
1500021650,6364,6364
1500022339,6370,6370
1500023078,6376,6376
1500023779,6382,6382
1500024503,6384,6384
1500025219,6383,6383
1500025947,6389,6389
1500026670,6371,6371
1500027377,6332,6332
1500028102,6368,6368
1500028829,6377,6377
1500030149,6384,6384
1500030751,6378,6378
1500031468,6380,6380
1500032177,6386,6386
1500032906,6399,6399
1500033694,6398,6398
1500034356,6394,6394
1500035073,6391,6391
1500035777,6388,6388
1500036512,6394,6394
1500037300,6393,6393
1500037954,6405,6405
1500038682,6409,6409
1500039383,6400,6400
1500040097,6403,6403
1500040938,6408,6408
1500041544,6406,6406
1500042271,6402,6402
1500042981,6397,6397
1500043713,6396,6396
1500044503,6389,6389
1500045149,6395,6395
1500045856,6401,6401
1500046839,6406,6406
1500047796,6416,6416
1500048497,6417,6417
1500049240,6421,6421
1500049946,6423,6423
1500050673,6426,6426
1500051371,6438,6438
1500052129,6422,6422
1500052959,6423,6423
1500053794,6426,6426
1500054498,6448,6448
1500055338,6445,6445
1500056898,6438,6438
1500057634,6445,6445
1500058341,6454,6454
1500059323,6452,6452
1500060019,6445,6445
1500060747,6448,6448
1500061452,6443,6443
1500062192,6455,6455
1500062899,6445,6445
1500063628,6450,6450
1500064341,6449,6449
1500065061,6439,6439
1500065774,6440,6440
1500066493,6436,6436
1500067244,6435,6435
1500067950,6421,6421
1500068659,6428,6428
1500069381,6428,6428
1500070429,6414,6414
1500071320,6435,6435
1500072024,6426,6426
1500072755,6419,6419
1500073475,6419,6419
1500074440,6429,6429
1500075155,6423,6423
1500075866,6420,6420
1500076929,6413,6413
1500077809,6400,6400
1500078499,6403,6403
1500079241,6413,6413
1500079931,6419,6419
1500080681,6407,6407
1500081390,6415,6415
1500082112,6403,6403
1500082821,6410,6410
1500083803,6403,6403
1500084506,6382,6382
1500085234,6387,6387
1500085937,6384,6384
1500086664,6396,6396
1500087702,6391,6391
1500088606,6391,6391
1500089562,6398,6398
1500090251,6400,6400
1500091006,6391,6391
1500091965,6396,6396
1500092928,6408,6408
1500093615,6397,6397
1500094345,6386,6386
1500095325,6384,6384
1500096023,6371,6371
1500096644,6378,6378
1500097487,6384,6384
1500098174,6375,6375
1500098898,6386,6386
1500099641,6374,6374
1500100335,6379,6379
1500101064,6369,6369
1500101771,6368,6368
1500102499,6369,6369
1500103475,6380,6380
1500104180,6390,6390
1500104924,6396,6396
1500105882,6405,6405
1500106852,6389,6389
1500107800,6416,6416
1500108765,6430,6430
1500109724,6431,6431
1500110695,6431,6431
1500111374,6454,6454
1500112108,6469,6469
1500113099,6470,6470
1500113773,6471,6471
1500114504,6477,6477
1500115227,6484,6484
1500115955,6490,6490
1500116671,6498,6498
1500117372,6503,6503
1500118104,6496,6496
1500118830,6504,6504
1500119532,6508,6508
1500120272,6506,6506
1500121254,6517,6517
1500121937,6509,6509
1500122675,6453,6453
1500123382,6499,6499
1500124121,6493,6493
1500124822,6490,6490
1500125562,6518,6518
1500126256,6513,6513
1500126994,6498,6498
1500127956,6506,6506
1500128654,6498,6498
1500129396,6514,6514
1500130098,6524,6524
1500130905,6534,6534
1500131560,6523,6523
1500132525,6517,6517
1500133221,6526,6526
1500133944,6539,6539
1500134922,6538,6538
1500135622,6532,6532
1500136350,6527,6527
1500137072,6520,6520
1500137782,6527,6527
1500138502,6521,6521
1500139216,6528,6528
1500139970,6529,6529
1500140650,6512,6512
1500141393,6538,6538
1500142097,6533,6533
1500142835,6538,6538
1500143546,6529,6529
1500144262,6536,6536
1500144977,6530,6530
1500145693,6531,6531
1500146428,6510,6510
1500147135,6524,6524
1500147868,6514,6514
1500148596,6507,6507
1500149562,6525,6525
1500150251,6523,6523
1500150994,6519,6519
1500151703,6502,6502
1500152468,6505,6505
1500153149,6496,6496
