DateTime,Entries,UniqueIPs
1499839632,9422,9422
1499841034,9422,9422
1499841930,9425,9425
1499842579,9430,9430
1499843429,9419,9419
1499844327,9421,9421
1499845343,9396,9396
1499846551,9382,9382
1499848257,9381,9381
1499849129,9381,9381
1499850026,8244,8244
1499850865,9382,9382
1499851704,9389,9389
1499852553,9348,9348
1499853735,9342,9342
1499854786,9336,9336
1499856004,9326,9326
1499856978,9326,9326
1499857830,9322,9322
1499858899,9321,9321
1499859721,9314,9314
1499860579,9313,9313
1499861431,9311,9311
1499862627,9305,9305
1499863545,9294,9294
1499864171,8244,8244
1499865034,9285,9285
1499866102,9285,9285
1499867405,9253,9253
1499868632,9245,9245
1499869529,9245,9245
1499870428,9241,9241
1499871352,9247,9247
1499872231,9247,9247
1499873431,9248,9248
1499874146,9253,9253
1499876061,9252,9252
1499876928,9254,9254
1499879190,9250,9250
1499880029,9252,9252
1499881001,9248,9248
1499882118,9253,9253
1499883029,9251,9251
1499884947,9250,9250
1499886927,8244,8244
1499887835,9253,9253
1499890534,9258,9258
1499891429,9257,9257
1499892152,9255,9255
1499893830,9236,9236
1499895745,9195,9195
1499896577,9199,9199
1499897430,9192,9192
1499898612,8244,8244
1499899530,9184,9184
1499901030,9151,9151
1499902938,9140,9140
1499904633,9144,9144
1499905830,9138,9138
1499908231,9139,9139
1499909298,9143,9143
1499910143,9145,9145
1499912069,9143,9143
1499913026,9141,9141
1499913927,9132,9132
1499914577,9135,9135
1499915428,9083,9083
1499916497,9084,9084
1499917350,9052,9052
1499919268,9046,9046
1499920639,9049,9049
1499922529,9051,9051
1499923699,9054,9054
1499926235,9057,9057
1499927441,9053,9053
1499928332,9053,9053
1499929243,9051,9051
1499930066,9051,9051
1499930876,9053,9053
1499931927,9048,9048
1499933039,9053,9053
1499934033,9056,9056
1499935041,9051,9051
1499936180,9051,9051
1499937029,9048,9048
1499937261,9049,9049
1499938106,9053,9053
1499939013,9043,9043
1499939778,9044,9044
1499940636,9046,9046
1499941583,9048,9048
1499942435,9041,9041
1499944232,9044,9044
1499946146,9045,9045
1499947618,9044,9044
1499948423,9045,9045
1499949743,9047,9047
1499950849,9044,9044
1499951728,9045,9045
1499952630,9038,9038
1499953523,9047,9047
1499955029,9062,9062
1499956098,9066,9066
1499958448,9063,9063
1499959827,9063,9063
1499960671,9067,9067
1499962458,9074,9074
1499963432,9071,9071
1499964139,9072,9072
1499965831,9076,9076
1499967743,9087,9087
1499969438,9088,9088
1499970293,9091,9091
1499971231,9086,9086
1499972277,9088,9088
1499973258,9087,9087
1499974618,9089,9089
1499975611,9089,9089
1499976633,9088,9088
1499977701,9092,9092
1499979524,9090,9090
1499980457,9094,9094
1499981420,9091,9091
1499982138,9091,9091
1499982979,9094,9094
1499984058,9094,9094
1499984898,9098,9098
1499985704,9068,9068
1499987658,9038,9038
1499988512,9041,9041
1499989482,8976,8976
1499990601,8982,8982
1499991633,8987,8987
1499992529,8983,8983
1499994629,8994,8994
1499995831,8996,8996
1499998458,8998,8998
1499999425,8977,8977
1500000917,8957,8957
1500001829,8936,8936
1500003750,8942,8942
1500004577,8944,8944
1500005663,8942,8942
1500006697,8941,8941
1500007344,8944,8944
1500008177,8946,8946
1500009029,8946,8946
1500010938,8946,8946
1500011776,8244,8244
1500012596,8941,8941
1500013819,8945,8945
1500014727,8944,8944
1500016079,8938,8938
1500017309,8938,8938
1500018978,8938,8938
1500019831,8936,8936
1500020060,8937,8937
1500021042,8932,8932
1500022780,8933,8933
1500023724,8933,8933
1500024620,8931,8931
1500025529,8929,8929
1500026850,8936,8936
1500028242,8934,8934
1500029532,8937,8937
1500030630,8934,8934
1500031704,8940,8940
1500032721,8938,8938
1500033685,8935,8935
1500034528,8938,8938
1500035429,8936,8936
1500036317,8938,8938
1500038058,8941,8941
1500039034,8940,8940
1500039927,8942,8942
1500041666,8941,8941
1500042499,8946,8946
1500043475,8932,8932
1500045030,8930,8930
1500046097,8937,8937
1500047031,8939,8939
1500047783,8941,8941
1500048630,8938,8938
1500049698,8952,8952
1500050522,8244,8244
1500051385,8952,8952
1500052193,8951,8951
1500054138,8952,8952
1500054978,8953,8953
1500055830,8952,8952
1500057748,8942,8942
1500058585,8945,8945
1500059428,8943,8943
1500061347,9034,9034
1500063329,9103,9103
1500064233,9101,9101
1500065120,9101,9101
1500066098,9100,9100
1500066924,9102,9102
1500067822,9102,9102
1500068726,9100,9100
1500071266,9105,9105
1500072334,9104,9104
1500073833,9103,9103
1500075631,9104,9104
1500077431,9102,9102
1500079520,9100,9100
1500080341,9102,9102
1500081327,9106,9106
1500082098,9108,9108
1500083578,9103,9103
1500084632,9101,9101
1500085824,9099,9099
1500086726,9097,9097
1500087996,9096,9096
1500088828,9101,9101
1500089773,9097,9097
1500091834,9095,9095
1500092895,9096,9096
1500093927,9097,9097
1500095418,8244,8244
1500096318,9098,9098
1500097338,9094,9094
1500098182,9091,9091
1500099030,9090,9090
1500100944,9095,9095
1500102862,9093,9093
1500103778,9091,9091
1500104545,9093,9093
1500105378,9098,9098
1500106227,9095,9095
1500107301,9098,9098
1500108147,9092,9092
1500109563,8244,8244
1500110427,9095,9095
1500111924,9089,9089
1500113141,9092,9092
1500114035,9097,9097
1500115229,9094,9094
1500116181,9096,9096
1500117030,9095,9095
1500118938,9088,9088
1500119782,9092,9092
1500120633,9089,9089
1500120858,9090,9090
1500121771,9085,9085
1500122684,9085,9085
1500123377,9085,9085
1500124229,9073,9073
1500125425,9065,9065
1500126317,9066,9066
1500127269,9066,9066
1500128129,9068,9068
1500129744,9054,9054
1500130577,9058,9058
1500131430,9057,9057
1500132498,9061,9061
1500133347,9055,9055
1500135031,9051,9051
1500135918,9053,9053
1500136829,9031,9031
1500137783,9035,9035
1500138632,9038,9038
1500141544,8244,8244
1500142541,9033,9033
1500143303,9036,9036
1500144322,9027,9027
1500145831,9029,9029
1500147030,9022,9022
1500147924,9021,9021
1500148581,9022,9022
1500149429,9019,9019
1500150625,9014,9014
1500152118,9014,9014
1500153034,9012,9012
1500153999,9014,9014
1500155119,9005,9005
1500156628,9004,9004
1500157711,9007,9007
1500158721,9000,9000
1500159524,8995,8995
1500160343,8997,8997
1500161297,9001,9001
1500162326,8998,8998
1500163415,8998,8998
1500164429,8997,8997
1500165738,8989,8989
1500167430,8963,8963
1500168610,8961,8961
1500169914,8963,8963
1500171029,8960,8960
1500172103,8960,8960
1500173778,8958,8958
1500174627,8957,8957
1500175834,8959,8959
1500177318,8962,8962
1500178230,8962,8962
1500179204,8968,8968
1500180031,8965,8965
1500181400,8966,8966
1500182311,8969,8969
1500182898,8970,8970
1500183738,8970,8970
1500185426,8975,8975
1500186627,8976,8976
1500187506,8978,8978
1500189015,8977,8977
1500189886,8976,8976
1500190829,8973,8973
1500192621,8971,8971
1500193573,8975,8975
1500194436,8244,8244
1500195328,8978,8978
1500196471,8975,8975
1500197430,8974,8974
1500198329,8974,8974
1500199485,8978,8978
1500200432,8982,8982
1500201329,8976,8976
1500201747,8972,8972
1500203431,8978,8978
1500204503,8981,8981
1500205506,8244,8244
1500206544,8972,8972
1500207260,8973,8973
1500208230,8971,8971
1500209128,8969,8969
1500210634,8973,8973
1500211827,8974,8974
1500212726,8983,8983
1500213676,8985,8985
1500214525,8989,8989
1500215588,8980,8980
1500217617,8986,8986
1500218421,8244,8244
1500219269,8979,8979
1500222501,8982,8982
1500225326,8981,8981
1500226098,8983,8983
1500227718,8985,8985
1500228634,8986,8986
1500230546,8984,8984
1500231378,8986,8986
1500232234,8981,8981
1500233117,8983,8983
1500234139,8976,8976
1500236059,8952,8952
1500237637,8865,8865
1500238528,8866,8866
1500239425,8833,8833
1500240498,8833,8833
1500241527,8832,8832
1500243022,8244,8244
1500243919,8830,8830
1500244819,8829,8829
1500246628,8833,8833
1500247683,8836,8836
1500248728,8828,8828
1500250228,8827,8827
1500251297,8831,8831
1500252319,8827,8827
1500253830,8830,8830
1500255028,8832,8832
1500255928,8831,8831
1500257193,8831,8831
1500259819,8828,8828
1500261030,8829,8829
1500262938,8830,8830
1500264470,8831,8831
1500265836,8830,8830
1500266726,8831,8831
1500268038,8829,8829
1500269117,8831,8831
1500270035,8823,8823
1500271638,8820,8820
1500272822,8820,8820
1500273745,8814,8814
1500275345,8812,8812
1500276499,8815,8815
1500277818,8816,8816
1500279029,8816,8816
1500280114,8818,8818
1500281707,8816,8816
1500282570,8813,8813
1500283518,8815,8815
1500284433,8805,8805
1500286232,8805,8805
1500287582,8806,8806
1500288985,8808,8808
1500289834,8807,8807
1500291034,8806,8806
1500291932,8810,8810
1500293429,8813,8813
1500295526,8807,8807
1500297567,8813,8813
1500298528,8813,8813
1500299511,8814,8814
1500300471,8812,8812
1500301397,8820,8820
1500302549,8821,8821
1500304230,8823,8823
1500305058,8824,8824
1500306917,8830,8830
1500307835,8827,8827
1500308729,8829,8829
1500309744,8828,8828
