DateTime,AddedIPs,RemovedIPs
1499839613,138,114
1499841012,151,195
1499841905,90,61
1499842565,81,1
1499843405,100,147
1499844305,102,0
1499845325,126,241
1499846514,104,148
1499847245,82,0
1499848205,120,197
1499849105,100,66
1499849997,98,143
1499850845,106,15
1499851685,104,0
1499852540,114,295
1499853716,0,27761
1499854773,27994,0
1499855568,124,215
1499856965,221,84
1499857805,118,203
1499858886,172,0
1499859707,136,389
1499860564,136,2
1499861406,126,150
1499862606,140,240
1499863522,103,96
1499864165,81,0
1499865005,93,173
1499866086,116,0
1499867392,155,305
1499868604,151,166
1499869505,105,1
1499870405,123,286
1499871339,117,0
1499872205,117,143
1499873406,133,192
1499874134,85,60
1499876045,208,124
1499876913,99,0
1499880005,451,407
1499880988,147,199
1499882105,164,61
1499883005,118,137
1499884931,237,268
1499886905,238,150
1499887805,111,177
1499890506,344,221
1499891406,89,185
1499892126,78,62
1499893805,200,199
1499895726,219,348
1499896565,106,0
1499897405,104,103
1499898605,133,207
1499899509,105,75
1499901005,238,174
1499902926,235,188
1499904605,189,273
1499905806,142,198
1499908205,284,244
1499909285,122,0
1499910125,102,254
1499910964,84,0
1499912045,126,108
1499913006,105,205
1499913905,125,78
1499914565,85,0
1499915405,110,214
1499916485,124,1
1499917325,113,332
1499919245,249,140
1499920620,170,201
1499922516,205,187
1499923685,128,0
1499926205,268,485
1499927406,124,234
1499928306,99,73
1499929202,82,117
1499930045,170,17
1499930863,252,1
1499931905,273,282
1499933023,130,148
1499934005,250,0
1499935013,249,200
1499936165,222,68
1499937005,443,146
1499938086,108,2
1499938997,118,292
1499939765,143,2
1499940605,114,165
1499941561,152,0
1499942405,134,321
1499944205,272,169
1499945286,151,0
1499946125,139,329
1499947605,197,218
1499948400,100,0
1499949725,218,521
1499950808,144,386
1499951705,128,24
1499952605,118,303
1499953505,126,80
1499955005,245,155
1499956085,142,1
1499958423,317,463
1499959806,198,206
1499960658,111,79
1499962445,204,138
1499963412,118,209
1499964126,100,48
1499965805,218,144
1499967725,237,250
1499969405,207,140
1499970279,119,1
1499971209,117,253
1499972265,127,0
1499973245,136,149
1499974605,165,181
1499975599,119,67
1499976606,117,129
1499977686,125,0
1499979511,233,404
1499980444,120,20
1499981406,103,195
1499982125,76,65
1499982965,109,0
1499984045,141,141
1499984885,105,0
1499985690,64,311
1499987645,231,172
1499988499,116,0
1499989469,162,328
1499990573,263,154
1499991605,114,0
1499992505,101,195
1499994605,254,191
1499995805,152,196
1499998445,353,254
1499999406,85,189
1500000905,168,96
1500001805,104,148
1500003725,192,264
1500004565,78,0
1500005645,104,151
1500006681,100,158
1500007326,84,57
