DateTime,Entries,UniqueIPs
1499747301,438,438
1499748982,440,440
1499749832,441,441
1499751016,438,438
1499751933,437,437
1499753433,438,438
1499757036,438,438
1499758835,437,437
1499762730,444,444
1499766157,449,449
1499768724,445,445
1499771663,445,445
1499775037,446,446
1499778635,449,449
1499782535,471,471
1499787920,469,469
1499789436,466,466
1499790308,467,467
1499793054,472,472
1499794230,471,471
1499795719,473,473
1499796517,476,476
1499798613,480,480
1499800231,487,487
1499801432,486,486
1499802332,489,489
1499803835,485,485
1499805034,476,476
1499805933,477,477
1499807659,481,481
1499809345,477,477
1499811984,479,479
1499812944,478,478
1499813780,480,480
1499814627,478,478
1499816542,477,477
1499818468,481,481
1499819437,482,482
1499820141,482,482
1499820979,485,485
1499821831,486,486
1499823862,485,485
1499825014,482,482
1499826035,486,486
1499827531,483,483
1499828883,484,484
1499830237,481,481
1499831578,481,481
1499832637,483,483
1499833520,486,486
1499834550,482,482
1499836464,484,484
1499837300,484,484
1499838334,481,481
1499839640,481,481
1499841037,480,480
1499841934,478,478
1499842582,484,484
1499843431,481,481
1499844333,486,486
1499845346,483,483
1499846557,483,483
1499847270,484,484
1499848262,483,483
1499849132,487,487
1499850868,485,485
1499851706,486,486
1499852556,487,487
1499853744,492,492
1499854788,491,491
1499856018,491,491
1499856981,495,495
1499857833,495,495
1499858901,496,496
1499859723,496,496
1499860581,497,497
1499861434,499,499
1499862632,497,497
1499863548,497,497
1499866104,498,498
1499867407,497,497
1499868637,498,498
1499870431,501,501
1499871354,502,502
1499872234,502,502
1499873434,505,505
1499874149,504,504
1499876063,506,506
1499879193,509,509
1499880032,510,510
1499881003,510,510
1499883031,509,509
1499884949,508,508
1499887839,513,513
1499890538,515,515
1499891433,515,515
1499892155,514,514
1499893833,515,515
1499895748,512,512
1499896580,513,513
1499897433,513,513
1499898623,509,509
1499899534,507,507
1499901033,510,510
1499902941,514,514
1499904635,510,510
1499905836,509,509
1499908234,509,509
1499909301,510,510
1499910145,504,504
1499912072,503,503
1499913031,502,502
1499913931,505,505
1499915430,503,503
1499916500,506,506
1499917355,494,494
1499919271,494,494
1499920647,490,490
1499922531,491,491
1499923702,492,492
1499926238,486,486
1499927446,480,480
1499928337,483,483
1499929248,482,482
1499930069,481,481
1499930879,485,485
1499931930,479,479
1499933041,476,476
1499934038,478,478
1499935045,470,470
1499936182,471,471
1499937032,476,476
1499938108,482,482
1499939016,480,480
1499939781,481,481
1499940639,480,480
1499941587,481,481
1499942438,482,482
1499944235,485,485
1499946149,486,486
1499947621,486,486
1499949745,471,471
1499950854,468,468
1499951730,473,473
1499952634,472,472
1499953529,472,472
1499955031,472,472
1499955926,473,473
1499957131,470,470
1499958451,470,470
1499959831,471,471
1499960673,471,471
1499962460,474,474
1499963435,467,467
1499964141,469,469
1499965833,470,470
1499967746,469,469
1499969440,469,469
1499970295,469,469
1499971234,469,469
1499973260,467,467
1499974622,471,471
1499975614,471,471
1499976636,467,467
1499979527,471,471
1499980459,473,473
1499981425,473,473
1499982141,473,473
1499982981,476,476
1499984061,472,472
