DateTime,Entries,UniqueIPs
1499843405,36054,36054
1499844305,36156,36156
1499845325,36041,36041
1499846514,35997,35997
1499847245,36079,36079
1499848205,36002,36002
1499849105,36036,36036
1499849997,35991,35991
1499850845,36082,36082
1499851685,36186,36186
1499852540,36005,36005
1499853716,8244,8244
1499854773,36238,36238
1499855568,36147,36147
1499856965,36284,36284
1499857805,36199,36199
1499858886,36371,36371
1499859707,36118,36118
1499860564,36252,36252
1499861406,36228,36228
1499862606,36128,36128
1499863522,36135,36135
1499864165,36216,36216
1499865005,36136,36136
1499866086,36252,36252
1499867392,36102,36102
1499868604,36087,36087
1499869505,36191,36191
1499870405,36028,36028
1499871339,36145,36145
1499872205,36119,36119
1499873406,36060,36060
1499874134,36085,36085
1499876045,36169,36169
1499876913,36268,36268
1499880005,36312,36312
1499880988,36260,36260
1499882105,36363,36363
1499883005,36344,36344
1499884931,36313,36313
1499886905,36401,36401
1499887805,36335,36335
1499890506,36458,36458
1499891406,36362,36362
1499892126,36378,36378
1499893805,36379,36379
1499895726,36250,36250
1499896565,36356,36356
1499897405,36357,36357
1499898605,36283,36283
1499899509,36313,36313
1499901005,36377,36377
1499902926,36424,36424
1499904605,36340,36340
1499905806,36284,36284
1499908205,36324,36324
1499909285,36446,36446
1499910125,36294,36294
1499910964,36378,36378
1499912045,36396,36396
1499913006,36296,36296
1499913905,36343,36343
1499914565,36428,36428
1499915405,36324,36324
1499916485,36447,36447
1499917325,36228,36228
1499919245,36337,36337
1499920620,36306,36306
1499922516,36324,36324
1499923685,36452,36452
1499926205,36235,36235
1499927406,36125,36125
1499928306,36151,36151
1499929202,36116,36116
1499930045,36269,36269
1499930863,36520,36520
1499931905,36511,36511
1499933023,36493,36493
1499934005,36743,36743
1499935013,36792,36792
1499936165,36946,36946
1499937005,37243,37243
1499938086,37349,37349
1499938997,37175,37175
1499939765,37316,37316
1499940605,37265,37265
1499941561,37417,37417
1499942405,37230,37230
1499944205,37333,37333
1499945286,37484,37484
1499946125,37294,37294
1499947605,37273,37273
1499948400,37373,37373
1499949725,37070,37070
1499950808,36828,36828
1499951705,36932,36932
1499952605,36747,36747
1499953505,36793,36793
1499955005,36883,36883
1499956085,37024,37024
1499958423,36878,36878
1499959806,36870,36870
1499960658,36902,36902
1499962445,36968,36968
1499963412,36877,36877
1499964126,36929,36929
1499965805,37003,37003
1499967725,36990,36990
1499969405,37057,37057
1499970279,37175,37175
1499971209,37039,37039
1499972265,37166,37166
1499973245,37153,37153
1499974605,37137,37137
1499975599,37189,37189
1499976606,37177,37177
1499977686,37302,37302
1499979511,37131,37131
1499980444,37231,37231
1499981406,37139,37139
1499982125,37150,37150
1499982965,37259,37259
1499984045,37259,37259
1499984885,37364,37364
1499985690,37117,37117
1499987645,37176,37176
1499988499,37292,37292
1499989469,37126,37126
1499990573,37235,37235
1499991605,37349,37349
1499992505,37255,37255
1499994605,37318,37318
1499995805,37274,37274
1499998445,37373,37373
1499999406,37269,37269
1500000905,37341,37341
1500001805,37297,37297
1500003725,37225,37225
1500004565,37303,37303
1500005645,37256,37256
1500006681,37198,37198
1500007326,37225,37225
1500008164,37327,37327
1500009010,37274,37274
1500010925,37225,37225
1500011765,37306,37306
1500012583,37244,37244
1500013805,37193,37193
1500014706,37227,37227
1500016066,37277,37277
1500017285,37431,37431
1500018965,37330,37330
1500019805,37265,37265
1500020046,37297,37297
1500021016,37169,37169
1500022754,37102,37102
1500023705,37193,37193
1500024594,36987,36987
1500025505,36988,36988
1500026823,36921,36921
1500028207,36732,36732
1500029511,36761,36761
1500030605,36655,36655
1500031685,36755,36755
1500033597,36494,36494
1500034505,36571,36571
1500035406,36464,36464
1500036299,36518,36518
1500038045,36576,36576
1500039006,36495,36495
1500039905,36554,36554
1500041645,36640,36640
1500042486,36766,36766
1500043446,36573,36573
1500045011,36634,36634
1500046085,36794,36794
1500047017,36647,36647
1500047765,36735,36735
1500048606,36700,36700
1500049685,36844,36844
1500050522,8244,8244
1500051370,36826,36826
1500052180,36792,36792
1500054125,36736,36736
1500054964,36841,36841
1500055806,36836,36836
1500057726,36795,36795
1500058565,36917,36917
1500059405,36854,36854
1500060490,36982,36982
1500061325,36907,36907
1500062427,36901,36901
1500063305,37057,37057
1500064206,36949,36949
1500065105,36989,36989
1500066904,37037,37037
1500067806,36964,36964
1500068705,36971,36971
1500070202,8244,8244
1500071252,37136,37136
1500072311,36972,36972
1500073804,36992,36992
1500075605,36912,36912
1500076565,37017,37017
1500077405,36948,36948
1500079505,36906,36906
1500080328,36884,36884
1500081305,36980,36980
1500082085,37048,37048
1500083565,36932,36932
1500084605,36877,36877
1500085805,36777,36777
1500086705,39581,39581
1500087984,39805,39805
1500088805,39887,39887
1500089754,39788,39788
1500091805,39790,39790
1500092882,39893,39893
1500093905,39751,39751
1500095405,39769,39769
1500096305,39869,39869
1500097325,39749,39749
1500098165,39809,39809
1500099005,39758,39758
1500100926,39706,39706
1500102845,39557,39557
1500103736,39639,39639
1500104526,38844,38844
1500105365,38947,38947
1500106205,38691,38691
1500107288,38794,38794
1500108126,38342,38342
1500109554,38264,38264
1500110405,38361,38361
1500110885,38402,38402
1500111905,38127,38127
1500113128,38086,38086
