DateTime,Entries,UniqueIPs
1500049700,3331,3331
1500051346,3332,3332
1500052195,3335,3335
1500054140,3317,3317
1500054980,3335,3335
1500055832,3326,3326
1500057750,3313,3313
1500058587,3318,3318
1500059430,3304,3304
1500061349,3284,3284
1500063331,3280,3280
1500064237,3273,3273
1500065122,3273,3273
1500066101,3262,3262
1500066926,3283,3283
1500067824,3268,3268
1500068728,3268,3268
1500071268,3287,3287
1500072337,3257,3257
1500073835,3242,3242
1500075633,3226,3226
1500076579,3231,3231
1500077433,3217,3217
1500079522,3216,3216
1500080342,3207,3207
1500081330,3219,3219
1500082100,3231,3231
1500083580,3192,3192
1500084634,3169,3169
1500085830,3146,3146
1500086728,3147,3147
1500087998,3128,3128
1500088829,3143,3143
1500089779,3131,3131
1500091836,3104,3104
1500092897,3124,3124
1500093932,3087,3087
1500096319,3104,3104
1500097340,3070,3070
1500098184,3079,3079
1500099031,3052,3052
1500100946,3031,3031
1500102864,3020,3020
1500103787,2985,2985
1500104547,2978,2978
1500105380,2992,2992
1500106228,2973,2973
1500107303,2984,2984
1500108149,2954,2954
1500110900,2951,2951
1500111926,2915,2915
1500113143,2899,2899
1500114037,2901,2901
1500115231,2855,2855
1500116183,2856,2856
1500117032,2829,2829
1500118940,2781,2781
1500119784,2790,2790
1500120860,2754,2754
1500121776,2685,2685
1500122686,2673,2673
1500123379,2678,2678
1500124231,2608,2608
1500125427,2534,2534
1500126319,2504,2504
1500127280,2487,2487
1500128131,2498,2498
1500129746,2484,2484
1500130579,2499,2499
1500131434,2486,2486
1500132500,2497,2497
1500133351,2474,2474
1500135033,2479,2479
1500135919,2485,2485
1500136833,2466,2466
1500137785,2478,2478
1500138634,2475,2475
1500140730,2464,2464
1500142543,2479,2479
1500143305,2482,2482
1500144324,2461,2461
1500145833,2454,2454
1500147032,2450,2450
1500147926,2447,2447
1500148583,2454,2454
1500149431,2441,2441
1500150627,2423,2423
1500152120,2429,2429
1500153036,2423,2423
1500154001,2430,2430
1500155121,2414,2414
1500156632,2403,2403
1500157713,2401,2401
1500158723,2385,2385
1500159525,2378,2378
1500160345,2381,2381
1500161299,2403,2403
1500162328,2385,2385
1500163417,2392,2392
1500164435,2412,2412
1500165740,2395,2395
1500167432,2396,2396
1500168612,2389,2389
1500169916,2398,2398
1500171031,2403,2403
1500172105,2415,2415
1500173129,2399,2399
1500173780,2414,2414
1500174629,2405,2405
1500175836,2400,2400
1500177320,2402,2402
1500178232,2406,2406
1500179207,2417,2417
1500180034,2400,2400
1500181405,2400,2400
1500182313,2413,2413
1500182900,2417,2417
1500183740,2398,2398
1500185428,2380,2380
1500186633,2377,2377
1500187507,2382,2382
1500189018,2373,2373
1500189888,2387,2387
1500190833,2375,2375
1500192627,2386,2386
1500193574,2403,2403
1500195331,2400,2400
1500195392,2398,2398
1500196473,2406,2406
1500197433,2399,2399
1500198331,2415,2415
1500199487,2418,2418
1500200434,2428,2428
1500201331,2421,2421
1500201750,2422,2422
1500203432,2427,2427
1500204504,2453,2453
1500205510,2456,2456
1500206546,2445,2445
1500207262,2464,2464
1500208232,2454,2454
1500209131,2457,2457
1500210635,2464,2464
1500211829,2470,2470
1500212731,2473,2473
1500213678,2469,2469
1500214531,2483,2483
1500215592,2482,2482
1500217619,2472,2472
1500219271,2472,2472
1500222503,2446,2446
1500225328,2422,2422
1500226100,2435,2435
1500227720,2427,2427
1500228636,2431,2431
1500230548,2434,2434
1500231379,2441,2441
1500232236,2444,2444
1500233119,2458,2458
1500234141,2445,2445
1500236061,2458,2458
1500237638,2451,2451
1500238532,2461,2461
1500239427,2458,2458
1500240500,2470,2470
1500241530,2449,2449
1500243921,2464,2464
1500244821,2445,2445
1500246630,2444,2444
1500247685,2456,2456
1500248733,2440,2440
1500250230,2439,2439
1500251299,2456,2456
1500252321,2450,2450
1500253834,2453,2453
1500255032,2705,2705
1500255932,2804,2804
1500257195,2798,2798
1500258034,2806,2806
1500259821,2798,2798
1500261033,2802,2802
1500262940,2793,2793
1500264474,2805,2805
1500265838,2777,2777
1500266730,2787,2787
1500268041,2798,2798
1500269119,2815,2815
1500270037,2818,2818
1500271643,2839,2839
1500272824,2851,2851
1500273748,2842,2842
1500275350,2855,2855
