DateTime,Entries,UniqueIPs
1499828879,18174,18174
1499829256,18187,18187
1499830226,18190,18190
1499831575,8244,8244
1499832632,18224,18224
1499833515,18267,18267
1499834545,18252,18252
1499835166,18274,18274
1499836459,18279,18279
1499837296,18299,18299
1499838330,18268,18268
1499839624,18282,18282
1499841032,18280,18280
1499841924,18294,18294
1499842577,18321,18321
1499843427,18321,18321
1499844325,18358,18358
1499845341,18331,18331
1499846541,18296,18296
1499847265,18329,18329
1499848228,18306,18306
1499849122,18320,18320
1499850026,8244,8244
1499850861,18335,18335
1499851702,18381,18381
1499852551,18338,18338
1499853726,18348,18348
1499854784,18400,18400
1499856000,18342,18342
1499856976,18382,18382
1499857828,18367,18367
1499858897,18415,18415
1499859719,18357,18357
1499860577,18408,18408
1499861429,18403,18403
1499862625,18372,18372
1499863541,18397,18397
1499864171,8244,8244
1499865032,18405,18405
1499866100,18448,18448
1499867403,18403,18403
1499868629,18388,18388
1499869527,18437,18437
1499870426,18366,18366
1499871350,18405,18405
1499872229,18400,18400
1499873425,18389,18389
1499874144,18399,18399
1499876058,18431,18431
1499876926,18468,18468
1499879188,18491,18491
1499880024,18560,18560
1499880999,18550,18550
1499882116,18592,18592
1499883027,18581,18581
1499884945,18616,18616
1499886922,18669,18669
1499887829,18669,18669
1499890527,18720,18720
1499891426,18689,18689
1499892149,18689,18689
1499893828,18717,18717
1499895742,18709,18709
1499896575,18752,18752
1499897427,18747,18747
1499898612,8244,8244
1499899528,18719,18719
1499901028,18786,18786
1499902936,18799,18799
1499904630,18785,18785
1499905824,18769,18769
1499908229,18778,18778
1499909296,18820,18820
1499910141,18745,18745
1499910975,18772,18772
1499912064,18779,18779
1499913024,18755,18755
1499913921,18772,18772
1499914575,18799,18799
1499915426,18765,18765
1499916495,18802,18802
1499917345,18729,18729
1499919263,18776,18776
1499920631,18756,18756
1499922527,18761,18761
1499923697,18804,18804
1499926229,18702,18702
1499927434,18670,18670
1499928326,18675,18675
1499929241,18645,18645
1499930064,18612,18612
1499930874,18558,18558
1499931922,18495,18495
1499933035,18608,18608
1499934028,18621,18621
1499935033,18453,18453
1499936176,18463,18463
1499937027,18428,18428
1499938104,18462,18462
1499939011,18397,18397
1499939776,18481,18481
1499940634,18468,18468
1499941580,18503,18503
1499942432,18415,18415
1499944229,18422,18422
1499946144,18401,18401
1499947616,18377,18377
1499948419,18403,18403
1499949741,18301,18301
1499950845,18087,18087
1499951723,18139,18139
1499952624,18084,18084
1499953520,18096,18096
1499955027,18102,18102
1499956096,18147,18147
1499958445,18050,18050
1499959823,18041,18041
1499960668,18046,18046
1499962456,18049,18049
1499963430,18005,18005
1499964137,18016,18016
1499965829,18010,18010
1499967741,17982,17982
1499969435,17987,17987
1499970291,18028,18028
1499971229,17979,17979
1499972275,18024,18024
1499973256,18011,18011
1499974616,17997,17997
1499975609,18017,18017
1499976630,18006,18006
1499977698,18039,18039
1499979522,17972,17972
1499980455,18001,18001
1499981416,17961,17961
1499982137,17953,17953
1499982977,17983,17983
1499984056,17946,17946
1499984896,17977,17977
1499985702,17902,17902
1499987656,17905,17905
1499988510,17940,17940
1499989480,17906,17906
1499990597,17989,17989
1499991627,18036,18036
1499992524,18004,18004
1499994627,18005,18005
1499995825,17995,17995
1499998456,18026,18026
1499999423,18003,18003
1500000915,18016,18016
1500001827,18006,18006
1500003745,17960,17960
1500004575,17972,17972
1500005661,17930,17930
1500006695,17903,17903
1500007342,17904,17904
1500008175,17931,17931
1500009027,17913,17913
1500010936,17879,17879
1500011775,8244,8244
1500012594,17864,17864
1500013817,17831,17831
1500014722,17833,17833
1500016077,17837,17837
1500017304,17876,17876
1500018976,17829,17829
1500019828,17778,17778
1500020058,17786,17786
1500021039,17723,17723
1500022776,17678,17678
1500023722,17705,17705
1500024622,17642,17642
1500025527,17652,17652
1500026845,17645,17645
1500028236,17602,17602
1500029524,17607,17607
1500030628,17563,17563
1500031702,17591,17591
1500032719,17532,17532
1500033680,17499,17499
1500034522,17520,17520
1500035427,17481,17481
1500036319,17490,17490
1500038056,17489,17489
1500039029,17418,17418
1500039925,17408,17408
1500041664,17379,17379
1500042497,17409,17409
1500043471,17323,17323
1500045028,17304,17304
1500046095,17353,17353
1500047029,17295,17295
1500047781,17314,17314
1500048628,17278,17278
1500049696,17309,17309
1500050522,8244,8244
1500051383,17280,17280
1500052191,17268,17268
1500054136,17236,17236
1500054976,17264,17264
1500055828,17256,17256
1500057742,17207,17207
1500058584,17230,17230
1500059426,17188,17188
1500061345,17148,17148
1500063323,17143,17143
1500064227,17091,17091
1500065118,17094,17094
1500066093,17057,17057
1500066920,17081,17081
1500067820,17060,17060
1500068720,17058,17058
1500071264,17086,17086
1500072328,17031,17031
1500073831,17015,17015
1500075626,16952,16952
1500076576,16978,16978
1500077429,16942,16942
1500079518,16915,16915
1500080339,16903,16903
1500081323,16922,16922
1500082096,16948,16948
1500083576,16887,16887
1500084630,16864,16864
1500085822,16816,16816
1500086721,16826,16826
1500087994,16789,16789
1500088823,16809,16809
1500089765,16767,16767
1500091832,16747,16747
1500092893,16786,16786
1500093922,16702,16702
1500095418,8244,8244
1500096316,16746,16746
1500097336,16681,16681
1500098180,16691,16691
1500099028,16660,16660
1500100942,16617,16617
1500102860,16607,16607
1500103780,16548,16548
1500104542,16544,16544
1500105376,16568,16568
1500106224,16538,16538
1500107299,16563,16563
1500108143,16487,16487
1500109563,8244,8244
1500110425,16426,16426
1500110896,16432,16432
1500111920,16337,16337
1500113139,16299,16299
1500114032,16323,16323
1500115226,16218,16218
1500116179,16244,16244
1500117028,16205,16205
1500118103,16245,16245
