DateTime,AddedIPs,RemovedIPs
1499723126,1,2
1499724632,2,0
1499726540,2,0
1499728527,2,1
1499729300,1,0
1499730139,1,2
1499730984,1,0
1499731832,0,1
1499732900,1,0
1499734592,3,3
1499735436,3,0
1499736635,0,3
1499737992,1,1
1499741130,1,0
1499743522,2,1
1499744548,1,2
1499746467,0,2
1499747301,2,0
1499748983,4,1
1499749833,1,0
1499751933,0,1
1499753433,2,0
1499757036,7,2
1499758835,3,0
1499762730,5,7
1499766158,3,1
1499768724,3,2
1499771663,7,4
1499775037,0,6
1499778635,3,2
1499782535,3,7
1499787924,7,10
1499789436,4,2
1499790317,0,1
1499793055,11,3
1499794231,1,4
1499795719,1,1
1499796517,2,0
1499798613,3,5
1499800231,10,3
1499801432,1,1
1499802332,0,2
1499803836,1,0
1499805034,0,6
1499805933,0,1
1499807659,2,2
1499809347,5,3
1499811984,6,2
1499812944,1,3
1499813780,2,0
1499814627,2,4
1499816542,2,0
1499818469,1,1
1499819437,0,2
1499820141,1,2
1499820979,1,0
1499821832,1,1
1499823862,2,0
1499825014,2,0
1499826035,1,0
1499827531,1,1
1499828888,2,0
1499829260,1,0
1499830237,0,1
1499832637,0,3
1499833520,0,1
1499834550,1,2
1499835170,1,0
1499836464,1,1
1499838336,0,1
1499839640,0,1
1499841038,2,7
1499841934,3,1
1499842582,1,0
1499843431,2,0
1499844333,1,0
1499845346,0,2
1499846558,0,3
1499847270,2,0
1499848263,2,1
1499849132,2,0
1499850868,1,2
1499852556,1,0
1499853747,1,1
1499854789,1,0
1499856021,3,1
1499856929,4,0
1499857833,0,2
1499858902,3,0
1499859724,0,2
1499861435,2,2
1499862633,2,0
1499863548,1,2
1499866105,1,2
1499867407,1,4
1499868637,1,3
1499870431,0,2
1499871354,1,0
1499872234,0,2
1499873435,1,2
1499874149,2,0
1499876064,1,0
1499879193,2,4
1499880032,0,1
1499881003,1,3
1499883031,0,3
1499884949,3,2
1499887840,2,8
1499890538,2,4
1499891433,2,0
1499892155,2,0
1499893833,0,3
1499895748,0,2
1499898625,2,4
1499901035,4,0
1499904636,3,4
1499905837,1,2
1499908234,7,2
1499910145,1,0
1499910983,2,0
1499912072,3,1
1499913931,1,0
1499914581,2,0
1499916500,1,0
1499917356,0,23
1499919271,2,4
1499920647,1,1
1499922532,2,1
1499923702,16,0
1499926238,2,17
1499927447,3,11
1499928338,0,1
1499929249,9,2
1499930070,196,12
1499930879,283,4
1499931930,182,32
1499933041,32,133
1499934038,171,10
1499935045,262,5
1499936182,114,13
1499937032,461,6
1499937264,0,6
1499938108,1,10
1499939016,1,13
1499939781,1,25
1499940639,1,11
1499941587,1,12
1499942439,2,6
1499944235,1,10
1499946149,2,11
1499947621,6,8
1499949747,4,9
1499950854,0,6
1499951731,1,6
1499952634,0,6
1499953530,2,7
1499955032,2,10
1499955927,1,2
1499957131,1,7
1499958453,1,4
1499959834,2,6
1499960673,0,4
