DateTime,Entries,UniqueIPs
1499977705,1553,1553
1499979527,1541,1541
1499980460,1537,1537
1499981427,1536,1536
1499982141,1535,1535
1499982981,1533,1533
1499984061,1531,1531
1499984901,1531,1531
1499985707,1528,1528
1499987661,1529,1529
1499988515,1528,1528
1499989485,1528,1528
1499990609,1526,1526
1499991636,1525,1525
1499992532,1522,1522
1499994632,1519,1519
1499995836,1517,1517
1499998461,1517,1517
1499999433,1515,1515
1500000920,1514,1514
1500001832,1514,1514
1500003753,1512,1512
1500005666,1509,1509
1500006700,1509,1509
1500008180,1509,1509
1500009032,1510,1510
1500010941,1509,1509
1500012599,1505,1505
1500013830,1503,1503
1500014731,1503,1503
1500018332,1496,1496
1500019835,1494,1494
1500020063,1495,1495
1500021049,1496,1496
1500022783,1496,1496
1500024637,1496,1496
1500025532,1493,1493
1500026853,1491,1491
1500028248,1486,1486
1500029546,1486,1486
1500030633,1486,1486
1500032724,1480,1480
1500033692,1477,1477
1500035441,1476,1476
1500036324,1477,1477
1500038061,1474,1474
1500039041,1473,1473
1500039932,1474,1474
1500041669,1474,1474
1500042502,1473,1473
1500043476,1470,1470
1500045033,1472,1472
1500046100,1473,1473
1500047034,1476,1476
1500047785,1477,1477
1500048636,1476,1476
1500049701,1474,1474
1500051347,1474,1474
1500052196,1475,1475
1500054141,1476,1476
1500054981,1478,1478
1500055833,1476,1476
1500057751,1474,1474
1500058588,1476,1476
1500059431,1474,1474
1500061350,1472,1472
1500063332,1473,1473
1500064240,1472,1472
1500065123,1475,1475
1500066104,1474,1474
1500067826,1472,1472
1500068729,1473,1473
1500071269,1470,1470
1500072338,1465,1465
1500073836,1465,1465
1500075634,1465,1465
1500077434,1462,1462
1500079523,1463,1463
1500080343,1462,1462
1500083581,1463,1463
1500084635,1461,1461
1500086730,1428,1428
1500087999,1426,1426
1500089781,1424,1424
1500091837,1423,1423
1500093933,1422,1422
1500096320,1423,1423
1500097341,1422,1422
1500098185,1422,1422
1500099032,1423,1423
