DateTime,AddedIPs,RemovedIPs
1500075618,117,133
1500076572,76,0
1500077422,55,84
1500079513,143,162
1500080336,51,58
1500081314,77,5
1500082093,39,0
1500083573,107,142
1500084623,59,87
1500085813,85,131
1500086713,2874,43
1500087991,339,76
1500088815,57,0
1500089762,72,123
1500091825,137,113
1500092890,60,1
1500093913,80,127
1500096312,145,81
1500097333,73,120
1500098174,52,1
1500099021,61,78
1500100936,123,137
1500102854,129,77
1500103744,57,1
1500104536,53,170
1500105373,69,0
1500106220,55,94
1500107295,74,1
1500108137,65,158
1500109562,108,101
1500110418,66,0
1500110893,33,0
1500111914,70,236
1500113136,95,103
1500114018,56,0
1500115219,83,213
1500116175,68,1
1500117022,64,110
1500118097,63,0
1500118933,68,207
1500119774,51,1
1500120623,54,108
1500120853,15,0
1500121739,65,0
1500123372,118,180
1500124221,64,115
1500125415,84,148
1500126312,74,46
1500127261,62,123
1500128116,63,2
1500129735,139,180
1500130572,56,0
1500131421,50,87
1500132493,79,1
1500133337,58,186
1500135022,115,90
1500135913,66,1
1500136818,70,176
1500137775,59,1
1500138623,57,104
1500139693,67,0
1500141542,148,250
1500142529,53,9
1500143295,67,0
1500144313,60,175
1500145823,102,92
1500147018,84,126
1500147914,72,51
1500148574,41,0
1500149421,51,103
1500150616,77,130
1500152113,91,44
1500153023,53,103
1500153994,65,1
1500155112,137,170
1500156620,98,96
1500157705,72,1
1500158712,78,183
1500159519,45,111
1500160338,46,9
1500161292,53,1
1500162313,53,154
1500163404,60,103
1500164418,63,0
1500165733,88,186
1500167422,79,88
1500169909,159,148
1500171021,68,87
1500172095,88,0
1500173773,96,147
1500174622,47,93
1500175819,75,140
1500177313,106,50
1500178221,53,97
1500179198,58,0
1500180020,46,151
1500181387,87,93
1500182306,54,1
1500182893,28,0
1500183733,45,197
1500185420,88,96
1500186617,82,152
1500187500,59,52
1500188998,98,93
1500189881,62,0
1500190817,60,171
1500192603,118,97
1500193567,66,3
1500194420,60,162
1500195384,73,0
1500196457,86,90
1500197416,66,129
1500198315,65,57
1500199480,78,92
1500200420,55,0
1500201320,53,148
1500201738,32,46
1500203421,103,100
1500204494,61,1
1500206532,163,309
1500207254,47,1
1500208218,76,192
1500209114,70,71
1500210625,113,139
1500211813,74,191
1500212716,47,59
1500213662,51,130
1500214515,51,0
1500215582,74,166
1500217612,130,177
1500218418,44,0
1500219264,50,159
1500222496,205,168
1500225316,187,298
1500226093,54,0
1500227713,107,220
