DateTime,Entries,UniqueIPs
1500013813,16352,16352
1500014716,16385,16385
1500016073,16437,16437
1500017295,16547,16547
1500018973,16511,16511
1500019821,16501,16501
1500020054,16520,16520
1500021031,16461,16461
1500022770,16435,16435
1500023715,16493,16493
1500024612,16354,16354
1500025518,16350,16350
1500026836,16285,16285
1500028223,16147,16147
1500029519,16170,16170
1500030622,16113,16113
1500031695,16181,16181
1500032714,16035,16035
1500033673,16018,16018
1500034516,16084,16084
1500035419,16023,16023
1500036310,16061,16061
1500038053,16121,16121
1500039018,16115,16115
1500039915,16181,16181
1500041658,16299,16299
1500042494,16385,16385
1500043456,16303,16303
1500045022,16377,16377
1500046092,16478,16478
1500047025,16383,16383
1500047775,16448,16448
1500048621,16454,16454
1500049693,16551,16551
1500051380,16563,16563
1500052188,16536,16536
1500054133,16534,16534
1500054973,16603,16603
1500055821,16613,16613
1500057735,16636,16636
1500058574,16725,16725
1500059420,16713,16713
1500060503,16812,16812
1500061338,16727,16727
1500063313,16804,16804
1500064220,16758,16758
1500065113,16792,16792
1500066914,16850,16850
1500067814,16806,16806
1500068714,16820,16820
1500071260,16956,16956
1500072321,16856,16856
1500073825,16887,16887
1500075618,16871,16871
1500076572,16947,16947
1500077422,16918,16918
1500079513,16899,16899
1500080336,16892,16892
1500081314,16964,16964
1500082093,17003,17003
1500083573,16968,16968
1500084623,16940,16940
1500085813,16894,16894
1500086713,19725,19725
1500087991,19988,19988
1500088815,20045,20045
1500089762,19994,19994
1500091825,20018,20018
1500092890,20077,20077
1500093913,20030,20030
1500096312,20094,20094
1500097333,20047,20047
1500098174,20098,20098
1500099021,20081,20081
1500100936,20067,20067
1500102854,20119,20119
1500103744,20175,20175
1500104536,20058,20058
1500105373,20127,20127
1500106220,20088,20088
1500107295,20161,20161
1500108137,20068,20068
1500109562,20075,20075
1500110418,20141,20141
1500110893,20174,20174
1500111914,20008,20008
1500113136,20000,20000
1500114018,20056,20056
1500115219,19926,19926
1500116175,19993,19993
1500117022,19947,19947
1500118097,20010,20010
1500118933,19871,19871
1500119774,19921,19921
1500120623,19867,19867
1500120853,19882,19882
1500121739,19947,19947
1500123372,19885,19885
1500124221,19834,19834
1500125415,19770,19770
1500126312,19798,19798
