DateTime,AddedIPs,RemovedIPs
1497025036,0,1
1497030035,2,0
1497033821,4,0
1497034613,2,0
1497037826,0,1
1497070003,1,0
1497071134,1,0
1497073000,0,2
1497107256,0,1
1497111644,1,2
1497113958,1,0
1497119742,0,1
1497125514,1,0
1497138174,1,1
1497149962,0,1
1497153140,2,0
1497155112,1,0
1497157165,6,0
1497158133,1,0
1497159382,1,0
1497166944,0,1
1497169228,1,0
1497174020,0,1
1497180774,0,1
1497192432,0,1
1497198933,0,2
1497200339,1,0
1497205269,0,5
1497213064,1,0
1497217349,0,1
1497218535,1,0
1497219651,1,1
1497220910,1,1
1497226471,0,1
1497228146,1,0
1497230435,3,1
1497232190,1,1
1497240300,1,1
1497244832,0,1
1497251733,1,1
1497257968,1,0
1497260572,2,0
1497270935,1,0
1497273273,0,1
1497274950,1,0
1497282290,1,1
1497283359,1,1
1497285641,1,0
1497289129,0,2
1497290144,4,0
1497291277,1,0
1497297727,0,1
1497298842,1,0
1497300223,1,0
1497303968,0,1
1497305171,0,1
1497317435,0,1
1497327174,0,1
1497328538,0,1
1497352542,1,0
1497366351,0,1
1497375345,1,0
1497391812,0,1
1497397393,1,0
1497401141,1,0
1497411061,0,1
1497417066,0,1
1497426877,0,1
1497428849,4,0
1497433276,0,1
1497439532,1,0
1497459965,0,4
1497468187,5,0
1497471033,0,1
1497473144,1,0
1497481887,1,0
1497485434,1,0
1497487616,0,1
1497488792,1,0
1497496883,1,0
1497509203,1,1
1497514603,1,0
1497515694,0,1
1497517153,1,0
1497521252,1,0
1497528400,0,1
1497536203,1,0
1497548818,1,0
1497550385,0,1
1497551454,0,1
1497558782,1,0
1497560280,1,0
1497562956,2,0
1497563841,1,0
1497565069,6,0
1497566136,4,0
1497570154,1,0
1497582054,1,0
1497593844,0,1
1497598263,0,1
1497606455,1,0
1497609039,0,1
1497616910,0,1
1497626157,0,1
1497629628,1,0
1497631715,1,0
1497638692,0,1
1497642362,0,4
1497663483,1,0
1497683664,7,0
1497687729,0,1
1497690298,2,0
1497702524,4,0
1497705268,1,0
1497707138,0,2
1497723846,0,1
1497728750,0,1
1497747563,0,1
1497753300,0,1
1497762804,1,0
1497766846,0,1
1497772260,0,1
1497776872,0,1
1497788737,1,1
1497791078,0,1
1497791891,2,0
1497810532,0,1
1497817721,1,0
1497820237,0,3
1497825046,1,1
1497827664,1,1
1497834635,2,0
1497837930,1,0
1497845143,1,0
1497851727,0,2
1497852638,0,1
1497854553,1,0
1497855935,1,2
1497858159,1,0
1497860069,0,2
1497872572,0,3
1497873392,3,1
1497874250,1,0
1497879955,1,1
1497884736,0,2
1497886946,1,1
1497888332,2,0
1497895933,0,1
1497903927,1,0
1497904964,1,0
1497907249,1,0
1497924634,0,1
1497933759,6,0
1497935665,1,0
1497942692,1,0
1497958262,0,1
1497960876,1,1
1497962450,1,2
1497967852,0,1
1497971669,1,0
1497978101,0,1
1497989220,0,1
1497998800,0,1
1498004034,0,1
1498007739,0,1
1498018350,0,1
1498025404,0,1
1498029036,0,1
1498030844,1,0
1498038156,1,0
1498054865,1,0
1498057470,0,1
1498075065,1,0
1498089328,1,0
1498090307,0,1
1498092212,0,1
1498098637,0,1
1498102574,0,1
1498104372,0,1
1498106937,3,1
