DateTime,Entries,UniqueIPs
1497037826,130,130
1497070003,131,131
1497071134,132,132
1497073000,130,130
1497107256,129,129
1497111644,128,128
1497113958,129,129
1497119742,128,128
1497125514,129,129
1497138174,129,129
1497149962,128,128
1497153140,130,130
1497155112,131,131
1497157165,137,137
1497158133,138,138
1497159382,139,139
1497166944,138,138
1497169228,139,139
1497174020,138,138
1497180774,137,137
1497192432,136,136
1497198933,134,134
1497200339,135,135
1497205269,130,130
1497213064,131,131
1497217349,130,130
1497218535,131,131
1497219651,131,131
1497220910,131,131
1497226471,130,130
1497228146,131,131
1497230435,133,133
1497232190,133,133
1497240300,133,133
1497244832,132,132
1497251733,132,132
1497257968,133,133
1497260572,135,135
1497270935,136,136
1497273273,135,135
1497274950,136,136
1497282290,136,136
1497283359,136,136
1497285641,137,137
1497289129,135,135
1497290144,139,139
1497291277,140,140
1497297727,139,139
1497298842,140,140
1497300223,141,141
1497303968,140,140
1497305171,139,139
1497317435,138,138
1497327174,137,137
1497328538,136,136
1497352542,137,137
1497366351,136,136
1497375345,137,137
1497391812,136,136
1497397393,137,137
1497401141,138,138
1497411061,137,137
1497417066,136,136
1497426877,135,135
1497428849,139,139
1497433276,138,138
1497439532,139,139
1497459965,135,135
1497468187,140,140
1497471033,139,139
1497473144,140,140
1497481887,141,141
1497485434,142,142
1497487616,141,141
1497488792,142,142
1497496883,143,143
1497509203,143,143
1497514603,144,144
1497515694,143,143
1497517153,144,144
1497521252,145,145
1497528400,144,144
1497536203,145,145
1497548818,146,146
1497550385,145,145
1497551454,144,144
1497558782,145,145
1497560280,146,146
1497562956,148,148
1497563841,149,149
1497565069,155,155
1497566136,159,159
1497570154,160,160
1497582054,161,161
1497593844,160,160
1497598263,159,159
1497606455,160,160
1497609039,159,159
1497616910,158,158
1497626157,157,157
1497629628,158,158
1497631715,159,159
1497638692,158,158
1497642362,154,154
1497663483,155,155
1497683664,162,162
1497687729,161,161
1497690298,163,163
1497702524,167,167
1497705268,168,168
1497707138,166,166
1497723846,165,165
1497728750,164,164
1497747563,163,163
1497753300,162,162
1497762804,163,163
1497766846,162,162
1497772260,161,161
1497776872,160,160
1497788737,160,160
1497791078,159,159
1497791891,161,161
1497810532,160,160
1497817721,161,161
1497820237,158,158
1497825046,158,158
1497827664,158,158
1497834635,160,160
1497837930,161,161
1497845143,162,162
1497851727,160,160
1497852638,159,159
1497854553,160,160
1497855935,159,159
1497858159,160,160
1497860069,158,158
1497872572,155,155
1497873392,157,157
1497874250,158,158
1497879955,158,158
1497884736,156,156
1497886946,156,156
1497888332,158,158
1497895933,157,157
1497903927,158,158
1497904964,159,159
1497907249,160,160
1497924634,159,159
1497933759,165,165
1497935665,166,166
1497942692,167,167
1497958262,166,166
1497960876,166,166
1497962450,165,165
1497967852,164,164
1497971669,165,165
1497978101,164,164
1497989220,163,163
1497998800,162,162
1498004034,161,161
1498007739,160,160
1498018350,159,159
1498025404,158,158
1498029036,157,157
1498030844,158,158
1498038156,159,159
1498054865,160,160
1498057470,159,159
1498075065,160,160
1498089328,161,161
1498090307,160,160
1498092212,159,159
1498098637,158,158
1498102574,157,157
1498104372,156,156
1498106937,158,158
1498108464,159,159
1498112138,160,160
1498113057,159,159
1498125701,160,160
1498136347,159,159
1498138653,160,160
1498145761,158,158
1498160331,157,157
1498195296,159,159
1498203047,161,161
1498205131,159,159
1498208217,158,158
1498215738,157,157
1498221757,156,156
1498232484,155,155
1498246992,154,154
1498252327,153,153
1498253319,154,154
1498257370,153,153
1498279084,152,152
1498293762,153,153
1498297103,152,152
1498303838,152,152
1498315064,151,151
1498322281,150,150
1498329746,151,151
1498336788,152,152
1498360826,151,151
1498363523,149,149
1498370358,149,149
1498379513,147,147
1498383328,148,148
1498386089,149,149
1498387548,150,150
1498390536,159,159
1498400145,160,160
1498401615,158,158
1498407342,160,160
1498421200,159,159
1498422867,160,160
1498424996,161,161
1498428943,161,161
1498430335,161,161
1498437961,160,160
1498440642,159,159
1498443610,158,158
1498453834,158,158
1498458061,159,159
1498464868,158,158
1498468466,158,158
1498469759,157,157
1498473129,157,157
1498483787,156,156
1498490133,155,155
1498503572,154,154
1498507855,153,153
1498510614,152,152
1498517727,151,151
1498520583,151,151
1498524185,150,150
1498529453,149,149
1498541726,148,148
1498550579,147,147
1498552357,146,146
1498556597,147,147
1498559392,135,135
1498562387,137,137
1498567874,138,138
1498577734,139,139
1498578185,138,138
1498581029,137,137
1498585618,136,136
1498597829,137,137
1498613431,136,136
1498615833,135,135
1498617976,136,136
1498642247,135,135
1498646564,134,134
1498661182,132,132
1498663714,130,130
1498665066,132,132
1498666233,135,135
1498668373,134,134
1498698869,135,135
1498715000,136,136
1498715794,137,137
1498716872,138,138
1498728106,139,139
1498733450,138,138
1498738163,136,136
1498743825,135,135
1498749033,136,136
1498773327,137,137
1498774238,136,136
1498807836,135,135
1498809770,136,136
