DateTime,AddedIPs,RemovedIPs
1474757799,798,33
1474779661,56,37
1474801710,794,1890
1474823553,564,481
1474845640,53,860
1474867709,40,70
1474889789,214,266
1474911869,459,354
1474933954,148,57
1474956078,19,40
1475154506,1651,1101
1475176354,653,0
1475198421,49,0
1475220504,53,0
1475242593,282,1488
1475264467,289,194
1475286502,274,45
1475308615,129,44
1475330479,892,897
1475352515,780,738
1475374601,54,279
1475396667,113,129
1475418763,326,385
1475440824,547,558
1475462670,160,53
1475484748,112,120
1475506623,305,317
1475528674,598,657
1475550528,158,141
1475572590,1447,77
1475594712,104,890
1475616746,32,1097
1475638811,66,70
1475660663,1083,1220
1475682754,2251,29
1475704889,380,10
1475726919,83,18
1475748998,1366,1367
1475771057,684,1343
1475792901,292,137
1475814761,127,61
1475836823,997,952
1477674512,46,4209
1477696355,39,0
1477718426,33,0
1477740269,64,0
1477762112,29,64
1477784220,23,36
1477806259,24,31
1477828353,55,66
1477850195,32,30
1477872061,33,26
1477893926,26,23
1477915954,31,52
1477937795,22,36
1477959726,62,30
1477981709,25,29
1478003800,58,29
1478025875,30,22
1478047992,56,63
1478070070,43,25
1478092118,51,57
1478114191,39,30
1478136270,53,55
1478158351,37,43
1478180207,16,50
1478202259,14,38
1478224119,15,57
1478246187,13,39
1478268097,22,15
1478290110,12,15
1478311957,20,15
1478334053,27,12
1478356117,16,23
1478377966,94,12
1478399819,24,18
1478421881,16,25
1478443952,41,15
1478465805,28,92
1478487671,37,25
1478509704,31,17
1478531604,28,43
1478553668,35,29
1478575719,35,37
1478597795,22,30
1478619882,47,25
1478641955,66,34
1478663796,50,34
1478685681,32,20
1478707708,0,53
1478729548,8,66
1478751430,10,54
1478773466,16,33
1478795326,20,1
1478817400,31,8
1478839454,10,10
1478861324,41,15
1478883384,37,18
1478905290,17,29
1478927331,20,10
1478949403,13,45
1478971490,40,34
1478993574,11,18
1479015651,15,20
1479037705,37,13
1479059568,23,41
1479081408,40,11
1479103267,29,15
1479125321,58,34
1479147914,96,25
1479169994,23,42
1479192023,27,29
1479214123,34,58
1479236243,29,96
1479258085,71,23
1479280112,26,25
1479301960,48,31
1479323801,73,25
1479345874,78,70
1479367975,92,24
1479390028,53,48
1479412103,71,74
1479433959,135,73
1479456114,85,88
1479478139,45,52
1479500222,35,71
1479522259,32,138
1479544383,76,90
1479566570,57,47
1479588520,23,35
1479610588,86,33
1479632514,88,73
1479654544,60,54
1479676849,83,25
1479698926,33,84
1479720999,48,85
1479743067,553,63
1479764949,158,83
1479786884,105,34
1479808912,3748,45
1479830911,4856,96
1479852776,3768,48
1479874820,80,28
1479896673,3461,2253
1479918541,3241,3177
1479940596,82,3657
1479962666,73,28
1479984519,3416,3030
1480006371,3265,3011
1480028496,76,20
1480050522,75,25
1480072373,4602,4702
1480094462,118,3161
1480116510,298,108
1480138354,93,120
1480160433,859,6409
1480182496,1609,111
1480204371,3435,175
1480226489,131,84
1480248527,2915,1188
1480270583,101,892
1480292653,136,2951
1480314529,194,137
1480336589,1679,115
1480358659,202,101
1480380552,114,129
1480402589,22,194
1480424490,1901,2731
1480446515,103,182
1480468604,103,129
1480490666,192,21
1480512535,2329,2101
1480534598,96,108
1480556443,78,97
1480578522,97,195
1480600607,1474,1965
1480622499,86,99
1480644533,149,76
1480666588,151,94
1480688692,4182,3347
1480710744,73,78
1480732588,108,152
1480754433,127,144
1480776528,958,5361
1480798373,2326,69
1480820246,123,122
1480842170,617,135
1480864127,3564,922
1480885972,306,1194
1480908031,153,105
1480929877,706,352
1480951818,1524,2290
1480974065,93,242
1480996568,60,137
1481018880,5138,754
1481040894,1511,2649
1481062856,50,62
1481085179,58,34
1481108542,3034,2641
1481130908,77,1610
1481153509,179,247
1481175386,96,66
1481197250,201,2736
1481219099,84,79
1481241177,40,179
1481263295,148,103
1481285350,3658,3398
1481307415,85,91
1481329465,122,33
1481351320,80,150
1481373405,807,1082
1481395457,5,84
1481417302,87,123
1481439167,85,80
1481461301,3369,3431
1481483346,66,5
1481505386,64,82
1481527240,48,92
1481549094,1583,821
1481570992,80,68
1481592993,31,67
1481615060,107,46
1481636920,1533,1411
1481658766,111,75
1481680889,144,32
1481702910,45,107
1481724773,137,1781
1481746857,80,119
1481768904,57,99
1481790758,80,46
1481812620,3191,2988
1481834665,83,82
1481856759,42,53
1481878901,1529,63
1481900924,3216,2991
1481922768,66,20
1481944612,37,10
1481966665,739,867
1481988511,228,733
1482010370,42,16
1482032439,28,12
1482054519,771,866
1482076366,1254,358
1482098219,56,19
1482120085,42,15
1482142138,4069,1213
1482164220,1583,2054
1482186293,53,89
1482208153,24,56
1482230236,2193,2255
1482252592,2252,2855
1482274608,73,30
1482296485,65,24
1482318781,2745,2787
1482340624,76,3341
1482362974,42,183
1482384861,117,65
1482406851,2337,3175
1482428730,3689,75
1482450742,42,38
1482472584,11,121
1482494530,2114,1749
1482516541,38,3833
1482538615,69,46
1482560726,54,16
1482582765,2509,2046
1482604616,32,41
1482626677,27,69
1482648769,26,56
1482670908,2796,3398
1482692950,29,35
1482715002,49,32
1482736858,57,25
1482758925,1797,1040
1482780803,122,31
1482802824,56,45
1482824704,88,53
1482846776,655,767
1482868896,67,113
1482890941,82,56
1482913260,63,89
1482935322,3638,349
1482957412,11,77
1482979472,52,84
1483001322,31,65
1483023169,110,4030
1483045285,140,11
1483067310,45,58
1483089175,1346,24
1483111228,28,4450
1483133095,16,15
1483155155,40,18
1483177005,478,815
1483199076,4428,15
1483221172,37,7
1483243300,21,10
1483265335,3385,906
1483287396,2025,2397
1483309237,30,65
1483331318,36,22
1483353167,1003,678
1483375232,217,85
1483397081,58,30
1483418924,33,31
1483441000,722,481
1483462900,47,2485
1483484933,49,63
1483507013,42,31
1483529060,2852,3765
1483550915,576,56
1483572758,52,48
1483594828,58,44
1483616675,566,603
1483638517,58,583
1483660372,58,51
1483682498,68,58
1483704514,2353,2508
1483726611,58,57
1483748686,65,55
1483770740,53,61
1483792841,1828,1501
1483814830,65,59
1483836724,60,71
1483858583,43,56
1483880516,2614,3496
1483902550,54,66
1483924610,25,56
1483946685,46,46
1483968927,1601,70
1483990825,32,52
1484012926,60,26
1484034883,46,44
1484057066,59,6243
1484078913,28,46
1484100803,7,67
1484122858,25,46
1484144922,109,59
1484166773,121,28
1484188816,130,9
1484210927,260,22
1484233023,52,96
1484254889,67,113
1484276944,50,119
1484299247,75,272
1484321329,48,57
1484343169,103,80
1484365229,121,51
1484387334,99,79
1484409427,88,47
1484431295,71,99
1484453332,97,106
1484475398,65,102
1484497475,4,85
1484519572,0,82
1484541627,1,112
1484563498,51,61
1484585686,40,5
1484607702,73,0
1484629731,122,1
1484651586,67,58
1484673671,57,36
1484695737,76,66
1484717619,62,115
1484739640,65,69
1484761698,168,62
1484783579,256,75
1484805694,53,61
1484827755,5771,60
1484849810,100,84
1484871901,96,240
1484893952,193,49
1484915807,1029,1170
1484937872,99,97
1484959720,91,98
1484981570,114,196
1485003730,75,5625
1485025717,100,114
1485047569,75,95
1485069652,50,130
1485091754,5720,71
1485113800,14,96
1485135873,108,76
1485157967,92,57
1485180156,2873,3579
1485202101,99,15
1485223949,137,102
1485246028,89,89
1485268099,3097,3002
1485289957,1720,100
1485312070,74,135
1485334139,66,96
1485356198,4835,2536
1485378287,43,1610
1485400357,100,53
1485422479,184,42
1485796624,33,7893
1485818668,222,0
1485840517,58,0
1485862625,2099,0
1485884679,5027,14
1485906542,2611,135
1485928606,17,27
1485950737,1373,1599
1485973031,1700,2446
1485995098,1521,2246
1486017166,29,25
1486039253,755,1463
1486061358,4116,1798
1486083391,1648,1213
1486105308,33,28
1486127349,1701,956
1486149669,2242,3186
1486171975,92,1576
1486194037,71,39
1486215909,2940,1733
1486237974,505,3806
1486260116,115,70
1486282138,96,56
1486304477,3480,2131
1486326602,1136,1740
1486348625,85,109
1486370703,202,95
1486392936,1593,2071
1486414891,133,3202
1486436936,141,77
1486458779,105,225
1486481109,1366,598
1486503156,295,148
1486525003,132,136
1486546845,126,113
1486568710,4018,1549
1486590764,68,246
1486612905,141,139
1486634916,104,129
1486656779,2729,3792
1486678896,309,68
1486700926,83,140
1486722990,127,105
1486744840,1535,2072
1486766911,1416,1502
1486788753,83,81
1486810914,1896,95
1486832919,1220,1719
1486854997,1926,1293
