DateTime,Entries,UniqueIPs
1474757799,4066,4161
1474779661,4098,4194
1474801710,4799,4920
1474823553,5264,5398
1474845640,5273,5406
1474867709,5272,5406
1474889789,3672,3775
1474911869,3611,3706
1474933954,2982,3056
1474956078,2932,3005
1475154506,2792,2861
1475176354,3423,3514
1475198421,3472,3563
1475220504,3525,3616
1475242593,3800,3898
1475264467,4032,4139
1475286502,4281,4393
1475308615,4397,4509
1475330479,3867,3970
1475352515,4381,4509
1475374601,4387,4517
1475396667,4446,4577
1475418763,3937,4047
1475440824,3736,3844
1475462670,3627,3732
1475484748,3619,3721
1475506623,3549,3644
1475528674,3594,3689
1475550528,3687,3782
1475572590,4915,5039
1475594712,4760,4872
1475616746,4171,4268
1475638811,4138,4235
1475660663,5043,5169
1475682754,5916,6090
1475704889,5626,5789
1475726919,5645,5810
1475748998,5880,6041
1475771057,6463,6651
1475792901,6695,6897
1475814761,6766,6972
1475836823,6431,6654
1477674512,68,68
1477696355,107,107
1477718426,140,140
1477740269,204,204
1477762112,233,233
1477784220,256,256
1477806259,279,279
1477828353,333,333
1477850195,302,302
1477872061,297,297
1477893926,292,292
1477915954,258,258
1477937795,252,252
1477959726,286,287
1477981709,288,289
1478003800,291,292
1478025875,287,287
1478047992,314,314
1478070070,327,328
1478092118,349,350
1478114191,365,366
1478136270,357,358
1478158351,367,368
1478180207,326,326
1478202259,313,313
1478224119,273,274
1478246187,243,244
1478268097,215,216
1478290110,190,190
1478311957,152,152
1478334053,140,140
1478356117,141,141
1478377966,216,218
1478399819,226,228
1478421881,231,233
1478443952,249,251
1478465805,262,264
1478487671,281,283
1478509704,288,289
1478531604,302,303
1478553668,248,248
1478575719,258,258
1478597795,263,263
1478619882,265,265
1478641955,299,299
1478663796,312,312
1478685681,319,319
1478707708,295,295
1478729548,269,269
1478751430,245,245
1478773466,239,239
1478795326,205,205
1478817400,169,169
1478839454,129,129
1478861324,137,137
1478883384,173,173
1478905290,182,182
1478927331,192,192
1478949403,190,190
1478971490,210,210
1478993574,193,193
1479015651,198,198
1479037705,191,191
1479059568,180,180
1479081408,202,202
1479103267,210,211
1479125321,255,256
1479147914,311,311
1479169994,323,323
1479192023,333,333
1479214123,334,334
1479236243,337,337
1479258085,367,367
1479280112,365,365
1479301960,353,353
1479323801,331,331
1479345874,386,386
1479367975,453,453
1479390028,474,475
1479412103,517,519
1479433959,580,583
1479456114,637,640
1479478139,634,638
1479500222,598,601
1479522259,561,564
1479544383,547,550
1479566570,547,549
1479588520,502,503
1479610588,454,454
1479632514,452,453
1479654544,463,465
1479676849,510,512
1479698926,510,511
1479720999,488,489
1479743067,984,986
1479764949,1107,1109
1479786884,1134,1138
1479808912,4696,4767
1479830911,9265,9565
1479852776,12745,13264
1479874820,12796,13314
1479896673,16014,16669
1479918541,18834,19634
1479940596,18870,19671
1479962666,18917,19720
1479984519,19659,20529
1480006371,19557,20444
1480028496,16816,17507
1480050522,16849,17537
1480072373,17382,18106
1480094462,15708,16329
1480116510,15789,16415
1480138354,15828,16456
1480160433,12291,12754
1480182496,10224,10584
1480204371,12145,12594
1480226489,12159,12609
1480248527,10761,11140
1480270583,10744,11123
1480292653,10703,11080
1480314529,10787,11169
1480336589,10916,11314
1480358659,10331,10706
1480380552,7886,8168
1480402589,7784,8065
1480424490,9478,9840
1480446515,9471,9837
1480468604,9442,9802
