DateTime,AddedIPs,RemovedIPs
1474757799,997,639
1474779661,77,1302
1474801710,1404,75
1474823553,683,1070
1474845640,62,1018
1474867709,42,66
1474889789,1345,42
1474911869,794,929
1474933954,162,1167
1474956078,21,202
1475154506,2853,17
1475176354,653,2321
1475198421,52,1188
1475220504,59,54
1475242593,1495,56
1475264467,903,1081
1475286502,305,1281
1475308615,145,333
1475330479,1503,149
1475352515,919,1066
1475374601,62,1362
1475396667,140,63
1475418763,1430,137
1475440824,919,1011
1475462670,180,1339
1475484748,127,174
1475506623,1404,124
1475528674,887,1016
1475550528,187,1278
1475572590,1773,72
1475594712,108,1834
1475616746,43,167
1475638811,96,47
1475660663,1828,21
1475682754,2254,1709
1475704889,417,2153
1475726919,126,707
1475748998,2411,65
1475771057,1053,1968
1475792901,605,1314
1475814761,172,844
1475836823,2498,70
1477674512,50,2593
1477696355,39,67
1477718426,33,40
1477740269,70,32
1477762112,29,69
1477784220,26,30
1477806259,25,27
1477828353,57,25
1477850195,33,54
1477872061,33,36
1477893926,28,32
1477915954,33,29
1477937795,22,32
1477959726,65,22
1477981709,26,65
1478003800,59,26
1478025875,31,58
1478047992,57,30
1478070070,44,57
1478092118,52,45
1478114191,41,53
1478136270,55,39
1478158351,39,58
1478180207,17,39
1478202259,15,15
1478224119,15,16
1478246187,14,15
1478268097,22,12
1478290110,12,23
1478311957,20,12
1478334053,27,21
1478356117,18,27
1478377966,96,16
1478399819,24,94
1478421881,18,27
1478443952,44,18
1478465805,29,45
1478487671,39,29
1478509704,32,39
1478531604,28,32
1478553668,36,28
1478575719,37,36
1478597795,23,37
1478619882,53,21
1478641955,67,54
1478663796,52,66
1478685681,33,54
1478707708,0,33
1478729548,8,1
1478751430,10,8
1478773466,16,10
1478795326,20,16
1478817400,32,20
1478839454,10,32
1478861324,45,10
1478883384,38,45
1478905290,17,35
1478927331,20,20
1478949403,13,20
1478971490,43,13
1478993574,11,41
1479015651,15,13
1479037705,37,15
1479059568,23,35
1479081408,42,25
1479103267,29,42
1479125321,59,29
1479147914,96,59
1479169994,23,96
1479192023,28,23
1479214123,34,27
1479236243,29,35
1479258085,75,29
1479280112,27,75
1479301960,51,26
1479323801,78,51
1479345874,82,77
1479367975,95,80
1479390028,56,98
1479412103,77,56
1479433959,143,73
1479456114,93,142
1479478139,47,96
1479500222,38,49
1479522259,34,37
1479544383,81,34
1479566570,58,77
1479588520,28,63
1479610588,92,27
1479632514,90,90
1479654544,67,91
1479676849,86,68
1479698926,36,87
1479720999,54,37
1479743067,560,53
1479764949,161,538
1479786884,119,87
1479808912,4212,34
1479830911,4869,3373
1479852776,4005,4057
1479874820,105,5678
1479896673,5798,36
1479918541,4669,4994
1479940596,298,5579
1479962666,137,272
1479984519,6647,34
1480006371,4553,5472
1480028496,130,5833
1480050522,140,134
1480072373,7925,136
1480094462,143,7926
1480116510,337,145
1480138354,113,343
1480160433,2520,197
1480182496,1674,1845
1480204371,3940,1146
1480226489,156,5053
1480248527,5443,182
1480270583,140,5448
1480292653,157,120
1480314529,215,155
1480336589,7027,209
1480358659,216,7026
1480380552,134,202
1480402589,24,162
1480424490,6226,24
1480446515,116,6228
1480468604,128,133
1480490666,232,108
1480512535,6421,212
1480534598,112,6422
1480556443,91,115
1480578522,107,89
1480600607,5939,114
1480622499,106,5935
