DateTime,Entries,UniqueIPs
1474757799,1306,1306
1474779661,81,81
1474801710,1410,1410
1474823553,1023,1023
1474845640,67,67
1474867709,43,43
1474889789,1346,1346
1474911869,1211,1211
1474933954,206,206
1474956078,25,25
1475154506,2861,2861
1475176354,1193,1193
1475198421,57,57
1475220504,62,62
1475242593,1501,1501
1475264467,1323,1323
1475286502,347,347
1475308615,159,159
1475330479,1513,1513
1475352515,1366,1366
1475374601,66,66
1475396667,143,143
1475418763,1436,1436
1475440824,1344,1344
1475462670,185,185
1475484748,138,138
1475506623,1418,1418
1475528674,1289,1289
1475550528,198,198
1475572590,1899,1899
1475594712,173,173
1475616746,49,49
1475638811,98,98
1475660663,1905,1905
1475682754,2450,2450
1475704889,714,714
1475726919,133,133
1475748998,2479,2479
1475771057,1564,1564
1475792901,855,855
1475814761,183,183
1475836823,2611,2611
1477674512,68,68
1477696355,40,40
1477718426,33,33
1477740269,71,71
1477762112,31,31
1477784220,27,27
1477806259,25,25
1477828353,57,57
1477850195,36,36
1477872061,33,33
1477893926,29,29
1477915954,33,33
1477937795,23,23
1477959726,66,66
1477981709,27,27
1478003800,60,60
1478025875,33,33
1478047992,60,60
1478070070,47,47
1478092118,54,54
1478114191,42,42
1478136270,58,58
1478158351,39,39
1478180207,17,17
1478202259,17,17
1478224119,16,16
1478246187,15,15
1478268097,25,25
1478290110,14,14
1478311957,22,22
1478334053,28,28
1478356117,19,19
1478377966,99,99
1478399819,29,29
1478421881,20,20
1478443952,46,46
1478465805,30,30
1478487671,40,40
1478509704,33,33
1478531604,29,29
1478553668,37,37
1478575719,38,38
1478597795,24,24
1478619882,56,56
1478641955,69,69
1478663796,55,55
1478685681,34,34
1478707708,1,1
1478729548,8,8
1478751430,10,10
1478773466,16,16
1478795326,20,20
1478817400,32,32
1478839454,10,10
1478861324,45,45
1478883384,38,38
1478905290,20,20
1478927331,20,20
1478949403,13,13
1478971490,43,43
1478993574,13,13
1479015651,15,15
1479037705,37,37
1479059568,25,25
1479081408,42,42
1479103267,29,29
1479125321,59,59
1479147914,96,96
1479169994,23,23
1479192023,28,28
1479214123,35,35
1479236243,29,29
1479258085,75,75
1479280112,27,27
1479301960,52,52
1479323801,79,79
1479345874,84,84
1479367975,99,99
1479390028,57,57
1479412103,78,78
1479433959,148,148
1479456114,99,99
1479478139,50,50
1479500222,39,39
1479522259,36,36
1479544383,83,83
1479566570,64,64
1479588520,29,29
1479610588,94,94
1479632514,94,94
1479654544,70,70
1479676849,88,88
1479698926,37,37
1479720999,54,54
1479743067,561,561
1479764949,184,184
1479786884,216,216
1479808912,4394,4394
1479830911,5890,5890
1479852776,5838,5838
1479874820,265,265
1479896673,6027,6027
1479918541,5702,5702
1479940596,421,421
1479962666,286,286
1479984519,6899,6899
1480006371,5980,5980
1480028496,277,277
1480050522,283,283
1480072373,8072,8072
1480094462,289,289
1480116510,481,481
1480138354,251,251
1480160433,2574,2574
1480182496,2403,2403
1480204371,5197,5197
1480226489,300,300
1480248527,5561,5561
1480270583,253,253
1480292653,290,290
1480314529,350,350
1480336589,7168,7168
1480358659,358,358
1480380552,290,290
1480402589,152,152
1480424490,6354,6354
1480446515,242,242
1480468604,237,237
1480490666,361,361
1480512535,6570,6570
1480534598,260,260
1480556443,236,236
1480578522,254,254
1480600607,6079,6079
1480622499,250,250
1480644533,320,320
1480666588,311,311
1480688692,6926,6926
1480710744,235,235
1480732588,284,284
1480754433,304,304
1480776528,2363,2363
1480798373,3481,3481
1480820246,280,280
1480842170,735,735
1480864127,6259,6259
1480885972,517,517
1480908031,325,325
1480929877,1247,1247
1480951818,5436,5436
1480974065,225,225
1480996568,236,236
1481018880,8097,8097
1481040894,3829,3829
1481062856,396,396
1481085179,208,208
1481108542,8475,8475
1481130908,215,215
1481153509,332,332
1481175386,241,241
1481197250,5902,5902
1481219099,223,223
1481241177,170,170
1481263295,292,292
1481285350,6188,6188
1481307415,220,220
1481329465,263,263
1481351320,221,221
1481373405,5908,5908
1481395457,126,126
1481417302,218,218
1481439167,220,220
1481461301,5846,5846
1481483346,188,188
1481505386,186,186
1481527240,165,165
1481549094,6619,6619
1481570992,211,211
1481592993,159,159
1481615060,242,242
1481636920,6745,6745
1481658766,246,246
1481680889,271,271
1481702910,209,209
1481724773,5106,5106
1481746857,262,262
1481768904,226,226
1481790758,257,257
1481812620,5284,5284
1481834665,256,256
1481856759,213,213
1481878901,2161,2161
1481900924,5545,5545
1481922768,326,326
1481944612,239,239
1481966665,2167,2167
1481988511,4953,4953
1482010370,267,267
1482032439,239,239
1482054519,2037,2037
1482076366,5940,5940
1482098219,291,291
1482120085,230,230
1482142138,6909,6909
1482164220,5398,5398
1482186293,253,253
1482208153,165,165
1482230236,6262,6262
1482252592,5695,5695
1482274608,340,340
1482296485,218,218
1482318781,5682,5682
1482340624,239,239
1482362974,183,183
1482384861,271,271
1482406851,4823,4823
1482428730,6149,6149
1482450742,184,184
1482472584,154,154
1482494530,5065,5065
1482516541,174,174
1482538615,204,204
1482560726,189,189
1482582765,5529,5529
1482604616,164,164
1482626677,158,158
1482648769,156,156
1482670908,4910,4910
1482692950,142,142
1482715002,166,166
1482736858,175,175
1482758925,5677,5677
1482780803,245,245
1482802824,177,177
1482824704,221,221
1482846776,5568,5568
1482868896,189,189
1482890941,193,193
1482913260,173,173
1482935322,8852,8852
1482957412,117,117
1482979472,166,166
1483001322,131,131
1483023169,4926,4926
1483045285,245,245
1483067310,147,147
1483089175,1950,1950
1483111228,135,135
1483133095,211,211
1483155155,156,156
1483177005,1649,1649
1483199076,4894,4894
1483221172,239,239
1483243300,137,137
1483265335,5754,5754
1483287396,4482,4482
1483309237,235,235
1483331318,142,142
1483353167,6159,6159
1483375232,4705,4705
1483397081,267,267
1483418924,126,126
1483441000,6414,6414
1483462900,153,153
1483484933,141,141
