DateTime,Entries,UniqueIPs
1497768004,6925,6925
1497774004,6936,6936
1497777844,6949,6949
1497781924,6951,6951
1497785763,6954,6954
1497787684,6962,6962
1497793444,6972,6972
1497799444,6975,6975
1497807363,6982,6982
1497813126,6982,6982
1497817206,6973,6973
1497821286,6982,6982
1497825127,6956,6956
1497830884,6921,6921
1497837123,6908,6908
1497839043,6911,6911
1497844816,6886,6886
1497850563,6880,6880
1497854403,6910,6910
1497858244,6912,6912
1497862084,6941,6941
1497867844,6927,6927
1497873615,6912,6912
1497875525,6914,6914
1497881285,6931,6931
1497887045,6941,6941
1497894724,6961,6961
1497898817,6965,6965
1497907208,6968,6968
1497912964,6911,6911
1497920647,6890,6890
1497926404,6900,6900
1497928324,6888,6888
1497932406,6884,6884
1497940085,6904,6904
1497945844,6906,6906
1497953524,6916,6916
1497961220,6913,6913
1497967218,6931,6931
1497971050,6960,6960
1497975128,6951,6951
1497978966,6952,6952
1497980884,6968,6968
1497984724,6992,6992
1497988565,7000,7000
1497994563,7006,7006
1497998405,6978,6978
1498002243,6955,6955
1498008243,6932,6932
1498014012,6915,6915
1498021684,6915,6915
1498029605,6923,6923
1498033444,6946,6946
1498037525,6932,6932
1498047367,6945,6945
1498053125,6963,6963
1498059123,6960,6960
1498064885,6961,6961
1498070645,6975,6975
1498074484,6977,6977
1498082426,6948,6948
1498088164,6917,6917
1498094164,6901,6901
1498098004,6916,6916
1498103764,6902,6902
1498105683,6888,6888
1498111445,6914,6914
1498119124,6919,6919
1498123209,6917,6917
1498129220,6925,6925
1498134963,6934,6934
1498136884,6953,6953
1498144806,6968,6968
1498150816,6962,6962
1498156564,6975,6975
1498162331,6963,6963
1498166164,6963,6963
1498170005,6945,6945
1498173844,6917,6917
1498177924,6931,6931
1498183684,6929,6929
1498193523,6885,6885
1498195684,6877,6877
1498199523,6896,6896
1498203364,6904,6904
1498207204,6913,6913
1498211284,6916,6916
1498213206,6940,6940
1498217044,6938,6938
1498222817,6966,6966
1498228807,6958,6958
1498236484,6978,6978
1498242245,6982,6982
1498246325,6988,6988
1498252084,6975,6975
1498255924,6932,6932
1498263843,6934,6934
1498269843,6914,6914
1498273927,6906,6906
1498277764,6887,6887
1498283524,6878,6878
1498287617,6917,6917
1498295285,6942,6942
1498299363,6953,6953
1498307284,6948,6948
1498313045,6953,6953
1498320963,6956,6956
1498325044,6938,6938
1498330815,6951,6951
1498337044,6959,6959
1498342804,6937,6937
1498348564,6917,6917
1498354324,6900,6900
1498362004,6869,6869
1498365843,6859,6859
1498394643,6941,6941
1498396564,6954,6954
1498404243,6966,6966
1498410015,6972,6972
1498411924,6969,6969
1498417683,6960,6960
1498421523,6952,6952
