DateTime,Entries,UniqueIPs
1499347457,16019,16420
1499349407,16012,16412
1499351336,16012,16414
1499353300,16016,16418
1499355151,16017,16419
1499357111,16009,16410
1499359015,16009,16410
1499360922,16012,16413
1499362831,16018,16419
1499364761,16019,16420
1499366673,16030,16430
1499368580,16037,16437
1499370529,16046,16446
1499372436,16048,16448
1499376259,16039,16438
1499378188,16029,16428
1499380107,16028,16426
1499382183,16023,16419
1499384231,16019,16415
1499386143,16022,16418
1499388053,16029,16425
1499389977,16042,16438
1499391867,16047,16444
1499393792,16051,16448
1499395698,16060,16458
1499397669,16068,16466
1499399575,16087,16485
1499403735,16081,16479
1499405578,16088,16486
1499407482,16089,16488
1499409417,16091,16490
1499411347,16092,16492
1499413255,16081,16481
1499417064,16084,16485
1499419017,16085,16485
1499420947,16108,16508
1499422837,16108,16509
1499424778,16104,16505
1499426672,16111,16512
1499428613,16103,16505
1499430780,16089,16490
1499432674,16087,16488
1499434610,16077,16478
1499436543,16079,16479
1499438433,16090,16490
1499440385,16096,16496
1499442266,16095,16495
1499444204,16090,16489
1499446117,16096,16496
1499449951,16084,16483
1499451854,16092,16491
1499454151,16095,16494
1499455957,16094,16494
1499457880,16088,16489
1499459788,16079,16480
1499461727,16078,16477
1499463640,16083,16485
1499465971,16084,16487
1499467941,16086,16490
1499470123,16091,16493
1499472073,16082,16484
1499473948,16079,16478
1499475872,16076,16474
1499477791,16081,16479
1499481624,16081,16479
1499483553,16072,16469
1499485460,16075,16471
1499487378,16076,16472
1499489316,16074,16471
1499491239,16070,16468
1499493142,16068,16466
1499495048,16067,16465
1499496988,16072,16470
1499498911,16059,16458
1499500867,16060,16459
1499502743,16065,16464
1499504672,16062,16462
1499506588,16061,16462
1499508496,16062,16463
1499510434,16064,16465
1499512353,16063,16464
1499514265,16060,16461
1499516180,16048,16449
1499520028,16035,16435
1499521949,16036,16436
1499523862,16031,16431
1499527701,16012,16412
1499529707,16018,16418
1499531544,16018,16419
1499533472,16021,16422
1499535385,16022,16423
1499537307,16031,16433
1499539231,16039,16440
1499541148,16046,16447
1499543048,16058,16459
1499545244,16067,16468
1499547146,16072,16473
1499549059,16081,16482
1499552889,16071,16472
1499554861,16075,16476
1499558930,16055,16455
1499560837,16044,16443
1499562752,16043,16442
1499566578,16037,16436
1499568498,16039,16437
1499570432,16039,16437
1499572335,16035,16433
1499574256,16039,16437
1499578123,16024,16423
1499580071,16026,16425
1499581968,16018,16418
1499583872,16020,16421
1499585794,16016,16417
1499587723,16018,16418
1499589634,16028,16429
1499591547,16028,16429
1499593455,16023,16423
1499595886,16023,16423
1499597792,16017,16417
1499599718,16011,16411
1499601691,16006,16406
1499603559,16011,16411
1499605475,16008,16409
1499607393,16004,16404
1499609319,16004,16403
1499611227,15997,16396
1499613158,15995,16394
1499615065,15997,16397
1499617001,15993,16393
1499618919,15998,16397
1499620860,16003,16403
1499622753,16000,16398
1499626573,16009,16408
1499628510,16016,16415
1499630497,16019,16417
1499632367,16018,16413
1499634516,16028,16423
1499636419,16024,16419
1499638756,16024,16419
1499640728,16021,16416
1499642649,16014,16408
1499644577,16019,16413
1499646501,16023,16417
1499648462,16022,16416
1499650338,16019,16413
1499652273,16017,16411
1499654188,16026,16420
1499656090,16023,16418
1499658018,16028,16425
1499659949,16031,16428
1499661860,16028,16424
1499663779,16038,16434
1499665704,16032,16428
1499669548,16013,16410
1499671458,16014,16413
1499673387,16012,16410
1499675299,16005,16402
1499677264,15998,16395
1499679144,15990,16390
1499681069,15978,16377
1499682980,15976,16375
1499684912,15980,16380
1499688761,15970,16369
1499690660,15975,16373
1499692596,15967,16366
1499694512,15976,16374
1499696425,15971,16369
1499698328,15986,16385
1499700256,15993,16393
1499702176,15999,16399
1499704116,15993,16394
1499706532,15996,16397
1499708445,15997,16398
1499710366,16001,16402
1499712275,16011,16413
1499714181,16011,16414
1499716124,16023,16424
1499718036,16021,16422
1499721861,16025,16426
1499723783,16021,16421
1499727762,16009,16407
1499729778,16006,16404
1499731691,16006,16405
1499733620,16002,16400
1499735542,16004,16402
1499737452,16002,16405
1499739409,16002,16404
1499741319,15999,16400
1499743244,16002,16401
1499745394,16002,16401
1499747304,16006,16406
1499749307,16000,16400
1499751146,15998,16398
1499753073,15994,16395
1499757435,15985,16385
1499760314,15985,16385
1499762949,16002,16402
1499766312,15985,16383
1499772555,15959,16356
1499775201,15941,16338
1499778807,15938,16335
1499782640,15919,16316
1499786237,15911,16308
1499788983,15907,16301
1499791648,15911,16308
1499793925,15920,16317
1499795775,15925,16322
1499799180,15915,16312
1499801112,15927,16324
1499802994,15934,16331
1499804908,15964,16365
1499806934,15974,16376
1499809487,15992,16394
1499812141,15989,16391
1499814155,15976,16377
1499815962,15970,16371
1499817873,15960,16361
1499819783,15958,16358
1499821711,15953,16354
1499823640,15951,16352
1499825804,15958,16357
1499827708,15963,16364
1499829889,15962,16362
1499831784,15977,16377
1499833708,15970,16370
1499835711,15977,16380
1499837563,15970,16373
1499839474,15977,16380
1499841397,15964,16367
1499844054,15942,16347
1499846571,15959,16364
1499848371,15954,16363
1499850292,15955,16363
1499852186,15957,16365
1499854132,15949,16357
1499856027,15953,16362
1499857963,15947,16356
1499859867,15951,16359
1499861795,15959,16367
1499863714,15966,16374
1499866145,15970,16377
1499868296,15974,16381
1499870201,15966,16373
1499874038,15970,16375
1499876217,15972,16376
1499878101,15975,16379
1499881947,15970,16375
1499883865,15978,16384
1499885787,15984,16390
1499887706,15995,16401
1499889730,15998,16404
1499892049,16009,16416
1499894225,16010,16417
1499896121,16016,16425
1499898050,16022,16431
1499899950,16017,16425
1499901865,16026,16433
1499903787,16025,16432
1499905724,16034,16441
1499907752,16045,16452
1499909563,16065,16474
1499911472,16086,16498
1499913391,16110,16522
1499915302,16131,16545
1499917220,16136,16550
1499919137,16150,16564
1499921060,16159,16574
1499923000,16166,16582
1499924925,16177,16593
1499926838,16177,16594
1499928757,16179,16594
1499930663,16176,16591
1499934506,16149,16561
1499936519,16146,16559
1499938337,16141,16554
1499940283,16133,16545
1499942188,16128,16541
1499944104,16127,16538
1499946028,16137,16548
1499948218,16140,16550
1499950118,16137,16547
1499952043,16132,16542
1499953965,16134,16544
1499955861,16129,16540
1499957793,16128,16539
1499959698,16134,16545
1499963786,16133,16542
1499965855,16131,16539
1499967849,16133,16541
1499969783,16127,16534
1499971701,16135,16543
1499973657,16140,16548
1499975566,16142,16550
1499977481,16149,16557
1499979770,16150,16558
1499982033,16143,16551
1499984557,16149,16557
1499986581,16143,16551
1499988507,16150,16558
1499990467,16143,16551
1499992357,16145,16551
1499994272,16147,16553
1499996181,16142,16548
1499998101,16144,16550
1500000010,16147,16553
1500001950,16151,16557
1500003863,16145,16551
1500005809,16143,16549
1500007714,16144,16551
1500009639,16148,16554
1500011545,16147,16553
1500013452,16138,16542
1500015395,16146,16550
1500017305,16140,16544
1500019259,16138,16542
1500021152,16128,16532
1500024993,16110,16514
1500026892,16107,16511
1500028825,16113,16517
1500030746,16110,16515
1500032676,16117,16522
1500034591,16118,16524
1500036508,16127,16533
1500038440,16130,16536
1500040351,16130,16534
1500042267,16132,16536
1500044189,16128,16531
1500046363,16117,16521
1500048295,16116,16520
1500050189,16110,16514
1500052124,16108,16514
1500054024,16110,16516
1500055933,16115,16522
1500057852,16119,16526
1500059790,16124,16531
1500061715,16124,16531
1500063625,16120,16527
1500065551,16112,16516
1500067453,16117,16521
1500069377,16112,16516
1500071315,16100,16504
1500073292,16091,16495
1500075150,16089,16493
1500077321,16083,16487
1500079236,16085,16488
1500081147,16095,16498
1500083342,16091,16494
1500085229,16088,16493
1500087171,16081,16487
1500089079,16087,16493
1500091000,16087,16491
1500092924,16082,16486
1500094916,16083,16486
1500097002,16074,16477
1500098894,16062,16464
1500100824,16045,16446
1500103008,16032,16431
1500104919,16022,16420
1500106847,16037,16435
1500108760,16018,16415
1500110690,16018,16415
1500113092,16003,16400
1500114996,16008,16403
1500116899,16013,16408
1500118826,16016,16411
1500120761,16031,16428
1500124600,16022,16421
1500126515,16041,16442
1500128438,16046,16447
1500130358,16044,16446
1500132520,16036,16437
1500134522,16041,16441
1500136346,16048,16448
1500138272,16061,16460
1500140182,16070,16470
1500142092,16081,16482
1500144026,16089,16490
1500145959,16086,16486
1500147864,16091,16491
1500149783,16102,16502
1500151699,16094,16494
1500153636,16095,16494
1500155535,16093,16491
1500157462,16071,16467
1500159377,16080,16476
1500161322,16044,16441
1500163357,16055,16452
1500165384,16058,16455
1500167318,16052,16450
1500169239,16065,16463
1500171158,16047,16444
1500173063,16045,16441
1500174987,16062,16459
1500176908,16063,16460
1500178836,16063,16461
1500180733,16063,16462
1500182668,16051,16448
1500184572,16036,16433
1500188479,16028,16423
1500190362,16011,16405
1500192273,16007,16400
1500194198,15996,16389
1500196121,15986,16378
1500198036,15979,16371
1500200205,15971,16364
1500202107,15986,16379
1500204040,15975,16368
1500205961,15958,16351
1500208117,15964,16356
1500210130,15959,16352
1500213877,15943,16334
1500215795,15950,16342
1500217728,15956,16347
1500219634,15952,16341
1500221566,15963,16352
1500223464,15978,16367
1500225390,15983,16372
1500227316,15985,16374
1500229243,15987,16376
1500231159,15995,16384
1500233069,16007,16396
1500234996,16015,16404
1500236912,16011,16400
1500238931,16015,16403
1500240760,16016,16404
1500243636,16019,16405
1500245552,16020,16405
1500247459,16021,16405
1500249390,16028,16412
1500251302,16032,16416
1500253314,16028,16411
1500255143,16033,16416
1500256945,16028,16411
1500258764,16031,16413
1500260677,16025,16407
1500262595,16025,16407
1500264522,16022,16404
1500266439,16026,16408
1500268355,16039,16421
1500270273,16025,16406
1500272183,16017,16398
1500274118,16016,16397
1500276032,16014,16394
1500277959,16000,16379
1500280119,15992,16371
1500282145,15990,16368
1500283960,15985,16362
1500285873,15991,16368
1500287793,15986,16363
1500289726,15981,16358
1500291881,15981,16358
1500293807,15993,16371
1500295731,15985,16362
1500297641,15990,16367
1500299564,15984,16361
1500301720,15979,16355
1500303853,15976,16352
1500305777,15976,16352
1500307696,15980,16356
1500309612,15984,16361
1500311543,15971,16348
1500313448,15970,16346
1500315642,15978,16354
1500317560,15982,16358
1500319469,15983,16359
1500323312,15978,16355
1500325266,15980,16356
1500327134,15975,16350
1500329309,15973,16348
1500331223,15966,16341
1500333157,15966,16340
1500337000,15952,16325
1500338920,15950,16322
1500340827,15949,16322
1500342739,15949,16322
1500344647,15957,16331
1500346586,15968,16342
1500348503,15970,16343
1500350460,15972,16344
1500352354,15962,16337
1500354275,15957,16332
1500356196,15964,16340
1500358108,15956,16332
1500360033,15958,16334
1500361962,15956,16333
1500363860,15959,16335
1500365784,15954,16330
1500367699,15956,16333
1500369635,15965,16342
1500371544,15950,16330
1500373454,15947,16326
1500375380,15959,16339
1500377321,15965,16345
1500379320,15978,16359
1500381158,15980,16361
1500383073,15983,16364
1500384999,15985,16368
1500386924,15976,16358
1500388831,15983,16366
1500390761,15991,16374
