DateTime,AddedIPs,RemovedIPs
1499355151,8,16
1499357111,5,9
1499359015,8,12
1499360922,11,14
1499362831,11,10
1499364761,7,16
1499366673,16,0
1499368580,13,0
1499370529,12,7
1499372436,9,0
1499376259,8,27
1499378188,6,10
1499380107,6,11
1499382183,4,9
1499384231,7,8
1499386143,4,10
1499388053,14,12
1499389977,17,14
1499391867,19,6
1499393792,10,13
1499395698,21,11
1499397669,22,16
1499399575,24,21
1499403735,12,23
1499405578,24,19
1499407482,14,18
1499409417,17,0
1499411347,13,0
1499413255,2,21
1499417064,22,32
1499419017,17,0
1499420947,30,8
1499422837,15,14
1499424778,7,9
1499426672,17,6
1499428613,9,13
1499430780,1,7
1499432674,5,8
1499434610,9,7
1499436543,11,12
1499438433,23,10
1499440385,18,7
1499442266,11,4
1499444204,7,8
1499446117,10,10
1499449951,9,33
1499451854,14,12
1499454151,10,0
1499455957,10,15
1499457880,12,6
1499459788,9,12
1499461727,10,14
1499463640,11,6
1499465971,16,9
1499467941,4,8
1499470123,16,5
1499472073,6,10
1499473948,4,9
1499475872,9,15
1499477791,5,0
1499481624,13,14
1499483553,7,11
1499485460,16,22
1499487378,15,22
1499489316,6,16
1499491239,14,14
1499493142,13,18
1499495048,17,18
1499496988,6,23
1499498911,8,6
1499500867,8,4
1499502743,8,7
1499504672,14,13
1499506588,20,11
1499508496,16,12
1499510434,16,25
1499512353,12,20
1499514265,12,14
1499516180,9,0
1499520028,10,31
1499521949,10,21
1499523862,10,15
1499527701,13,32
1499529707,9,9
1499531544,13,9
1499533472,5,8
1499535385,11,13
1499537307,20,11
1499539231,15,10
1499541148,13,10
1499543048,17,4
1499545244,16,12
1499547146,14,14
1499549059,21,13
1499552889,15,22
1499554861,16,20
1499558930,11,29
1499560837,11,18
1499562752,13,13
1499566578,13,24
1499568498,17,12
1499570432,17,18
1499572335,11,24
1499574256,12,14
1499578123,18,23
1499580071,18,11
1499581968,18,18
1499583872,15,23
1499585794,18,0
1499587723,15,6
1499589634,18,9
1499591547,18,16
1499593455,9,0
1499595886,15,12
1499597792,13,12
1499599718,10,15
1499601691,15,21
1499603559,8,12
1499605475,14,17
1499607393,9,19
1499609319,12,15
1499611227,7,14
1499613158,9,15
1499615065,12,20
1499617001,8,19
1499618919,14,20
1499620860,10,10
1499622753,6,13
1499626573,17,23
1499628510,12,13
1499630497,14,16
1499632367,4,14
1499634516,12,18
1499636419,8,19
1499638756,4,11
1499640728,7,10
1499642649,7,11
1499644577,13,33
1499646501,11,13
1499648462,7,0
1499650338,4,0
1499652273,10,0
1499654188,15,12
1499656090,12,15
1499658018,22,15
1499659949,11,19
1499661860,8,14
1499663779,20,14
1499665704,17,18
1499669548,21,44
1499671458,21,14
1499673387,21,0
1499675299,11,5
1499677264,14,0
1499679144,9,23
1499681069,3,19
1499682980,11,20
1499684912,13,10
1499688761,16,27
1499690660,23,16
1499692596,9,17
1499694512,17,11
1499696425,6,11
1499698328,22,17
1499700256,25,13
1499702176,6,14
1499704116,7,11
1499706532,11,7
1499708445,9,13
1499710366,9,16
1499712275,18,22
1499714181,6,0
1499716124,15,9
1499718036,7,9
1499721861,23,14
1499723783,4,10
1499727762,5,28
1499729778,4,8
1499731691,10,11
1499733620,8,8
1499735542,17,0
1499737452,14,9
1499739409,18,19
1499741319,17,13
1499743244,19,10
1499745394,14,27
1499747304,18,23
1499749307,12,17
1499751146,19,22
1499753073,14,14
1499757435,21,34
1499760314,14,17
1499762949,20,14
1499766312,21,26
1499772555,14,61
1499775201,8,12
1499778807,12,18
1499782640,8,36
1499786237,13,28
1499788983,11,15
1499791648,13,25
1499793925,17,0
1499795775,5,9
1499799180,3,26
1499801112,17,10
1499802994,14,0
1499804908,38,10
