DateTime,AddedIPs,RemovedIPs
1499357111,18,38
1499359015,36,20
1499360922,33,32
1499362831,42,34
1499364761,35,41
1499366673,48,35
1499368580,34,47
1499370529,45,33
1499372436,35,48
1499376259,41,33
1499378188,27,42
1499380107,37,27
1499382183,22,35
1499384231,39,22
1499386143,15,35
1499388053,45,22
1499389977,51,40
1499391867,52,52
1499393792,37,52
1499395698,43,33
1499397669,55,50
1499399575,56,57
1499403735,45,55
1499405578,58,45
1499407482,53,57
1499409417,49,46
1499411347,48,49
1499413255,13,63
1499417064,71,12
1499419017,54,61
1499420947,66,57
1499422837,50,64
1499424778,30,47
1499426672,57,38
1499428613,38,55
1499430780,17,37
1499432674,26,20
1499434610,33,26
1499436543,43,28
1499438433,59,42
1499440385,39,66
1499442266,32,36
1499444204,36,32
1499446117,34,33
1499449951,39,42
1499451854,48,35
1499454151,40,46
1499455957,33,41
1499457880,38,33
1499459788,16,38
1499461727,33,19
1499463640,46,29
1499465971,45,47
1499467941,25,46
1499470123,47,26
1499472073,41,45
1499473948,13,42
1499475872,33,13
1499477791,34,34
1499481624,38,34
1499483553,50,36
1499485460,51,47
1499487378,48,50
1499489316,35,45
1499491239,57,39
1499493142,42,49
1499495048,56,51
1499496988,52,55
1499498911,26,52
1499500867,28,30
1499502743,35,31
1499504672,37,30
1499506588,45,35
1499508496,44,50
1499510434,50,41
1499512353,42,49
1499514265,39,42
1499516180,43,38
1499520028,41,43
1499521949,30,43
1499523862,29,35
1499527701,52,29
1499529707,23,52
1499531544,53,24
1499533472,26,42
1499535385,56,31
1499537307,51,52
1499539231,33,49
1499541148,41,38
1499543048,47,37
1499545244,43,52
1499547146,53,43
1499549059,51,51
1499552889,51,56
1499554861,40,45
1499558930,43,40
1499560837,43,40
1499562752,46,44
1499566578,47,49
1499568498,41,43
1499570432,49,45
1499572335,44,49
1499574256,46,43
1499578123,57,51
1499580071,44,53
1499581968,54,44
1499583872,54,54
1499585794,46,52
1499587723,44,50
1499589634,61,39
1499591547,47,61
1499593455,43,39
1499595886,48,51
1499597792,46,48
1499599718,32,47
1499601691,42,34
1499603559,46,45
1499605475,50,44
1499607393,47,41
1499609319,37,48
1499611227,35,34
1499613158,39,40
1499615065,50,38
1499617001,33,55
1499618919,38,37
1499620860,27,33
1499622753,22,33
1499626573,49,23
1499628510,58,43
1499630497,43,57
1499632367,29,47
1499634516,39,27
1499636419,26,41
1499638756,36,26
1499640728,45,35
1499642649,42,36
1499644577,43,46
1499646501,45,42
1499648462,41,46
1499650338,41,39
1499652273,36,39
1499654188,52,40
1499656090,51,56
1499658018,50,52
1499659949,50,53
1499661860,48,48
1499663779,54,52
1499665704,67,46
1499669548,48,69
1499671458,51,47
1499673387,51,52
1499675299,49,52
1499677264,43,47
1499679144,39,48
1499681069,24,37
1499682980,47,25
1499684912,48,44
1499688761,48,50
1499690660,58,46
1499692596,37,52
1499694512,54,43
1499696425,32,56
1499698328,41,32
1499700256,48,44
1499702176,33,46
1499704116,34,31
1499706532,29,38
1499708445,32,27
1499710366,44,33
1499712275,53,40
1499714181,32,55
1499716124,40,32
1499718036,32,39
1499721861,61,34
1499723783,17,59
1499727762,24,21
1499729778,15,20
1499731691,34,16
1499733620,22,37
1499735542,44,23
1499737452,36,42
1499739409,49,34
1499741319,46,44
1499743244,53,51
1499745394,47,54
1499747304,55,46
1499749307,46,56
1499751146,51,44
1499753073,49,51
1499757435,55,49
1499760314,46,50
1499762949,54,45
1499766312,55,60
1499772555,46,59
1499775201,39,44
1499778807,43,31
1499782640,26,47
1499786237,46,28
1499788983,24,45
1499791648,39,28
1499793925,39,37
1499795775,22,40
1499799180,22,22
1499801112,58,23
1499802994,28,58
1499804908,64,29
1499806934,42,65
1499809487,59,42
1499812141,50,53
1499814155,24,53
1499815962,22,27
1499817873,16,17
1499819783,17,21
1499821711,20,16
1499823640,24,18
1499825804,55,26
1499827708,52,52
1499829889,46,52
1499831784,54,47
1499833708,49,52
1499835711,46,49
1499837563,67,50
1499839474,37,61
1499841397,24,41
1499844054,58,24
1499846571,55,58
1499848371,54,51
1499850292,53,57
1499852186,61,53
1499854132,49,60
1499856027,39,47
1499857963,41,35
1499859867,34,42
1499861795,49,39
1499863714,46,46
1499866145,46,52
1499868296,52,43
1499870201,26,51
1499874038,47,30
1499876217,47,48
1499878101,33,45
1499881947,27,38
1499883865,52,24
1499885787,39,48
1499887706,44,39
1499889730,25,50
1499892049,45,22
1499894225,36,42
1499896121,38,34
1499898050,27,44
1499899950,16,28
1499901865,50,14
1499903787,24,50
1499905724,48,26
1499907752,41,46
1499909563,47,43
1499911472,53,42
1499913391,63,57
1499915302,65,61
1499917220,44,67
1499919137,45,42
1499921060,65,45
1499923000,47,69
1499924925,40,36
1499926838,43,39
1499928757,46,42
1499930663,34,45
1499934506,36,37
1499936519,39,40
1499938337,25,40
1499940283,40,25
1499942188,49,37
1499944104,44,51
1499946028,52,46
1499948218,24,56
1499950118,44,24
1499952043,25,42
1499953965,21,24
1499955861,46,23
1499957793,53,45
1499959698,42,51
1499963786,26,44
1499965855,24,27
1499967849,51,25
1499969783,37,46
1499971701,46,37
1499973657,30,47
1499975566,28,29
1499977481,47,26
1499979770,32,50
1499982033,20,32
1499984557,47,19
1499986581,31,49
1499988507,42,31
1499990467,24,45
1499992357,30,23
1499994272,41,28
1499996181,41,43
1499998101,43,29
1500000010,60,52
1500001950,46,62
1500003863,49,42
1500005809,39,52
1500007714,55,39
1500009639,55,55
1500011545,34,50
1500013452,41,31
1500015395,47,43
1500017305,33,49
1500019259,33,34
1500021152,40,33
1500024993,53,43
1500026892,39,47
1500028825,43,43
1500030746,44,44
1500032676,45,41
1500034591,30,41
1500036508,47,35
1500038440,42,44
1500040351,35,40
1500042267,38,36
1500044189,45,43
1500046363,36,44
1500048295,40,34
1500050189,21,44
1500052124,49,19
1500054024,33,50
1500055933,44,36
1500057852,41,41
1500059790,29,39
1500061715,43,27
1500063625,29,44
1500065551,32,35
1500067453,39,29
1500069377,45,38
1500071315,41,41
1500073292,26,43
1500075150,44,34
1500077321,38,42
1500079236,45,35
1500081147,38,48
1500083342,40,38
1500085229,46,35
1500087171,37,48
1500089079,55,37
1500091000,55,55
1500092924,56,55
1500094916,64,60
1500097002,56,63
1500098894,45,45
1500100824,39,46
1500103008,35,38
1500104919,45,33
1500106847,46,46
1500108760,42,47
1500110690,46,51
1500113092,49,46
1500114996,39,50
1500116899,57,39
1500118826,36,52
1500120761,61,44
