DateTime,Entries,UniqueIPs
1499343633,56,56
1499345547,56,56
1499347457,61,61
1499349407,24,24
1499351336,46,46
1499353300,56,56
1499355151,45,45
1499357111,25,25
1499359015,41,41
1499360922,42,42
1499362831,50,50
1499364761,44,44
1499366673,57,57
1499368580,44,44
1499370529,56,56
1499372436,43,43
1499376259,51,51
1499378188,36,36
1499380107,46,46
1499382183,33,33
1499384231,50,50
1499386143,30,30
1499388053,53,53
1499389977,64,64
1499391867,64,64
1499393792,49,49
1499395698,59,59
1499397669,64,64
1499399575,63,63
1499403735,53,53
1499405578,66,66
1499407482,62,62
1499409417,65,65
1499411347,64,64
1499413255,14,14
1499417064,73,73
1499419017,66,66
1499420947,75,75
1499422837,61,61
1499424778,44,44
1499426672,63,63
1499428613,46,46
1499430780,26,26
1499432674,32,32
1499434610,39,39
1499436543,54,54
1499438433,71,71
1499440385,44,44
1499442266,40,40
1499444204,44,44
1499446117,45,45
1499449951,42,42
1499451854,55,55
1499454151,49,49
1499455957,41,41
1499457880,46,46
1499459788,24,24
1499461727,38,38
1499463640,55,55
1499465971,53,53
1499467941,32,32
1499470123,53,53
1499472073,49,49
1499473948,20,20
1499475872,40,40
1499477791,40,40
1499481624,44,44
1499483553,58,58
1499485460,62,62
1499487378,60,60
1499489316,50,50
1499491239,68,68
1499493142,61,61
1499495048,66,66
1499496988,63,63
1499498911,37,37
1499500867,35,35
1499502743,39,39
1499504672,46,46
1499506588,56,56
1499508496,50,50
1499510434,59,59
1499512353,52,52
1499514265,49,49
1499516180,54,54
1499520028,52,52
1499521949,39,39
1499523862,33,33
1499527701,56,56
1499529707,27,27
1499531544,56,56
1499533472,40,40
1499535385,65,65
1499537307,64,64
1499539231,48,48
1499541148,51,51
1499543048,61,61
1499545244,52,52
1499547146,62,62
1499549059,62,62
1499552889,57,57
1499554861,52,52
1499558930,55,55
1499560837,58,58
1499562752,60,60
1499566578,58,58
1499568498,56,56
1499570432,60,60
1499572335,55,55
1499574256,58,58
1499578123,64,64
1499580071,55,55
1499581968,65,65
1499583872,65,65
1499585794,59,59
1499587723,53,53
1499589634,75,75
1499591547,61,61
1499593455,65,65
1499595886,62,62
1499597792,60,60
1499599718,45,45
1499601691,53,53
1499603559,54,54
1499605475,60,60
1499607393,66,66
1499609319,55,55
