DateTime,AddedIPs,RemovedIPs
1494901787,5,9
1494912597,1,10
1494923398,4,8
1494934191,7,7
1494945052,6,10
1494956189,8,3
1494967182,2,3
1494978168,6,3
1494989221,3,5
1495000372,5,7
1495011385,4,3
1495022024,5,5
1495032868,8,8
1495044029,8,6
1495054908,5,8
1495065590,4,9
1495076598,13,7
1495086947,8,3
1495098002,6,6
1495108333,7,2
1495119232,6,5
1495129976,5,3
1495140782,2,7
1495151746,13,7
1495162867,3,13
1495174061,5,9
1495185094,6,4
1495196135,7,10
1495207196,6,11
1495218161,2,13
1495229203,5,9
1495240273,8,5
1495251085,7,7
1495262166,4,5
1495273151,6,10
1495284237,2,7
1495295277,6,5
1495306587,3,8
1495317608,7,11
1495328630,2,8
1495339695,4,11
1495350752,7,15
1495361720,7,7
1495372770,11,6
1495383830,4,10
1495394548,5,9
1495407383,4,10
1495418260,6,5
1495429095,3,8
1495440035,2,3
1495450882,3,10
1495462095,5,3
1495472758,9,14
1495483107,5,5
1495494119,5,7
1495505050,3,4
1495515983,7,9
1495526769,6,4
1495537677,6,8
1495548450,2,8
1495559386,5,5
1495570296,7,7
1495581394,8,5
1495592388,3,5
1495603294,6,8
1495614466,6,5
1495625549,2,4
1495636857,5,8
1495647839,9,7
1495658907,4,6
1495669873,5,9
1495680897,5,9
1495691942,3,5
1495702867,6,9
1495713800,7,5
1495724906,5,7
1495735761,1,9
1495746955,4,11
1495757845,5,2
1495768498,4,9
1495779460,3,7
1495790403,3,5
1495801436,7,4
1495812249,3,14
1495822931,5,7
1495833793,6,6
1495844785,8,7
1495855694,2,9
1495866711,6,6
1495877711,5,14
1495888808,5,12
1495899846,5,7
1495910828,7,12
1495921718,10,8
1495932727,5,12
1495943235,7,5
1495954344,3,12
1495965143,2,6
1495975955,6,6
1495987333,4,15
1495998269,5,6
1496009210,3,12
1496020305,9,11
1496031279,9,4
1496042352,4,9
1496053275,10,5
1496064229,6,9
1496075227,8,7
1496086097,4,8
1496097384,6,8
1496108345,6,3
1496119441,3,4
1496130726,2,7
1496141524,3,6
1496152580,6,4
1496163540,3,4
1496174363,3,5
1496184944,6,7
1496195956,5,6
1496206886,5,8
1496217431,8,8
1496228475,8,8
1496239699,6,6
1496250523,5,3
1496261395,6,3
1496272336,4,3
1496283320,8,10
1496294412,3,6
1496305427,3,7
1496316309,1,5
1496327280,5,6
1496339481,7,4
1496352930,3,5
1496363986,7,4
1496374931,9,7
1496385584,4,15
1496396603,1,8
1496407550,8,7
1496418482,2,5
1496429212,4,6
1496440137,4,6
1496451087,10,6
1496462774,4,7
1496473704,7,7
1496484691,3,5
1496495752,5,8
1496506754,5,6
1496517801,3,8
1496528845,6,6
1496539957,3,7
1496550942,4,6
1496561920,8,5
1496572960,4,4
1496583966,11,7
1496594838,10,12
1496605641,7,8
1496616703,5,4
1496627592,15,5
1496638469,10,9
1496649674,7,1
1496660851,13,14
1496671629,6,9
1496682618,11,6
1496693471,10,5
1496704402,8,6
1496715347,8,3
1496726335,5,7
1496737439,9,6
1496748461,8,8
1496759508,9,6
1496770792,3,5
1496781789,6,6
1496792840,6,6
1496803782,10,7
1496814626,7,4
1496825305,5,6
1496836210,4,7
1496846938,7,5
1496857882,5,5
1496868930,7,3
1496880077,6,17
1496891007,6,5
1496901916,9,4
1496913144,4,8
1496924187,6,2
1496935199,9,4
1496946057,5,6
1496956843,15,11
1496967335,11,5
1496978262,8,4
1496989185,10,10
1497000257,9,7
1497011113,12,8
