DateTime,AddedIPs,RemovedIPs
1495145949,128,0
1495149540,50,0
1495160226,48,320
1495182046,82,0
1495199981,61,0
1495210721,175,0
1495221524,128,0
1495232325,119,0
1495242985,67,1059
1495257433,52,0
1495265092,36,0
1495272028,62,0
1495279625,41,0
1495289828,121,0
1495300715,249,0
1495311512,137,0
1495322319,108,0
1495333321,37,591
1495340191,42,0
1495347413,17,0
1495354599,19,0
1495365489,42,0
1495376308,139,0
1495387110,122,0
1495397912,129,0
1495408709,135,0
1495419423,44,734
1495426630,40,0
1495444710,111,0
1495455334,73,0
1495466313,193,0
1495477140,102,0
1495487910,111,0
1495506839,208,567
1495513803,53,1
1495527411,68,0
1495538137,37,0
1495548359,52,0
1495556338,88,0
1495566947,86,0
1495577906,150,0
1495588572,67,609
1495599420,37,0
1495617369,99,0
1495625970,106,0
1495635680,202,0
1495646280,147,0
1495657083,151,0
1495667886,147,0
1495678563,46,626
1495685864,49,0
1495696649,38,0
1495711262,38,0
1495721890,133,0
1495732669,177,0
1495743472,188,0
1495754272,190,0
1495764971,58,578
1495783115,111,0
1495793858,60,0
1495811870,220,0
1495822673,147,0
1495833467,152,0
1495840669,99,0
1495847778,40,593
1495865920,18,0
1495872969,21,0
1495880203,24,0
1495889096,100,0
1495898285,204,0
1495909073,143,0
1495919870,166,0
1495927066,80,0
1495935741,47,559
1495945708,48,0
1495953198,66,0
1495960970,33,0
1495971741,89,0
1495982016,74,0
1495991857,296,0
1496002656,189,0
1496013456,169,0
1496020526,50,978
1496030367,54,0
1496040634,62,0
1496047093,85,0
1496054118,68,0
1496064733,137,0
1496074646,267,0
1496085450,186,0
1496096251,167,0
1496103543,107,794
1496121542,119,0
1496132757,85,0
1496143088,57,0
1496150324,69,0
1496161007,277,0
1496171806,114,0
1496182607,106,0
1496193438,79,836
1496204307,42,0
1496215089,36,0
1496225847,50,0
1496236608,186,0
1496247407,126,0
1496258202,96,0
1496269007,129,0
1496279732,78,560
1496297940,34,0
1496308706,68,0
1496319470,50,0
1496330131,93,0
1496341013,192,0
1496351807,127,0
1496359007,87,0
1496369922,25,621
1496391571,44,0
1496402271,112,0
1496413007,171,0
1496423808,115,0
1496434607,126,0
1496445407,109,0
1496456310,49,679
1496467558,89,0
1496477954,32,0
1496488677,41,0
1496499415,127,0
1496510208,115,0
1496521008,119,0
1496531809,102,0
1496542662,31,693
1496553534,43,0
1496564298,30,0
1496575112,94,0
1496585810,223,0
1496596608,136,0
1496607408,121,0
1496618209,117,0
1496629065,32,836
1496639915,30,0
1496650654,91,0
1496661506,60,0
1496672208,164,0
1496683009,96,0
1496693807,97,0
1496704608,84,0
1496712653,37,928
1496732055,73,0
1496741776,37,0
1496749358,88,0
1496759336,54,0
1496769509,174,0
1496780312,101,0
1496791112,108,0
1496799789,35,1090
1496806263,39,0
1496814942,26,0
1496824842,29,0
1496835677,44,0
1496846458,86,0
1496855921,141,0
1496866721,149,0
1496877525,221,0
1496885641,85,700
1496903861,205,0
1496910399,135,0
1496918184,78,0
1496928693,117,0
1496938717,259,0
1496949509,144,0
1496956712,103,0
1496963912,69,0
1496973127,39,633
1496990463,33,0
1496996817,66,0
1497015405,118,0
1497025126,175,28
1497035926,88,0
1497046720,90,0
1497053997,75,446
1497072893,74,0
1497083823,19,0
1497092086,87,0
1497102330,41,0
1497111525,162,0
1497122320,92,0
1497133118,107,0
1497141000,55,567
1497159821,62,0
1497170588,53,0
1497177223,45,0
1497184643,61,0
1497194370,140,0
1497205110,94,0
1497215909,88,0
1497223127,58,0
1497231522,44,654
1497246449,36,0
1497253034,18,0
1497260464,46,0
1497271420,83,0
1497280734,194,0
1497291511,86,0
1497302309,93,0
1497309508,72,0
1497318162,47,710
1497328980,47,0
1497339677,85,0
1497350311,59,0
1497357865,4,0
1497367108,147,0
1497377903,117,0
1497388709,85,0
1497395908,47,0
1497405225,24,626
1497411353,35,0
1497422063,28,0
1497432968,76,0
1497443956,49,0
1497453514,93,0
1497464307,100,0
1497475106,103,0
1497482305,80,0
1497490381,36,903
1497499150,30,0
1497509511,31,0
1497519502,50,0
1497530543,118,0
1497539904,99,0
1497550707,113,0
1497561509,105,0
1497568706,60,0
1497577959,28,644
1497602673,69,0
1497613752,57,0
1497623732,62,0
1497633525,109,0
1497644330,92,0
1497655122,107,0
1497663129,36,615
1497678294,27,0
1497684004,29,0
1497692581,44,0
1497703213,24,0
1497712762,162,0
1497723551,75,0
1497734355,67,0
1497741553,53,0
1497751417,30,644
1497761206,22,0
1497771801,31,0
1497790792,46,0
1497799879,69,0
1497809949,96,0
1497820747,96,0
1497827949,73,0
1497836875,44,995
1497844038,36,0
1497855171,38,0
1497866432,36,0
1497876002,35,0
1497885702,54,0
1497896347,163,0
1497907145,131,0
1497914349,107,0
1497922327,41,820
1497932230,51,0
1497940783,44,0
1497951027,55,0
1497968570,104,0
1497979148,202,0
1497989947,126,0
1498000612,110,0
1498011537,33,729
1498022319,48,0
1498033065,61,0
1498043858,117,0
1498054613,102,0
1498065410,112,0
1498076212,92,0
1498087012,107,0
1498097734,29,682
1498108606,33,0
1498119430,49,0
1498141010,117,0
1498151809,105,0
1498162532,59,0
1498184132,0,770
1498216532,82,0
1498227412,630,0
1498238211,134,0
1498249015,101,0
1498259812,81,0
1498270611,109,564
1498281410,129,0
1498292217,123,0
1498303011,132,0
1498313812,116,0
1498324611,117,0
1498335412,128,0
1498346211,95,0
1498357022,98,456
1498367811,104,0
1498378612,84,0
1498389412,95,0
1498400212,100,0
1498411012,86,0
1498421812,106,0
1498432612,127,0
1498443413,108,664
1498454211,95,0
1498465014,103,0
1498475820,84,0
1498486613,89,0
1498497412,113,0
1498508213,111,0
1498519020,117,0
1498529917,126,702
1498540725,98,0
1498551514,122,0
1498562306,116,0
1498573110,117,0
1498583909,107,0
1498594711,88,0
1498605514,93,0
1498616306,104,589
1498627121,86,0
1498637927,94,0
1498648716,93,0
1498659513,91,0
1498670315,96,0
1498681109,116,0
1498691926,98,0
1498702711,107,555
1498713540,99,0
1498724335,86,0
1498735119,87,0
1498745915,131,0
1498756730,102,0
1498767534,93,0
1498778308,128,0
1498789115,86,713
1498799927,77,0
1498810720,97,0
1498821516,102,0
1498832318,75,0
1498843116,102,0
1498853921,91,0
1498864718,85,0
1498875496,192,598
1498886319,226,0
1498897104,165,0
1498907921,189,0
1498918715,492,0
1498929524,138,0
1498940305,336,0
1498951134,142,0
1498961896,312,544
1498972750,201,0
1498983519,125,0
1498994319,112,0
1499005132,248,0
1499015939,180,0
1499026729,203,0
1499037440,224,0
1499048231,165,781
1499059025,480,0
1499069827,906,0
1499077057,943,0
1499087929,1849,0
1499095349,1450,0
1499106211,2529,0
1499116887,1837,0
1499127753,4523,764
1499135268,2940,0
1499145513,1510,0
1499156237,4436,0
1499166999,453,0
1499177804,412,0
1499188671,859,0
1499199459,1343,0
1499210229,1774,0
1499221030,2065,603
1499231860,1531,0
1499242648,2427,0
1499253445,3488,0
1499264307,3830,0
1499275075,4930,0
1499285901,2400,0
1499296675,3277,0
1499307490,1041,767
1499318283,124,0
1499329118,342,0
1499340191,377,0
1499350684,1110,0
1499361595,742,0
1499372323,1485,0
1499383555,1882,0
1499393980,1200,683
1499404714,91,0
1499415457,80,0
1499426222,373,0
1499437041,208,0
1499447806,120,0
1499458604,104,0
1499469407,190,0
1499480208,91,913
1499491005,89,0
1499501828,176,0
1499512608,297,0
1499523406,143,0
1499534206,64,0
1499545031,141,0
1499555810,117,0
1499566610,106,1988
1499577409,102,0
1499588209,62,0
1499599009,53,0
1499609818,62,0
1499620609,71,0
1499631410,138,0
1499642214,47,0
1499653009,64,7327
1499663809,146,0
1499674613,96,0
1499685410,115,0
1499696209,107,0
1499707009,162,0
1499717809,167,0
1499728610,106,0
1499739413,126,14241
1499750209,232,0
1499761009,147,0
1499771821,272,0
1499782609,245,0
1499793419,122,0
1499804209,127,0
1499815010,153,0
1499825862,373,11122
1499833316,186,0
1499843884,430,0
1499854651,412,0
1499865496,319,0
1499876267,455,0
1499883454,399,0
1499894233,863,0
1499905184,1224,7764
1499912237,1042,1
1499919583,528,0
1499927114,1046,0
