DateTime,Entries,UniqueIPs
1500138512,30280,30280
1500139466,30348,30348
1500140426,30440,30440
1500141402,30228,30228
1500142353,30233,30233
1500143303,30388,30388
1500144271,30252,30252
1500145252,30381,30381
1500146182,30367,30367
1500147156,30378,30378
1500148118,30405,30405
1500149075,30449,30449
1500150027,30452,30452
1500151009,30461,30461
1500151951,30429,30429
1500152903,30371,30371
1500153863,30433,30433
1500154826,30441,30441
1500155794,30446,30446
1500156758,30433,30433
1500157704,30432,30432
1500158666,30421,30421
1500159712,30371,30371
1500160831,30365,30365
1500162295,30125,30125
1500163363,30062,30062
1500164436,30104,30104
1500165389,30031,30031
1500166354,30096,30096
1500167323,30001,30001
1500168319,30061,30061
1500169245,29956,29956
1500170186,30094,30094
1500171173,29975,29975
1500172109,30070,30070
1500173068,30073,30073
1500174124,29845,29845
1500175231,29846,29846
1500176172,29753,29753
1500177138,29790,29790
1500178105,29699,29699
1500179055,29760,29760
1500180042,29665,29665
1500181001,29734,29734
1500181963,29655,29655
1500182901,29753,29753
1500184046,29780,29780
1500185071,29737,29737
1500186039,29801,29801
1500187007,29491,29491
1500187952,29524,29524
1500188896,29585,29585
1500189866,29575,29575
1500190834,29284,29284
1500191786,29421,29421
1500192761,29350,29350
1500193713,29300,29300
1500194667,29229,29229
1500195708,29001,29001
1500196826,29014,29014
1500197781,28979,28979
1500198740,29012,29012
1500199718,28964,28964
1500200686,29004,29004
1500201637,29014,29014
1500202593,29021,29021
1500203556,28968,28968
1500204508,28951,28951
1500205475,28866,28866
1500206527,28851,28851
1500207639,28854,28854
1500208607,28851,28851
1500209551,28914,28914
1500210527,28870,28870
1500211468,28870,28870
1500212429,28850,28850
1500213391,28899,28899
1500214354,28865,28865
1500215311,28870,28870
1500216271,28798,28798
1500217282,28837,28837
1500218204,28733,28733
1500219159,28720,28720
1500220118,28747,28747
1500221074,28726,28726
1500222042,28788,28788
1500222989,28761,28761
1500223954,28840,28840
1500224908,28906,28906
1500225856,28879,28879
1500226835,28709,28709
1500227796,28897,28897
1500228751,28901,28901
1500229705,28772,28772
1500230676,28755,28755
1500231692,28773,28773
1500232593,28745,28745
1500233560,28767,28767
1500234515,28920,28920
1500235472,28962,28962
1500236452,28828,28828
1500237402,28959,28959
1500238345,28923,28923
1500239323,28707,28707
1500240275,28801,28801
1500241227,28643,28643
1500242498,28812,28812
1500243651,28865,28865
1500244597,28812,28812
