DateTime,Entries,UniqueIPs
1500149075,2468,2468
1500150027,2463,2463
1500151009,2461,2461
1500151951,2449,2449
1500152903,2443,2443
1500153863,2440,2440
1500154826,2435,2435
1500155794,2437,2437
1500156758,2439,2439
1500157704,2432,2432
1500158666,2437,2437
1500159712,2432,2432
1500160831,2432,2432
1500162295,2443,2443
1500163363,2435,2435
1500164436,2433,2433
1500165389,2433,2433
1500166354,2427,2427
1500167323,2429,2429
1500168319,2435,2435
1500169245,2432,2432
1500170186,2431,2431
1500171173,2435,2435
1500172109,2439,2439
1500173068,2438,2438
1500174124,2436,2436
1500175231,2422,2422
1500176172,2425,2425
1500177138,2414,2414
1500178105,2414,2414
1500179055,2407,2407
1500180042,2412,2412
1500181001,2410,2410
1500181963,2418,2418
1500182901,2407,2407
1500184046,2409,2409
1500185071,2412,2412
1500186039,2410,2410
1500187007,2408,2408
1500187952,2400,2400
1500188896,2396,2396
1500189866,2389,2389
1500190834,2392,2392
1500191786,2394,2394
1500192761,2400,2400
1500193713,2408,2408
1500194667,2414,2414
1500195708,2409,2409
1500196826,2408,2408
1500197781,2403,2403
1500198740,2406,2406
1500199718,2413,2413
1500200686,2416,2416
1500201637,2409,2409
1500202593,2412,2412
1500203556,2414,2414
1500204508,2417,2417
1500205475,2417,2417
1500206527,2423,2423
1500207639,2416,2416
1500208607,2406,2406
1500209551,2417,2417
1500210527,2419,2419
1500211468,2421,2421
1500212429,2420,2420
1500213391,2429,2429
1500214354,2430,2430
1500215311,2428,2428
1500216271,2427,2427
1500217282,2422,2422
1500218204,2413,2413
1500219159,2408,2408
1500220118,2400,2400
1500221074,2397,2397
1500222042,2400,2400
1500222989,2402,2402
1500223954,2402,2402
1500224908,2401,2401
1500225856,2391,2391
1500226835,2372,2372
1500227796,2366,2366
1500228751,2372,2372
1500229705,2382,2382
1500230676,2378,2378
1500231692,2373,2373
1500232593,2370,2370
1500233560,2367,2367
1500234515,2369,2369
1500235472,2369,2369
1500236452,2362,2362
1500237402,2358,2358
1500238345,2359,2359
1500239323,2358,2358
1500240275,2362,2362
1500241227,2367,2367
1500242498,2365,2365
1500243651,2359,2359
1500244597,2358,2358
1500245557,2362,2362
1500246508,2363,2363
1500247474,2363,2363
1500248433,2366,2366
1500249395,2377,2377
1500250363,2369,2369
1500251306,2373,2373
1500252282,2384,2384
1500253318,2384,2384
1500254432,2386,2386
1500255393,2371,2371
1500256351,2375,2375
1500257331,2377,2377
1500258276,2388,2388
1500259233,2392,2392
1500260203,2393,2393
1500261155,2396,2396
1500262114,2409,2409
1500263074,2405,2405
1500264087,2412,2412
1500265006,2415,2415
1500265957,2420,2420
1500266919,2416,2416
1500267878,2424,2424
1500268845,2424,2424
1500269785,2430,2430
1500270764,2425,2425
1500271703,2430,2430
1500272658,2424,2424
1500273630,2426,2426
1500274605,2423,2423
1500275552,2430,2430
1500276518,2444,2444
1500277473,2443,2443
1500278500,2439,2439
1500279634,2419,2419
1500280584,2419,2419
1500281552,2428,2428
1500282522,2432,2432
1500283463,2429,2429
1500284436,2424,2424
1500285394,2417,2417
1500286362,2418,2418
1500287304,2424,2424
1500288275,2434,2434
1500289299,2434,2434
1500290428,2423,2423
1500291388,2429,2429
1500292364,2435,2435
1500293323,2428,2428
1500294269,2427,2427
1500295270,2431,2431
1500296191,2438,2438
1500297148,2446,2446
1500298114,2454,2454
1500299061,2451,2451
1500300119,2449,2449
1500301239,2467,2467
1500302186,2473,2473
1500303153,2477,2477
1500304120,2477,2477
1500305067,2478,2478
1500306029,2476,2476
1500307007,2479,2479
1500307954,2479,2479
1500308913,2480,2480
1500309875,2485,2485
1500310905,2489,2489
1500312029,2493,2493
1500312991,2492,2492
1500313946,2491,2491
1500315170,2486,2486
1500316117,2480,2480
1500317076,2483,2483
1500318107,2484,2484
1500319232,2487,2487
1500320181,2492,2492
1500321152,2478,2478
1500322103,2479,2479
1500323051,2482,2482
1500324013,2487,2487
1500324981,2490,2490
1500325957,2490,2490
1500326913,2492,2492
1500327866,2497,2497
1500328905,2524,2524
1500330229,2541,2541
1500331228,2546,2546
1500332192,2559,2559
1500333172,2563,2563
1500334107,2571,2571
1500335073,2570,2570
1500336089,2585,2585
1500337004,2585,2585
1500337955,2586,2586
1500338934,2603,2603
1500339875,2610,2610
1500340832,2617,2617
1500341810,2603,2603
1500342744,2607,2607
1500343703,2604,2604
1500344662,2607,2607
1500345639,2608,2608
1500346591,2626,2626
1500347571,2629,2629
1500348508,2619,2619
1500349466,2623,2623
1500350479,2625,2625
1500351386,2626,2626
1500352360,2631,2631
1500353316,2644,2644
1500354289,2645,2645
1500355238,2653,2653
1500356204,2652,2652
1500357154,2660,2660
1500358118,2659,2659
1500359064,2654,2654
1500360049,2659,2659
1500360984,2685,2685
1500361968,2683,2683
1500362911,2682,2682
1500363875,2686,2686
1500364890,2688,2688
1500366036,2703,2703
1500366987,2704,2704
1500367954,2702,2702
1500368905,2706,2706
1500369857,2713,2713
1500370819,2717,2717
1500371792,2712,2712
1500372747,2716,2716
1500373709,2712,2712
1500374671,2727,2727
1500375683,2717,2717
1500376849,2698,2698
1500377796,2701,2701
1500378745,2710,2710
1500379702,2709,2709
1500380656,2728,2728
1500381634,2722,2722
1500382596,2708,2708
1500383551,2713,2713
1500384518,2730,2730
1500385465,2730,2730
1500386505,2733,2733
1500387616,2732,2732
1500388591,2739,2739
1500389544,2738,2738
1500390492,2735,2735
1500391470,2719,2719
1500392435,2709,2709
1500393391,2696,2696
1500394361,2695,2695
1500395307,2712,2712
1500396264,2701,2701
1500397332,2683,2683
1500398432,2696,2696
1500399383,2685,2685
1500400340,2684,2684
1500401292,2681,2681
1500402285,2669,2669
1500403263,2667,2667
1500404185,2669,2669
1500405169,2667,2667
1500406106,2659,2659
1500407080,2658,2658
1500408118,2667,2667
1500409231,2680,2680
1500410186,2680,2680
1500411154,2675,2675
1500412110,2660,2660
1500413065,2663,2663
1500414048,2661,2661
1500414990,2664,2664
1500415951,2657,2657
1500416921,2652,2652
1500417862,2658,2658
1500418915,2646,2646
1500420042,2645,2645
1500421008,2650,2650
1500421946,2648,2648
