DateTime,Entries,UniqueIPs
1499957059,21964,22333
1499958535,21961,22328
1499959465,21965,22332
1499960435,21966,22332
1499961401,21955,22321
1499962357,21961,22327
1499963301,21940,22305
1499964268,21941,22306
1499965248,21937,22301
1499966203,21932,22295
1499967145,21925,22288
1499968122,21907,22270
1499969071,21901,22264
1499970030,21898,22261
1499971001,21883,22246
1499971942,21885,22248
1499973175,21877,22240
1499974107,21865,22228
1499975068,21859,22222
1499976105,21867,22232
1499977212,21869,22235
1499978188,21863,22229
1499979156,21868,22234
1499980105,21859,22225
1499981068,21850,22218
1499982036,21851,22219
1499983000,21849,22217
1499984570,21838,22206
1499985623,21833,22201
1499986593,21829,22197
1499987558,21830,22198
1499988510,21832,22200
1499989473,21831,22199
1499990469,21832,22200
1499991415,21828,22196
1499992360,21829,22197
1499993313,21830,22198
1499994284,21834,22202
1499995235,21832,22200
1499996184,21832,22200
1499997162,21832,22200
1499998104,21835,22203
1499999058,21845,22213
1500000024,21841,22209
1500000982,21845,22213
1500001953,21844,22212
1500002922,21844,22212
1500003866,21843,22211
1500004884,21852,22220
1500005812,21854,22222
1500006761,21859,22227
1500007716,21852,22220
1500008683,21849,22215
1500009642,21860,22226
1500010595,21862,22228
1500011547,21869,22235
1500012500,21863,22229
1500013466,21855,22221
1500014433,21855,22221
1500015398,21849,22215
1500016365,21843,22209
1500017307,21843,22209
1500018261,21842,22208
1500019271,21842,22209
1500020186,21839,22206
1500021155,21847,22214
1500022112,21849,22216
1500023086,21856,22223
1500024036,21864,22231
1500024996,21864,22231
1500025954,21867,22234
1500026895,21866,22233
1500027861,21866,22234
1500028836,21869,22237
1500030157,21865,22233
1500031225,21865,22233
1500032185,21863,22231
1500033153,21869,22237
1500034091,21874,22242
1500035080,21882,22250
1500036035,21887,22255
1500036994,21892,22260
1500037963,21893,22260
1500038905,21901,22268
1500039859,21902,22269
1500040945,21903,22271
1500042013,21915,22283
1500042987,21922,22290
1500043929,21927,22294
1500044898,21928,22295
1500045864,21943,22311
1500046847,21930,22297
1500047804,21928,22296
1500048765,21927,22293
1500049703,21940,22307
1500050681,21934,22300
