DateTime,Entries,UniqueIPs
1499909779,70761,81941
1499910739,70728,81902
1499911710,70738,81911
1499912666,70738,81911
1499913628,70741,81910
1499914600,70729,81898
1499915563,70746,81909
1499916505,70733,81891
1499917474,70719,81867
1499918479,70708,81854
1499919400,70670,81808
1499920359,70673,81805
1499921323,70606,81731
1499922264,70638,81766
1499923232,70563,81678
1499924188,70558,81680
1499925132,70510,81626
1499926103,70499,81617
1499927054,70457,81564
1499928015,70422,81515
1499928997,70407,81503
1499929960,70371,81455
1499930903,70327,81416
1499931871,70291,81380
1499932933,70275,81367
1499934027,70203,81293
1499934974,70179,81269
1499935944,70067,81142
1499936905,70053,81129
1499937857,70015,81080
1499938817,69972,81030
1499939791,69943,80996
1499940757,69913,80964
1499941705,69894,80935
1499942673,69866,80907
1499943675,69841,80876
1499944844,69810,80833
1499945782,69795,80820
1499946746,69697,80707
1499947709,69649,80656
1499948666,69571,80563
1499949624,69529,80525
1499950603,69507,80508
1499951553,69473,80472
1499952499,69490,80492
1499953474,69491,80502
1499954459,69507,80515
1499955383,69500,80498
1499956343,69515,80514
1499957315,69501,80494
1499958537,69519,80527
1499959467,69535,80545
1499960437,69546,80557
1499961403,69559,80556
1499962359,69549,80555
1499963303,69614,80617
1499964271,69625,80602
1499965250,69630,80607
1499966205,69564,80503
1499967148,69537,80468
1499968125,69495,80411
1499969073,69496,80420
1499970032,69531,80459
1499971004,69537,80466
1499971943,69546,80480
1499973177,69554,80496
1499974110,69556,80486
1499975070,69557,80478
1499976107,69576,80503
1499977214,69605,80531
1499978192,69607,80540
1499979159,69567,80488
1499980107,69523,80439
1499981070,69565,80490
1499982038,69528,80446
1499983002,69586,80524
1499984576,69632,80577
1499985626,69605,80553
1499986596,69612,80553
1499987560,69600,80544
1499988512,69634,80574
1499989475,69621,80548
1499990471,69651,80577
1499991417,69635,80556
1499992362,69688,80626
1499993315,69696,80621
1499994286,69685,80613
1499995237,69682,80617
1499996186,69679,80618
1499997164,69707,80656
1499998106,69677,80621
1499999060,69687,80635
1500000026,69641,80582
1500000985,69656,80602
1500001956,69695,80648
1500002924,69663,80616
1500003868,69697,80654
1500004886,69714,80673
1500005814,69726,80690
1500006763,69752,80710
1500007718,69750,80715
1500008685,69778,80755
1500009644,69794,80777
1500010597,69802,80784
1500011550,69784,80755
1500012502,69768,80731
1500013469,69774,80739
1500014436,69757,80722
1500015400,69754,80724
1500016368,69734,80715
1500017310,69731,80718
1500018263,69726,80711
1500019273,69736,80725
1500020188,69713,80709
1500021157,69711,80721
1500022114,69674,80678
1500023088,69680,80694
1500024038,69689,80694
1500024999,69692,80695
1500025956,69706,80712
1500026897,69694,80704
1500027864,69732,80739
1500028838,69739,80738
1500030159,69729,80739
1500031227,69736,80749
1500032187,69750,80756
1500033155,69764,80779
1500034093,69776,80791
1500035082,69822,80849
1500036037,69771,80789
1500036996,69834,80877
1500037965,69802,80840
1500038907,69849,80915
1500039861,69861,80940
1500040947,69853,80909
1500042015,69868,80928
1500042993,69871,80934
1500043932,69934,81034
1500044900,69924,81028
1500045866,69978,81096
1500046849,69967,81077
1500047806,69986,81111
1500048767,69982,81116
1500049705,70007,81151
1500050684,70032,81192
1500051710,70031,81211
1500052974,70088,81282
1500054028,70090,81287
1500054980,70124,81360
1500055941,70123,81353
1500056908,70137,81369
1500057858,70136,81372
1500058899,70170,81406
1500060027,70182,81412
1500060981,70168,81405
1500061932,70145,81384
1500062907,70147,81364
1500063863,70141,81375
1500064824,70083,81308
1500065781,70038,81269
1500066761,70069,81305
1500067711,70066,81298
1500068667,70067,81298
1500069668,70099,81335
1500070842,70068,81286
1500071788,70109,81340
1500072763,70072,81288
1500073958,70060,81270
1500074901,70114,81333
1500075874,70088,81303
1500076937,70097,81313
1500078016,70096,81315
1500078987,70083,81312
1500079939,70095,81326
1500080904,70079,81309
1500081852,70105,81343
1500082829,70087,81312
1500083811,70107,81344
1500084744,70075,81309
1500085727,70112,81358
1500086672,70092,81324
1500087711,70117,81360
1500088615,70114,81350
1500089571,70096,81337
1500090515,70084,81315
1500091480,70067,81289
1500092534,70077,81293
1500093622,70058,81263
1500094577,70073,81282
1500095535,70020,81224
1500096706,70037,81244
1500097696,70038,81250
1500098675,70056,81264
1500099649,70039,81233
1500100592,70042,81226
1500101551,70087,81316
1500102507,70067,81282
1500103482,70100,81315
1500104425,70087,81297
1500105395,70123,81364
1500106371,70126,81366
1500107334,70145,81392
1500108269,70148,81412
1500109284,70163,81437
1500110208,70164,81449
1500111161,70175,81467
1500112115,70165,81467
1500113109,70174,81480
1500114039,70172,81484
