DateTime,Entries,UniqueIPs
1433333787,50,2455360
1433333787,50,2455360
1433333787,50,2455360
1433333787,50,2455360
1433333787,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1438796967,50,2455360
1441246525,51,2455376
1444359278,56,2455120
1449013155,59,2455424
1456986150,60,2456448
1459872962,61,2456704
1462498435,56,2456960
1467904696,58,2457120
1470167278,57,2454816
1473169220,54,2454176
1473283131,69,2458545
1475589293,72,2460186
1478173292,73,2460442
1483495873,72,2459418
1486522156,73,2459426
1488923495,70,2456682
1491334704,73,2461106
1493762773,74,2463154
1499195950,71,2447234
