DateTime,AddedIPs,RemovedIPs
1497715214,1,0
1497729615,2,1
1497733215,0,1
1497740414,0,1
1497744014,1,0
1497747615,0,1
1497758416,0,1
1497769215,3,1
1497772816,4,0
1497776415,1,0
1497780015,5,0
1497783616,1,0
1497787215,0,1
1497790815,1,1
1497794416,1,1
1497805215,1,0
1497819615,0,2
1497823215,0,2
1497826816,0,1
1497830415,0,4
1497834015,0,3
1497837614,0,5
1497841215,0,4
1497844814,0,1
1497848414,0,1
1497870014,2,1
1497880814,1,0
1497884414,0,2
1497888014,2,1
1497895214,1,1
1497898816,1,0
1497902414,1,2
1497906014,0,1
1497913214,1,1
1497916815,2,0
1497938415,1,0
1497942014,2,0
1497949214,1,1
1497956414,2,0
1497960015,1,1
1497974414,2,0
1497978015,1,1
1497981615,1,1
1497985215,2,0
1497988814,2,1
1497992415,1,0
1497999615,0,1
1498006815,0,1
1498010414,0,2
1498014014,1,0
1498021214,0,1
1498028415,1,0
1498032014,1,0
1498035614,1,0
1498039215,1,0
1498042814,1,1
1498046415,1,0
1498053617,2,0
1498060816,0,1
1498064416,1,0
1498068015,1,1
1498075215,0,1
1498078814,1,1
1498082414,0,1
1498089615,0,1
1498093214,5,0
1498096817,1,2
1498100415,5,0
1498104016,10,1
1498107616,8,1
1498111216,6,0
1498114816,2,0
1498118417,10,0
1498122017,9,0
1498125618,3,1
1498129217,0,4
1498132817,0,2
1498136417,0,1
1498140017,1,2
1498147217,1,8
1498150818,1,0
1498154418,0,1
1498161618,0,1
1498176016,0,1
1498179617,1,0
1498183216,1,3
1498186817,1,0
1498194017,1,0
1498201220,0,1
1498212017,1,1
1498215616,2,0
1498219217,1,0
1498226417,1,0
1498233617,0,1
1498237217,0,1
1498240838,0,2
1498244420,0,1
1498248060,0,2
1498258829,0,1
1498262418,1,0
1498266016,3,0
1498269617,1,0
1498273218,5,0
1498276817,1,0
1498284022,1,0
1498287617,1,0
1498294817,0,1
1498302016,1,0
1498320020,0,1
1498323631,1,0
1498334480,0,2
1498348817,0,1
1498359617,1,0
1498374037,4,0
1498377651,3,0
1498381218,2,1
1498384818,4,0
1498388418,2,0
1498392017,2,0
1498406418,1,0
1498410017,0,1
1498413619,0,1
1498428018,4,0
1498435218,1,0
1498442418,1,0
1498446018,1,0
1498467618,0,3
1498474818,0,1
1498485618,0,1
1498492817,0,1
1498496418,0,1
1498500017,0,1
1498503617,2,0
1498507218,0,1
1498514418,1,0
1498521618,1,1
1498525218,1,0
1498528818,1,0
1498539618,1,0
1498543218,0,1
1498546818,0,1
1498550418,1,0
1498554018,9,0
1498557619,13,0
1498561219,1,0
1498564819,0,1
1498568419,1,0
1498572019,4,0
1498575619,7,0
1498582820,1,0
1498586420,2,2
1498590019,3,1
1498593619,1,1
1498604420,2,0
1498611620,2,0
1498618821,1,2
1498626021,5,0
1498629622,2,2
1498633221,3,0
1498644022,0,1
1498647620,5,1
1498651220,3,0
1498654820,1,0
1498658421,1,1
1498669220,0,1
1498676421,1,1
1498687221,1,0
1498690820,1,0
1498698020,0,5
1498705220,0,1
1498708820,1,0
1498712420,0,3
1498716020,0,10
1498719649,2,16
1498723219,2,8
1498726819,2,2
1498730419,4,0
1498734019,3,2
1498737619,1,1
1498741219,1,2
1498744819,1,2
1498752020,0,1
1498755619,0,9
1498759219,0,1
1498762819,0,1
1498766419,0,1
1498770020,0,1
1498777219,0,2
1498780817,0,2
1498784418,0,1
1498788018,0,6
1498791618,1,2
1498798819,0,1
1498813218,1,0
1498816818,0,1
1498820418,1,0
1498834818,1,0
1498849218,1,2
1498852818,2,0
1498860018,0,1
1498863617,1,0
1498870818,1,0
1498874418,0,1
1498878017,0,4
1498885218,1,0
1498888818,0,1
1498892419,1,0
1498896017,2,0
1498903219,0,1
1498910418,0,1
