DateTime,AddedIPs,RemovedIPs
1495663205,0,1
1495717206,1,0
1495728005,0,1
1495756805,1,0
1495774806,0,1
1495796406,0,1
1495828813,3,0
1495854006,0,1
1495872005,0,1
1495911606,1,0
1495962005,0,1
1495965605,0,1
1495969205,0,1
1495972805,0,1
1495980006,1,0
1496012406,0,1
1496034007,1,0
1496044805,0,1
1496048406,0,1
1496080806,0,1
1496120406,0,1
1496134806,1,0
1496138406,2,0
1496163605,0,1
1496196006,0,1
1496206806,0,1
1496210405,1,0
1496232005,0,1
1496242805,0,1
1496293205,1,0
1496300406,2,0
1496304006,1,0
1496332805,0,1
1496376005,1,0
1496379605,0,1
1496390405,1,0
1496415605,0,1
1496422805,0,1
1496437205,1,0
1496448005,0,2
1496469606,1,1
1496523606,2,0
1496527206,5,0
1496538006,1,0
1496602806,1,0
1496638806,0,1
1496685606,1,0
1496728806,1,0
1496732406,1,0
1496746806,1,0
1496761206,0,1
1496772006,0,2
1496800807,1,0
1496822406,0,1
1496836807,1,0
1496898006,2,0
1496905206,0,1
1496908806,0,1
1496919606,1,0
1496955606,0,1
1496959206,1,1
1496962806,2,0
1496995206,0,1
1497009607,0,1
1497042006,0,1
1497085206,0,1
1497088806,1,0
1497117606,1,0
1497124806,1,0
1497128406,0,1
1497132005,0,6
1497135606,2,0
1497182405,0,1
1497272406,1,0
1497337206,0,1
1497348005,0,1
1497366005,0,1
1497376806,1,1
1497387606,1,0
1497423606,0,1
1497427206,1,0
1497441606,0,1
1497466805,2,0
1497484805,0,1
1497488406,0,1
1497502806,1,1
1497510006,0,1
1497528006,2,0
1497567605,0,2
1497585606,0,1
1497600006,1,0
1497610806,1,0
1497636005,1,0
1497690005,1,1
1497729606,1,0
1497740405,0,1
1497794406,0,1
1497888005,1,0
1497902406,1,1
1497916806,1,0
1497981606,1,0
1497988805,0,1
1498006806,0,1
1498032006,1,0
1498064407,1,0
1498068006,1,0
1498078805,0,1
1498082405,0,1
1498093205,1,0
1498096806,0,1
1498107606,0,1
1498114806,1,0
1498129205,0,1
1498132806,0,1
1498154407,0,1
1498179606,1,0
1498240812,0,1
1498248018,0,1
1498266006,1,0
1498287606,1,0
1498312805,1,0
1498323605,1,0
1498338006,0,1
1498381206,0,1
1498384806,1,0
1498392006,1,0
1498413606,0,1
1498446006,1,0
1498474806,0,1
1498496405,0,1
1498507206,0,1
1498521606,0,1
1498539606,1,0
1498586406,0,2
1498669205,0,1
1498676406,0,1
1498687206,1,0
1498698005,0,1
1498726805,0,1
1498759207,0,1
1498791606,1,0
1498816806,0,1
1498834806,1,0
1498849205,0,1
1498852806,1,0
1498860006,0,1
1498870806,1,0
1498896005,1,0
1498903207,0,1
1498914006,1,0
1498935606,1,0
1498950006,0,1
1498968006,0,1
1499007606,1,0
1499014806,0,1
1499029205,1,0
1499032806,1,0
1499050805,0,1
1499079605,1,0
1499097606,1,0
1499126407,0,1
1499169606,1,0
1499194806,1,0
1499284805,1,0
1499295606,1,0
1499349609,1,0
1499367608,0,1
1499374808,1,0
1499378408,1,0
1499396406,0,1
1499400007,1,0
1499439608,0,1
1499461208,0,1
1499475608,1,0
1499500806,0,1
1499522406,1,0
1499529607,1,0
1499533207,0,1
1499583606,1,0
1499594406,1,1
1499598006,2,0
1499612406,1,0
1499644806,0,1
1499662806,1,0
1499673607,0,1
1499713207,1,0
1499727607,0,1
1499738407,1,0
1499745606,0,1
1499770806,0,1
1499781606,0,2
1499806808,0,1
1499842807,0,1
1499850009,1,0
1499875208,3,0
1499878808,7,0
1499882409,7,0
1499889608,2,1
1499893208,2,0
1499896810,4,0
1499900407,10,0
1499904008,8,0
1499907609,8,0
1499911209,6,1
1499914812,5,0
1499918412,7,0
1499922012,3,0
1499925612,4,0
1499929213,1,0
1499932813,3,0
1499940013,3,0
1499943613,2,0
1499947213,6,0
1499950813,2,0
1499954413,5,0
1499958014,8,0
1499961612,6,0
1499965213,4,0
1499968812,6,0
1499972412,9,0
1499976014,10,0
1499979613,4,0
1499983214,13,0
1499986814,8,0
1499990415,4,0
1499994015,2,1
1499997615,4,0
1500001215,2,0
1500004815,7,0
1500008417,3,0
1500022817,5,0
1500026416,4,0
1500030020,1,0
1500033619,4,0
1500037220,3,0
1500040819,1,0
1500044419,8,0
1500048054,2,0
1500051620,3,0
1500055220,4,0
1500058820,4,0
1500062421,3,0
1500066019,3,0
1500076819,2,0
1500080420,0,1
1500102019,2,0
1500109220,2,0
1500127220,0,1
1500148818,1,0
1500181220,0,1
1500188420,0,1
1500199220,1,1
1500213618,0,1
1500228018,1,0
1500231618,1,0
1500249618,1,0
1500253219,0,2
1500274819,1,0
1500278446,1,0
1500282018,1,0
1500318019,1,0
1500325220,0,1
1500343218,0,1
1500393619,1,0
