DateTime,Entries,UniqueIPs
1495652406,28,28
1495663205,27,27
1495717206,28,28
1495728005,27,27
1495756805,28,28
1495774806,27,27
1495796406,26,26
1495828813,29,29
1495854006,28,28
1495872005,27,27
1495911606,28,28
1495962005,27,27
1495965605,26,26
1495969205,25,25
1495972805,24,24
1495980006,25,25
1496012406,24,24
1496034007,25,25
1496044805,24,24
1496048406,23,23
1496080806,22,22
1496120406,21,21
1496134806,22,22
1496138406,24,24
1496163605,23,23
1496196006,22,22
1496206806,21,21
1496210405,22,22
1496232005,21,21
1496242805,20,20
1496293205,21,21
1496300406,23,23
1496304006,24,24
1496332805,23,23
1496376005,24,24
1496379605,23,23
1496390405,24,24
1496415605,23,23
1496422805,22,22
1496437205,23,23
1496448005,21,21
1496469606,21,21
1496523606,23,23
1496527206,28,28
1496538006,29,29
1496602806,30,30
1496638806,29,29
1496685606,30,30
1496728806,31,31
1496732406,32,32
1496746806,33,33
1496761206,32,32
1496772006,30,30
1496800807,31,31
1496822406,30,30
1496836807,31,31
1496898006,33,33
1496905206,32,32
1496908806,31,31
1496919606,32,32
1496955606,31,31
1496959206,31,31
1496962806,33,33
1496995206,32,32
1497009607,31,31
1497042006,30,30
1497085206,29,29
1497088806,30,30
1497117606,31,31
1497124806,32,32
1497128406,31,31
1497132005,25,25
1497135606,27,27
1497182405,26,26
1497272406,27,27
1497337206,26,26
1497348005,25,25
1497366005,24,24
1497376806,24,24
1497387606,25,25
1497423606,24,24
1497427206,25,25
1497441606,24,24
1497466805,26,26
1497484805,25,25
1497488406,24,24
1497502806,24,24
1497510006,23,23
1497528006,25,25
1497567605,23,23
1497585606,22,22
1497600006,23,23
1497610806,24,24
1497636005,25,25
1497690005,25,25
1497729606,26,26
1497740405,25,25
1497794406,24,24
1497888005,25,25
1497902406,25,25
1497916806,26,26
1497981606,27,27
1497988805,26,26
1498006806,25,25
1498032006,26,26
1498064407,27,27
1498068006,28,28
1498078805,27,27
1498082405,26,26
1498093205,27,27
1498096806,26,26
1498107606,25,25
1498114806,26,26
1498129205,25,25
1498132806,24,24
1498154407,23,23
1498179606,24,24
1498240812,23,23
1498248018,22,22
1498266006,23,23
1498287606,24,24
1498312805,25,25
1498323605,26,26
1498338006,25,25
1498381206,24,24
1498384806,25,25
1498392006,26,26
1498413606,25,25
1498446006,26,26
1498474806,25,25
1498496405,24,24
1498507206,23,23
1498521606,22,22
1498539606,23,23
1498586406,21,21
1498669205,20,20
1498676406,19,19
1498687206,20,20
1498698005,19,19
1498726805,18,18
1498759207,17,17
1498791606,18,18
1498816806,17,17
1498834806,18,18
1498849205,17,17
1498852806,18,18
1498860006,17,17
1498870806,18,18
1498896005,19,19
1498903207,18,18
1498914006,19,19
1498935606,20,20
1498950006,19,19
1498968006,18,18
1499007606,19,19
1499014806,18,18
1499029205,19,19
1499032806,20,20
1499050805,19,19
1499079605,20,20
1499097606,21,21
1499126407,20,20
1499169606,21,21
1499194806,22,22
1499284805,23,23
1499295606,24,24
1499349609,25,25
1499367608,24,24
1499374808,25,25
1499378408,26,26
1499396406,25,25
1499400007,26,26
1499439608,25,25
1499461208,24,24
1499475608,25,25
1499500806,24,24
1499522406,25,25
1499529607,26,26
1499533207,25,25
1499583606,26,26
1499594406,26,26
1499598006,28,28
1499612406,29,29
1499644806,28,28
1499662806,29,29
1499673607,28,28
1499713207,29,29
1499727607,28,28
1499738407,29,29
1499745606,28,28
1499770806,27,27
1499781606,25,25
1499806808,24,24
1499842807,23,23
1499850009,24,24
1499875208,27,27
1499878808,34,34
1499882409,41,41
1499889608,42,42
1499893208,44,44
1499896810,48,48
1499900407,58,58
1499904008,66,66
1499907609,74,74
1499911209,79,79
1499914812,84,84
1499918412,91,91
1499922012,94,94
1499925612,98,98
1499929213,99,99
1499932813,102,102
1499940013,105,105
1499943613,107,107
1499947213,113,113
1499950813,115,115
1499954413,120,120
1499958014,128,128
1499961612,134,134
1499965213,138,138
1499968812,144,144
1499972412,153,153
1499976014,163,163
1499979613,167,167
1499983214,180,180
1499986814,188,188
1499990415,192,192
1499994015,193,193
1499997615,197,197
1500001215,199,199
1500004815,206,206
1500008417,209,209
1500022817,214,214
1500026416,218,218
1500030020,219,219
1500033619,223,223
1500037220,226,226
1500040819,227,227
1500044419,235,235
1500048054,237,237
1500051620,240,240
1500055220,244,244
1500058820,248,248
1500062421,251,251
1500066019,254,254
1500076819,256,256
1500080420,255,255
1500102019,257,257
1500109220,259,259
1500127220,258,258
1500148818,259,259
1500181220,258,258
1500188420,257,257
1500199220,257,257
1500213618,256,256
1500228018,257,257
1500231618,258,258
1500249618,259,259
1500253219,257,257
1500274819,258,258
1500278446,259,259
1500282018,260,260
1500318019,261,261
1500325220,260,260
1500343218,259,259
1500393619,260,260
