DateTime,AddedIPs,RemovedIPs
1495666807,2,0
1495670407,4,0
1495674007,2,0
1495677608,2,0
1495688407,0,1
1495699208,3,0
1495702808,2,0
1495720808,2,0
1495724408,7,0
1495728008,2,0
1495731609,2,0
1495738809,1,0
1495742408,1,0
1495746009,0,2
1495749609,3,0
1495753208,2,0
1495756808,1,0
1495767608,1,0
1495771208,1,0
1495774809,1,0
1495782009,1,0
1495825709,1,3
1495828814,2,1
1495836009,1,0
1495882809,0,1
1495900809,1,0
1495926009,1,0
1495929609,1,0
1495965609,1,0
1495983608,0,2
1495987217,1,0
1496005209,1,0
1496008809,0,1
1496016009,0,1
1496055609,1,0
1496059243,1,0
1496070010,1,0
1496080809,0,1
1496109609,2,0
1496127609,1,0
1496145609,0,1
1496188809,1,1
1496192409,1,0
1496221209,0,1
1496264409,0,1
1496268009,1,0
1496271609,0,1
1496275209,1,1
1496286009,1,0
1496289609,2,0
1496293209,2,0
1496304009,1,0
1496322009,2,0
1496325609,0,1
1496329209,0,3
1496332809,1,1
1496336409,1,2
1496340027,0,2
1496343609,1,1
1496347212,1,1
1496350809,0,1
1496354409,0,1
1496358008,0,1
1496361608,0,1
1496368808,0,1
1496376009,0,1
1496379608,0,1
1496383208,0,1
1496386829,0,1
1496390408,2,0
1496397608,0,2
1496401208,0,1
1496404809,2,0
1496415609,0,2
1496419208,0,1
1496426408,0,1
1496433608,1,0
1496437209,1,0
1496440809,0,2
1496444409,1,0
1496451608,1,0
1496458809,1,0
1496466009,1,0
1496473208,1,0
1496487609,1,0
1496530809,0,1
1496534408,1,1
1496552409,1,0
1496574009,0,1
1496584809,3,3
1496588410,3,0
1496592009,4,1
1496595609,2,0
1496602809,1,0
1496610009,0,1
1496624410,3,0
1496646011,1,0
1496649610,3,0
1496653210,16,0
1496656811,12,0
1496660411,8,1
1496664012,7,0
1496667611,4,0
1496671212,4,0
1496674812,1,1
1496678412,2,0
1496682012,1,0
1496685612,2,1
1496689212,2,0
1496692812,0,1
1496696412,0,1
1496726009,0,1
1496728812,1,0
1496750413,1,0
1496797213,0,1
1496800814,18,1
1496804414,9,0
1496808014,1,0
1496811613,0,1
1496829614,1,0
1496858413,1,0
1496865613,1,0
1496869213,1,1
1496876413,2,1
1496883613,1,0
1496887213,1,0
1496890814,1,2
1496898014,2,0
1496908814,3,1
1496923214,1,0
1496952014,6,4
1496955614,2,0
1496959214,2,0
1496962814,2,0
1496966414,0,1
1496977214,1,0
1496988014,0,2
1496998814,2,1
1497006015,0,1
1497009614,0,2
1497016814,1,2
1497020415,0,3
1497027613,1,0
1497031214,1,0
1497034814,1,0
1497038413,0,1
1497042014,0,1
1497049213,0,1
1497063614,0,1
1497078014,0,1
1497081613,1,0
1497085214,0,1
1497088814,0,1
1497092414,0,1
1497121214,0,1
1497128414,1,0
1497139214,0,1
1497153613,1,0
1497182413,1,0
1497196814,0,1
1497204014,1,0
1497207613,0,1
1497229214,0,1
1497240013,1,0
1497250814,0,1
1497258014,0,1
1497261614,0,2
1497265213,0,1
1497268813,0,1
1497272414,0,4
1497276013,0,1
1497279613,0,4
1497283213,1,9
1497286813,0,9
1497290412,0,10
1497294012,0,14
1497297610,0,14
1497308410,1,0
1497312011,1,1
1497333610,0,1
1497344411,0,1
1497355210,0,1
1497362410,0,1
1497366010,0,2
1497394810,1,0
1497409210,0,5
1497412809,0,18
1497416409,0,5
1497434409,0,1
1497466808,0,1
1497477608,3,0
1497481208,0,3
1497484808,1,0
1497488409,1,0
1497492009,2,1
1497499208,1,0
1497502809,1,0
1497506409,1,0
1497510010,1,1
1497513609,1,3
1497517209,1,0
1497524409,1,1
1497528009,2,1
1497546009,0,2
1497549609,0,1
1497556808,0,1
1497560409,2,0
1497564008,1,1
1497571209,1,1
1497578409,1,0
1497589208,1,0
1497592809,0,1
1497596409,0,3
1497603609,1,1
1497614408,0,1
1497618008,0,1
1497621609,0,1
1497628808,1,0
1497632408,0,1
1497636008,0,1
1497639609,0,2
1497646809,1,1
1497650411,1,0
1497686409,0,1
1497715208,1,0
1497729609,1,1
1497758410,0,1
1497787208,0,1
1497805209,1,0
1497844808,0,1
1497870009,2,0
1497873609,0,1
1497888008,0,1
1497895208,1,0
1497898810,1,0
1497913208,1,1
1497916809,1,0
1497938409,1,0
1497942009,1,0
1497949209,1,0
1497956409,2,0
1497960009,1,1
1497974409,2,0
1497978009,1,0
1497985210,2,0
1497992409,1,0
1497999609,0,1
1498035609,1,0
1498042809,0,1
1498046409,1,0
1498053610,2,0
1498078809,1,0
1498089609,0,1
1498096810,1,1
1498100409,4,0
1498104010,10,1
1498107610,8,0
1498111211,6,0
1498114811,1,0
1498118411,10,0
1498122011,9,0
1498125612,3,0
1498147212,1,0
1498150813,1,0
1498161613,0,1
1498176011,0,1
1498183211,1,1
1498186812,1,0
1498194012,1,0
1498201212,0,1
1498212012,1,1
1498215612,1,0
1498219212,1,0
1498226412,1,0
1498233612,0,1
1498237213,0,1
1498240838,0,1
1498262414,1,0
1498266011,2,0
1498269612,1,0
1498273213,1,0
1498284017,1,0
1498320019,0,1
1498334480,0,1
1498359612,1,0
1498410012,0,1
1498428012,4,0
1498442412,1,0
1498467612,0,3
1498500012,0,1
1498503612,2,0
1498514412,1,0
1498543212,0,1
1498550412,1,0
1498554013,9,0
1498557614,12,0
1498561214,1,0
1498564814,0,1
1498568414,1,0
1498572013,4,0
1498575614,6,0
1498582814,1,0
1498586414,2,0
1498590014,3,0
1498593614,1,0
1498604414,2,0
1498611615,2,0
1498618815,1,1
1498626015,5,0
1498629617,2,2
1498633216,3,0
1498647615,5,0
1498651214,3,0
1498658415,1,1
1498676415,1,0
1498708815,1,0
1498712415,0,3
1498716015,0,10
1498719646,0,16
1498723214,0,8
1498726813,0,1
1498734014,0,2
1498737613,0,1
1498741213,0,2
1498744813,0,1
1498752014,0,1
1498755614,0,9
1498798814,0,1
1498813213,1,0
1498820413,1,0
1498863612,1,0
1498874412,0,1
1498885213,1,0
1498888813,0,1
1498892414,1,0
1498928413,0,1
1498932012,1,0
1498939213,1,0
1498964413,0,1
1498968013,1,0
1499025612,1,0
1499043613,0,1
1499065212,0,1
1499101212,0,2
1499104813,1,1
1499115613,0,1
1499130013,1,0
1499133615,0,1
1499140812,0,1
1499144412,0,1
1499148012,1,0
1499155212,1,0
1499162412,0,5
1499166012,0,1
1499169612,1,0
1499173212,0,1
1499180413,0,3
1499184012,0,1
1499187612,2,0
1499191212,0,1
1499194812,0,6
1499198412,3,0
1499209212,0,5
1499212815,1,2
1499216414,0,7
1499220014,0,1
1499223614,0,4
1499227212,11,0
1499230814,17,7
1499234414,1,7
1499238011,0,5
1499241611,4,1
1499245213,1,0
1499252411,0,10
1499256011,1,5
1499263212,1,0
1499313611,0,1
1499324411,1,0
1499331612,3,0
1499335212,5,0
1499338812,4,0
1499342414,38,0
1499346014,12,0
1499349618,1,0
1499367617,1,0
1499371219,0,1
1499378417,2,0
1499382017,2,0
1499389215,0,1
1499418015,0,1
1499432417,4,0
1499436017,4,0
1499439616,1,0
1499443217,1,0
1499450414,1,0
1499457617,1,0
1499461217,1,0
1499468417,0,1
1499497215,0,1
1499511616,1,0
1499518815,1,0
1499522414,0,2
1499536815,0,3
1499540416,0,1
1499551217,1,0
1499572816,0,1
1499576415,3,0
1499580015,5,0
1499583615,2,0
1499587216,1,0
1499590815,1,0
1499608817,1,0
1499612415,1,1
1499630417,0,1
1499637616,0,1
1499709615,1,1
1499713215,1,0
1499749215,1,0
1499767215,1,0
1499785215,0,1
1499796015,0,1
1499828416,1,0
1499832016,0,2
1499835616,0,3
1499839214,0,13
1499842815,0,11
1499846418,2,1
1499850017,6,1
1499853617,11,0
1499857215,15,0
1499860819,4,2
1499864538,12,0
1499868019,13,1
1499871619,7,0
1499875220,18,0
1499878820,8,0
1499882421,7,0
1499886022,11,0
1499889619,8,0
1499893226,2,0
1499896822,2,1
1499900426,4,0
1499904020,3,0
1499911234,1,0
1499914823,2,0
1499922025,0,1
1499929223,0,1
1499936454,0,1
1499940023,0,2
1499943623,0,3
1499947222,0,7
1499950820,0,21
1499954420,0,19
1499958021,0,2
1499965218,1,0
1499972420,0,1
1499979617,0,1
1499983217,2,2
1499986817,0,1
1499990418,1,0
1500004817,0,1
1500022818,1,0
1500026418,12,1
1500030022,7,1
1500033622,5,1
1500037222,4,1
1500040821,0,1
1500044421,1,0
1500048054,4,6
1500051622,2,1
1500055221,2,0
1500058822,3,0
1500062422,4,0
1500066022,1,1
1500069621,2,1
1500073219,0,1
1500080422,0,1
1500084041,0,1
1500116421,0,1
1500134422,1,0
1500138021,1,0
1500152426,0,1
1500206421,0,1
1500210019,0,1
1500213635,0,6
1500217221,0,10
1500220820,1,3
1500238821,1,0
