DateTime,Entries,UniqueIPs
1495666807,62,62
1495670407,66,66
1495674007,68,68
1495677608,70,70
1495688407,69,69
1495699208,72,72
1495702808,74,74
1495720808,76,76
1495724408,83,83
1495728008,85,85
1495731609,87,87
1495738809,88,88
1495742408,89,89
1495746009,87,87
1495749609,90,90
1495753208,92,92
1495756808,93,93
1495767608,94,94
1495771208,95,95
1495774809,96,96
1495782009,97,97
1495825709,95,95
1495828814,96,96
1495836009,97,97
1495882809,96,96
1495900809,97,97
1495926009,98,98
1495929609,99,99
1495965609,100,100
1495983608,98,98
1495987217,99,99
1496005209,100,100
1496008809,99,99
1496016009,98,98
1496055609,99,99
1496059243,100,100
1496070010,101,101
1496080809,100,100
1496109609,102,102
1496127609,103,103
1496145609,102,102
1496188809,102,102
1496192409,103,103
1496221209,102,102
1496264409,101,101
1496268009,102,102
1496271609,101,101
1496275209,101,101
1496286009,102,102
1496289609,104,104
1496293209,106,106
1496304009,107,107
1496322009,109,109
1496325609,108,108
1496329209,105,105
1496332809,105,105
1496336409,104,104
1496340027,102,102
1496343609,102,102
1496347212,102,102
1496350809,101,101
1496354409,100,100
1496358008,99,99
1496361608,98,98
1496368808,97,97
1496376009,96,96
1496379608,95,95
1496383208,94,94
1496386829,93,93
1496390408,95,95
1496397608,93,93
1496401208,92,92
1496404809,94,94
1496415609,92,92
1496419208,91,91
1496426408,90,90
1496433608,91,91
1496437209,92,92
1496440809,90,90
1496444409,91,91
1496451608,92,92
1496458809,93,93
1496466009,94,94
1496473208,95,95
1496487609,96,96
1496530809,95,95
1496534408,95,95
1496552409,96,96
1496574009,95,95
1496584809,95,95
1496588410,98,98
1496592009,101,101
1496595609,103,103
1496602809,104,104
1496610009,103,103
1496624410,106,106
1496646011,107,107
1496649610,110,110
1496653210,126,126
1496656811,138,138
1496660411,145,145
1496664012,152,152
1496667611,156,156
1496671212,160,160
1496674812,160,160
1496678412,162,162
1496682012,163,163
1496685612,164,164
1496689212,166,166
1496692812,165,165
1496696412,164,164
1496726009,163,163
1496728812,164,164
1496750413,165,165
1496797213,164,164
1496800814,181,181
1496804414,190,190
1496808014,191,191
1496811613,190,190
1496829614,191,191
1496858413,192,192
1496865613,193,193
1496869213,193,193
1496876413,194,194
1496883613,195,195
1496887213,196,196
1496890814,195,195
1496898014,197,197
1496908814,199,199
1496923214,200,200
1496952014,202,202
1496955614,204,204
1496959214,206,206
1496962814,208,208
1496966414,207,207
1496977214,208,208
1496988014,206,206
1496998814,207,207
1497006015,206,206
1497009614,204,204
1497016814,203,203
1497020415,200,200
1497027613,201,201
1497031214,202,202
1497034814,203,203
1497038413,202,202
1497042014,201,201
1497049213,200,200
1497063614,199,199
1497078014,198,198
1497081613,199,199
1497085214,198,198
1497088814,197,197
1497092414,196,196
1497121214,195,195
1497128414,196,196
1497139214,195,195
1497153613,196,196
1497182413,197,197
1497196814,196,196
1497204014,197,197
1497207613,196,196
1497229214,195,195
1497240013,196,196
1497250814,195,195
1497258014,194,194
1497261614,192,192
1497265213,191,191
1497268813,190,190
1497272414,186,186
1497276013,185,185
1497279613,181,181
1497283213,173,173
1497286813,164,164
1497290412,154,154
1497294012,140,140
1497297610,126,126
1497308410,127,127
1497312011,127,127
1497333610,126,126
1497344411,125,125
1497355210,124,124
1497362410,123,123
1497366010,121,121
1497394810,122,122
1497409210,117,117
1497412809,99,99
1497416409,94,94
1497434409,93,93
1497466808,92,92
1497477608,95,95
1497481208,92,92
1497484808,93,93
1497488409,94,94
1497492009,95,95
1497499208,96,96
1497502809,97,97
1497506409,98,98
1497510010,98,98
1497513609,96,96
1497517209,97,97
1497524409,97,97
1497528009,98,98
1497546009,96,96
1497549609,95,95
1497556808,94,94
1497560409,96,96
1497564008,96,96
1497571209,96,96
1497578409,97,97
1497589208,98,98
1497592809,97,97
1497596409,94,94
1497603609,94,94
1497614408,93,93
1497618008,92,92
1497621609,91,91
1497628808,92,92
1497632408,91,91
1497636008,90,90
1497639609,88,88
1497646809,88,88
1497650411,89,89
1497686409,88,88
1497715208,89,89
1497729609,89,89
1497758410,88,88
1497787208,87,87
1497805209,88,88
1497844808,87,87
1497870009,89,89
1497873609,88,88
1497888008,87,87
1497895208,88,88
1497898810,89,89
1497913208,89,89
1497916809,90,90
1497938409,91,91
1497942009,92,92
1497949209,93,93
1497956409,95,95
1497960009,95,95
1497974409,97,97
1497978009,98,98
1497985210,100,100
1497992409,101,101
1497999609,100,100
1498035609,101,101
1498042809,100,100
1498046409,101,101
1498053610,103,103
1498078809,104,104
1498089609,103,103
1498096810,103,103
1498100409,107,107
1498104010,116,116
1498107610,124,124
1498111211,130,130
1498114811,131,131
1498118411,141,141
1498122011,150,150
1498125612,153,153
1498147212,154,154
1498150813,155,155
1498161613,154,154
1498176011,153,153
1498183211,153,153
1498186812,154,154
1498194012,155,155
1498201212,154,154
1498212012,154,154
1498215612,155,155
1498219212,156,156
1498226412,157,157
1498233612,156,156
1498237213,155,155
1498240838,154,154
1498262414,155,155
1498266011,157,157
1498269612,158,158
1498273213,159,159
1498284017,160,160
1498320019,159,159
1498334480,158,158
1498359612,159,159
1498410012,158,158
1498428012,162,162
1498442412,163,163
1498467612,160,160
1498500012,159,159
1498503612,161,161
1498514412,162,162
1498543212,161,161
1498550412,162,162
1498554013,171,171
1498557614,183,183
1498561214,184,184
1498564814,183,183
1498568414,184,184
1498572013,188,188
1498575614,194,194
1498582814,195,195
1498586414,197,197
1498590014,200,200
1498593614,201,201
1498604414,203,203
1498611615,205,205
1498618815,205,205
1498626015,210,210
1498629617,210,210
1498633216,213,213
1498647615,218,218
1498651214,221,221
1498658415,221,221
1498676415,222,222
1498708815,223,223
1498712415,220,220
1498716015,210,210
1498719646,194,194
1498723214,186,186
1498726813,185,185
1498734014,183,183
1498737613,182,182
1498741213,180,180
1498744813,179,179
1498752014,178,178
1498755614,169,169
1498798814,168,168
1498813213,169,169
1498820413,170,170
1498863612,171,171
1498874412,170,170
1498885213,171,171
1498888813,170,170
1498892414,171,171
1498928413,170,170
1498932012,171,171
1498939213,172,172
1498964413,171,171
1498968013,172,172
1499025612,173,173
1499043613,172,172
1499065212,171,171
1499101212,169,169
1499104813,169,169
1499115613,168,168
1499130013,169,169
1499133615,168,168
1499140812,167,167
1499144412,166,166
1499148012,167,167
1499155212,168,168
1499162412,163,163
1499166012,162,162
1499169612,163,163
1499173212,162,162
1499180413,159,159
1499184012,158,158
1499187612,160,160
1499191212,159,159
1499194812,153,153
1499198412,156,156
1499209212,151,151
1499212815,150,150
1499216414,143,143
1499220014,142,142
1499223614,138,138
1499227212,149,149
1499230814,159,159
1499234414,153,153
1499238011,148,148
1499241611,151,151
1499245213,152,152
1499252411,142,142
1499256011,138,138
1499263212,139,139
1499313611,138,138
1499324411,139,139
1499331612,142,142
1499335212,147,147
1499338812,151,151
1499342414,189,189
1499346014,201,201
1499349618,202,202
1499367617,203,203
1499371219,202,202
1499378417,204,204
1499382017,206,206
1499389215,205,205
1499418015,204,204
1499432417,208,208
1499436017,212,212
1499439616,213,213
1499443217,214,214
1499450414,215,215
1499457617,216,216
1499461217,217,217
1499468417,216,216
1499497215,215,215
1499511616,216,216
1499518815,217,217
1499522414,215,215
1499536815,212,212
1499540416,211,211
1499551217,212,212
1499572816,211,211
1499576415,214,214
1499580015,219,219
1499583615,221,221
1499587216,222,222
1499590815,223,223
1499608817,224,224
1499612415,224,224
1499630417,223,223
1499637616,222,222
1499709615,222,222
1499713215,223,223
1499749215,224,224
1499767215,225,225
1499785215,224,224
1499796015,223,223
1499828416,224,224
1499832016,222,222
1499835616,219,219
1499839214,206,206
1499842815,195,195
1499846418,196,196
1499850017,201,201
1499853617,212,212
1499857215,227,227
1499860819,229,229
1499864538,241,241
1499868019,253,253
1499871619,260,260
1499875220,278,278
1499878820,286,286
1499882421,293,293
1499886022,304,304
1499889619,312,312
1499893226,314,314
1499896822,315,315
1499900426,319,319
1499904020,322,322
1499911234,323,323
1499914823,325,325
1499922025,324,324
1499929223,323,323
1499936454,322,322
1499940023,320,320
1499943623,317,317
1499947222,310,310
1499950820,289,289
1499954420,270,270
1499958021,268,268
1499965218,269,269
1499972420,268,268
1499979617,267,267
1499983217,267,267
1499986817,266,266
1499990418,267,267
1500004817,266,266
1500022818,267,267
1500026418,278,278
1500030022,284,284
1500033622,288,288
1500037222,291,291
1500040821,290,290
1500044421,291,291
1500048054,289,289
1500051622,290,290
1500055221,292,292
1500058822,295,295
1500062422,299,299
1500066022,299,299
1500069621,300,300
1500073219,299,299
1500080422,298,298
1500084041,297,297
1500116421,296,296
1500134422,297,297
1500138021,298,298
1500152426,297,297
1500206421,296,296
1500210019,295,295
1500213635,289,289
1500217221,279,279
1500220820,277,277
1500238821,278,278
1500249618,277,277
1500260420,276,276
1500271219,277,277
1500296417,278,278
1500314419,279,279
1500328821,277,277
1500346817,278,278
1500354018,280,280
1500357618,279,279
1500375620,278,278
1500386418,279,279
1500397220,278,278
