DateTime,AddedIPs,RemovedIPs
1498186831,0,1
1498190433,1,1
1498194032,1,2
1498197631,1,1
1498201232,2,0
1498208431,1,2
1498215640,1,2
1498219256,0,2
1498222832,2,2
1498230092,0,1
1498237268,0,2
1498240893,1,0
1498244491,2,1
1498248088,0,4
1498251694,2,1
1498262488,1,1
1498266085,4,0
1498269689,1,1
1498273287,2,2
1498276888,1,0
1498284084,0,2
1498287675,2,1
1498291276,3,1
1498294874,1,3
1498302073,2,0
1498309273,0,2
1498312863,0,4
1498320067,2,1
1498323677,0,1
1498327258,0,1
1498330851,1,2
1498334476,0,1
1498338040,0,1
1498341648,1,0
1498345239,0,1
1498348837,0,2
1498352453,1,1
1498356041,1,0
1498359642,0,2
1498366838,4,3
1498370467,1,3
1498374073,1,0
1498377685,1,0
1498381285,1,0
1498388434,1,0
1498392032,1,1
1498395631,1,0
1498410029,1,2
1498413629,1,2
1498417228,0,2
1498420828,0,1
1498424429,0,2
1498431627,1,3
1498435229,1,2
1498438827,0,2
1498442428,8,2
1498446038,0,4
1498449628,1,0
1498453227,1,1
1498456829,0,2
1498460427,0,1
1498464027,0,1
1498471227,0,2
1498474827,0,2
1498482027,1,1
1498485629,1,1
1498489227,1,3
1498492827,1,0
1498500028,1,0
1498503628,0,1
1498507227,1,0
1498510827,1,0
1498514429,1,0
1498518027,2,1
1498521627,3,0
1498525228,0,5
1498528827,2,0
1498532428,0,2
1498536028,0,1
1498539627,0,1
1498543227,8,1
1498546827,2,0
1498550427,0,1
1498554028,1,2
1498557627,0,3
1498561228,1,1
1498564827,3,1
1498568428,1,2
1498572029,1,0
1498575627,2,3
1498579229,1,4
1498582828,1,1
1498586427,0,1
1498590026,1,0
1498593627,0,1
1498597227,1,2
1498604429,4,1
1498611627,0,1
1498618828,1,2
1498622429,0,2
1498626028,2,1
1498629629,1,0
1498636829,2,0
1498640428,1,0
1498644031,2,0
1498651228,0,1
1498654828,0,4
1498658428,2,3
1498665632,2,1
1498669227,0,2
1498672828,1,2
1498676428,2,0
1498680033,0,2
1498683628,1,3
1498687251,1,1
1498690827,2,1
1498694429,1,1
1498698027,0,1
1498701641,1,1
1498705227,1,2
1498712426,1,0
1498716034,2,1
1498719657,1,1
1498723227,1,1
1498726828,1,1
1498734037,0,2
1498741228,0,2
1498744827,1,1
1498748427,1,1
1498752029,0,1
1498755628,1,1
1498759228,1,2
1498762829,1,0
1498770030,0,1
1498773628,2,0
1498777228,0,1
1498784430,4,2
1498788029,0,1
1498791628,1,2
1498795226,1,0
1498798830,1,3
1498802427,2,0
1498806028,1,2
1498809628,1,0
1498813229,0,1
1498816827,2,0
1498820427,0,2
1498824027,1,0
1498827627,0,1
1498831226,1,0
1498834826,2,0
1498838427,2,0
1498842026,1,2
1498849226,0,1
1498852828,0,1
1498856428,1,1
1498860029,1,0
1498863627,1,2
1498867226,0,2
1498870828,2,1
1498874427,3,1
1498878027,1,1
1498885227,0,1
1498892430,1,1
1498896029,2,0
1498899628,1,0
1498903229,2,0
1498906828,3,2
1498910428,1,0
1498914029,1,1
