DateTime,AddedIPs,RemovedIPs
1493190006,1,0
1493218806,0,1
1493229605,1,0
1493244007,1,0
1493251207,1,1
1493254807,0,1
1493316056,2,3
1493323258,2,0
1493341255,0,1
1493380847,1,0
1493416842,0,1
1493431239,0,1
1493442042,0,1
1493452855,0,1
1493478052,0,1
1493481651,0,1
1493506845,0,1
1493532044,0,1
1493600454,1,0
1493618453,0,1
1493665252,1,0
1493686855,0,1
1493704858,0,2
1493766057,0,1
1493805654,0,1
1493827256,0,1
1493834457,0,2
1493884857,1,1
1493913657,1,0
1493920857,0,1
1493931655,0,2
1493938852,1,0
1493942459,0,1
1494028855,0,1
1494082835,1,0
1494100846,0,1
1494154854,1,0
1494183657,1,0
1494244860,1,0
1494255659,0,1
1494270058,0,1
1494345657,0,1
1494352858,1,0
1494385258,0,2
1494399657,1,0
1494428456,1,0
1494432056,0,1
1494442856,1,0
1494453658,0,1
1494464456,1,0
1494518462,0,1
1494529257,1,0
1494604805,0,1
1494633605,0,1
1494673204,1,0
1494676805,2,0
1494687605,0,1
1494727206,1,0
1494752406,1,0
1494788405,0,1
1494810006,2,0
1494817206,1,0
1494831608,0,1
1494838808,1,0
1494853207,0,1
1494885609,2,0
1494889209,1,0
1494957609,2,0
1494961207,1,0
1494968408,1,0
1494972008,1,0
1494975608,1,0
1495069207,1,1
1495072809,0,1
1495080008,1,0
1495087208,1,0
1495094408,1,0
1495105209,1,0
1495134008,0,1
1495188008,1,0
1495191608,1,0
1495242008,1,0
1495281608,1,0
1495299609,2,0
1495306809,1,0
1495364408,0,1
1495404010,1,0
1495407610,0,1
1495422011,0,1
1495450809,0,1
1495458008,0,1
1495486808,1,0
1495494008,2,0
1495504808,1,0
1495551610,0,1
1495555208,1,0
1495562408,0,2
1495566009,0,1
1495573209,0,1
1495576808,1,1
1495580408,0,1
1495612810,1,0
1495627210,1,0
1495630810,2,0
1495674010,0,1
1495702808,0,1
1495800008,0,1
1495832466,1,0
1495886454,1,0
1495936827,2,0
1495965609,1,0
1495976419,1,0
1495990819,0,1
1496005221,0,1
1496012419,0,1
1496016015,1,0
1496023214,1,0
1496037612,0,2
1496062809,0,1
1496088053,1,0
1496109663,0,1
1496138455,1,0
1496160047,1,0
1496167253,0,1
1496181651,0,1
1496188841,1,1
1496199650,1,0
1496206923,1,0
1496210461,1,0
1496217664,0,1
1496228463,1,0
1496235661,0,1
1496253661,2,0
1496278859,1,0
1496286052,1,0
1496296861,0,1
1496304059,1,0
1496307652,1,0
1496311251,1,0
1496336464,0,1
1496340063,1,0
1496343665,1,0
1496368868,1,0
1496372424,0,1
1496440809,0,1
1496451609,1,0
1496462410,1,0
1496466011,1,0
1496484010,1,0
1496487610,1,0
1496498410,1,0
1496512810,1,0
1496516411,1,0
1496552410,1,0
1496559611,1,0
1496570410,0,1
1496588410,1,0
1496595609,0,1
1496599210,0,1
1496613609,0,1
1496696410,0,1
1496743211,0,1
1496764812,0,1
1496775611,1,0
1496790010,0,1
1496804410,0,1
1496815209,1,0
1496818810,0,1
1496833211,0,1
1496858408,0,1
1496876410,1,0
1496883610,0,1
1496890812,0,2
1496901611,1,0
1496908810,0,1
1496916010,0,1
1496952008,1,4
1496966409,0,1
1496977210,2,1
1497056409,1,0
1497067210,0,1
1497070809,0,1
1497092410,0,3
1497096009,1,0
1497110409,0,1
1497124809,0,1
1497128410,1,0
1497139209,0,1
1497142809,0,1
1497164409,2,1
1497178813,0,1
1497186010,1,0
1497189612,1,1
1497204010,0,1
1497207610,1,0
1497214811,0,1
1497232811,1,0
1497254409,1,0
1497276009,17,1
1497301210,3,0
1497304809,1,0
1497312013,0,1
1497315612,3,0
1497362412,1,0
1497369611,1,1
1497380412,0,1
1497391210,1,0
1497405611,1,0
1497412810,1,0
1497420010,0,1
1497434412,8,1
1497438012,3,0
1497441614,3,0
1497445213,4,0
1497448814,1,0
1497456013,3,0
1497463213,1,0
1497477612,2,0
1497481211,0,1
1497484812,1,0
1497488413,3,0
1497495613,1,0
1497502812,1,0
1497506411,0,1
1497524414,1,0
1497549613,1,0
1497560415,1,0
1497571213,1,0
1497574812,1,0
1497585612,1,0
1497596411,0,1
1497603612,0,1
1497625214,0,1
1497636014,0,1
1497643214,1,0
1497661215,1,0
1497668415,1,0
1497700814,0,1
1497733213,0,1
1497769211,0,2
1497794412,0,1
1497848414,1,0
1497852011,1,1
1497877213,0,1
