DateTime,AddedIPs,RemovedIPs
1498594370,102,104
1498597979,107,104
1498601584,130,101
1498605175,76,126
1498608775,113,84
1498612509,93,100
1498615993,91,134
1498619563,103,95
1498623161,88,92
1498626761,107,96
1498630391,108,85
1498633975,94,96
1498637576,113,82
1498641172,101,96
1498644774,118,78
1498648390,182,109
1498651991,317,99
1498655602,251,106
1498659211,227,100
1498662823,258,88
1498666428,209,100
1498670028,212,92
1498673763,203,92
1498677245,187,92
1498680868,166,106
1498684471,176,114
1498688037,146,92
1498691652,149,82
1498695245,141,85
1498698884,140,75
1498702465,129,86
1498706051,120,65
1498709664,119,70
1498713276,103,71
1498716878,99,59
1498720472,115,67
1498724077,118,42
1498727679,109,61
1498731287,113,51
1498734877,125,72
1498738598,112,65
1498742113,123,62
1498745687,122,66
1498749290,112,60
1498752897,133,70
1498756504,131,84
1498760107,117,82
1498763704,106,106
1498767300,93,88
1498770914,107,82
1498774511,140,100
1498778103,96,96
1498781702,109,92
1498785309,104,104
1498788916,110,87
1498792509,107,92
1498796103,106,95
1498799706,93,110
1498803316,106,103
1498806929,109,109
1498810507,109,104
1498814131,102,106
1498817702,100,110
1498821304,98,95
1498824904,115,100
1498828524,100,69
1498832112,112,75
1498835708,103,83
1498839312,105,67
1498842931,136,66
1498846529,102,62
1498850122,108,68
1498853720,96,61
1498857334,109,62
1498860943,117,52
1498864533,112,42
1498868132,98,50
1498871777,89,71
1498875333,91,52
1498878932,75,50
1498882537,72,58
1498886155,63,51
1498889744,80,62
1498893366,55,55
1498896945,76,27
1498900544,65,36
1498904146,61,39
1498907765,60,61
1498911349,61,53
1498914941,67,51
1498918536,35,56
1498922155,62,44
1498925756,75,55
1498929348,52,47
1498932945,60,66
1498936552,62,45
1498940161,51,27
1498943755,51,28
1498947351,59,33
1498950953,35,38
1498954571,56,38
1498958164,51,32
1498961754,54,39
1498965354,46,35
1498968959,37,29
1498972566,43,26
1498976158,44,37
1498979877,45,32
1498983386,30,19
1498986985,37,34
1498990556,44,33
1498994154,32,29
1498997754,43,29
1499001376,42,37
1499004962,43,35
1499008558,52,35
1499012155,23,22
1499015765,47,29
1499019371,20,32
1499022959,37,44
1499026560,47,30
1499030166,29,22
1499033777,41,24
1499037367,34,46
1499040962,49,39
1499044562,50,37
1499048176,58,44
1499051773,36,33
1499055364,44,40
1499058964,43,25
1499062572,43,43
1499066173,34,26
1499069769,38,38
1499073368,71,38
1499076976,86,43
1499080583,87,39
1499084180,110,37
1499087778,89,38
1499091383,91,34
1499095012,96,44
1499098586,114,43
1499102186,109,40
1499105789,101,33
1499109422,95,43
1499112993,83,65
1499116594,101,65
1499120199,104,65
1499123817,70,58
1499127407,69,71
1499130998,82,74
1499134603,95,84
1499138211,88,81
1499141814,93,71
1499145405,89,88
1499148999,90,82
1499152606,97,85
1499156217,94,84
1499159810,130,82
1499163409,128,79
1499167013,128,57
1499170627,136,84
1499174227,131,80
1499177821,130,98
1499181420,103,108
1499185028,129,112
1499188632,106,82
1499192225,116,111
1499195822,115,107
1499199428,105,96
1499203032,142,117
1499206626,95,106
1499210228,104,78
1499213838,91,111
1499217435,102,85
1499221056,116,92
1499224622,103,102
1499228222,87,85
1499231824,108,94
1499235443,92,85
1499239032,102,94
1499242625,96,95
1499246225,123,109
1499249835,107,114
1499253439,110,134
1499257023,105,152
1499260652,104,158
1499264216,109,170
1499267811,123,200
1499271406,86,183
1499275026,104,172
1499278608,95,165
1499282193,121,183
1499285797,115,161
1499289401,108,202
1499293001,108,196
1499296581,94,191
1499300174,117,228
1499303774,91,243
1499307375,128,252
1499310960,115,206
1499314549,108,174
1499318151,102,115
1499321764,104,104
1499325359,115,126
1499328955,110,103
1499332552,127,111
1499336154,104,92
1499339762,125,114
1499343362,124,108
1499346979,117,113
1499350550,125,111
1499354150,118,92
1499357758,183,116
1499361376,155,123
1499364969,173,111
1499368562,136,105
1499372164,131,90
1499375780,154,104
1499379382,157,113
1499382972,123,89
1499386571,143,113
1499390191,300,111
1499393795,118,110
1499397386,101,104
1499400983,103,100
1499404585,119,104
1499408200,123,97
1499411793,99,105
1499415389,122,96
1499418989,115,106
1499422598,137,101
1499426202,122,91
1499429796,145,109
1499433400,121,117
1499437000,109,108
1499440605,120,96
1499444200,106,109
1499447798,133,131
1499451401,134,119
1499455006,121,98
1499458605,115,92
1499462202,113,115
1499465803,112,117
1499469403,114,100
1499473009,120,103
1499476610,113,93
1499480203,106,67
1499483806,118,76
1499487410,127,69
1499491011,114,71
1499494612,114,78
1499498217,109,70
1499501825,127,69
1499505423,125,55
1499509025,144,75
1499512629,106,55
1499516236,133,68
1499519840,91,59
1499523436,97,47
1499527038,108,67
1499530643,110,82
1499534245,108,74
1499537844,117,71
1499541444,111,63
1499545049,113,65
1499548656,111,55
1499552254,101,65
1499555855,104,44
1499559460,115,69
1499563065,99,48
1499566663,122,56
1499570267,116,56
1499573870,117,41
1499577477,98,46
1499581078,79,50
1499584680,118,52
1499588281,100,40
1499591886,112,44
1499595498,94,53
1499599096,123,39
1499606323,208,98
1499609894,102,51
1499613496,120,57
1499617101,103,40
1499620725,103,48
1499624317,106,34
1499627912,98,44
1499631514,104,50
1499635129,102,50
1499638734,107,45
1499642325,113,47
1499645927,86,53
1499649537,118,50
1499653146,103,63
1499656739,95,47
1499660334,65,40
1499663938,103,49
1499667553,89,47
1499671150,99,44
1499674745,81,45
1499678346,103,68
1499681957,92,81
1499685564,113,90
1499689160,243,99
1499692772,362,78
1499696381,169,92
1499699987,93,95
1499703582,101,114
1499707175,111,124
1499710783,113,102
1499714533,120,85
1499717994,112,90
1499721579,110,96
1499725181,112,98
1499728778,72,75
1499735996,192,154
1499739575,82,101
1499743178,87,72
1499746783,103,81
1499750408,101,82
1499753984,91,85
1499757579,97,83
1499761187,101,80
1499764808,105,113
1499768390,114,129
1499771989,105,111
1499775590,117,149
1499779234,365,112
1499782806,302,116
1499786411,172,90
1499790013,124,115
1499793623,113,100
1499797226,126,109
1499800817,98,122
1499804415,105,100
1499808026,117,138
1499811625,107,95
1499815212,97,106
1499818809,100,88
1499822416,87,95
1499826027,107,107
1499829620,99,102
1499833214,87,93
1499836799,98,107
1499840412,87,83
1499844006,118,108
1499847619,110,101
1499851196,101,125
1499854811,150,101
1499858424,285,117
1499862023,281,110
1499865725,133,114
1499869219,104,112
1499872826,109,126
1499876418,100,92
1499880042,94,111
1499883628,98,96
1499887219,106,117
1499890818,108,102
1499894432,99,104
1499898038,108,97
1499901749,110,89
1499905253,114,118
1499908837,100,89
1499912416,91,149
1499916015,86,112
1499919659,99,108
1499923235,127,92
1499926813,95,95
1499930418,106,102
1499934033,108,121
1499937646,104,105
1499941213,101,113
1499944812,155,118
1499948423,150,135
1499952052,158,104
1499955644,123,126
1499959220,124,117
1499962829,142,134
1499966436,143,123
1499970025,120,149
1499973757,123,125
1499977223,112,119
1499980814,100,122
1499984413,106,137
1499988031,118,103
1499991639,155,104
1499995215,105,166
1499998834,122,123
1500002443,105,104
1500006057,105,82
1500009637,118,115
1500023977,66,103
1500027607,330,435
1500031200,106,115
1500034886,123,135
1500038429,101,91
1500042007,134,116
1500045608,141,125
1500049211,139,110
1500052836,115,112
1500056413,113,118
1500060110,108,112
1500063612,119,120
1500067209,130,125
1500070808,110,127
1500074420,94,114
1500078026,79,116
1500081607,100,102
1500085205,121,103
1500088813,113,116
1500092425,94,132
1500096010,95,106
1500099602,115,108
1500103203,102,112
1500106817,86,118
1500110410,95,122
1500113999,99,140
1500117597,91,99
1500121205,89,145
1500124807,94,89
1500128397,87,106
1500131994,105,116
1500135598,100,106
1500139205,95,102
1500142798,133,114
1500146501,129,107
1500153590,188,209
1500157191,89,108
1500160794,70,96
1500164418,76,113
1500167994,74,102
1500171585,83,134
1500175184,80,113
1500178802,74,116
1500182392,78,105
1500185977,69,98
1500189577,89,118
1500193185,90,105
1500196787,92,113
1500200375,104,94
1500203972,99,126
1500207578,97,112
1500211185,88,113
1500214777,76,93
1500218370,88,126
1500221973,91,113
1500225585,84,109
1500229177,83,105
1500232768,107,94
1500236368,86,95
1500239979,94,98
1500243575,86,104
1500247170,94,114
1500250765,70,100
1500254370,90,118
1500257974,75,109
1500261565,61,102
1500265161,78,77
1500268761,77,96
1500272366,71,106
1500275965,87,105
1500279558,99,82
1500283157,103,98
1500286764,94,94
1500290364,90,125
1500293954,108,163
1500297548,90,240
1500301173,93,152
1500304742,102,97
1500308339,84,97
1500311946,82,105
1500315569,99,116
1500319151,77,106
1500322744,102,106
1500326342,89,115
1500329956,96,110
1500333559,94,90
1500337144,111,95
1500340741,80,104
1500344345,67,84
1500347956,73,86
1500351545,107,109
1500355138,84,89
1500358742,107,87
1500362353,91,96
1500365946,86,96
1500369539,91,111
1500373137,87,107
1500376744,99,120
1500380346,85,118
1500384028,20,127
1500387539,199,533
1500391108,94,199
1500394741,77,104
1500398302,91,118
1500401903,89,128
1500405587,97,99
1500409114,97,109
1500412699,80,121
