DateTime,AddedIPs,RemovedIPs
1498608786,99,70
1498612520,80,79
1498615979,86,103
1498619575,92,84
1498623173,76,81
1498626773,97,91
1498630377,96,77
1498633961,88,82
1498637562,106,71
1498641158,93,80
1498644786,112,69
1498648376,166,102
1498651977,303,84
1498655588,242,91
1498659196,215,93
1498662808,239,74
1498666414,204,90
1498670011,200,81
1498673748,193,83
1498677227,175,84
1498680846,155,94
1498684447,160,90
1498688048,136,80
1498691637,137,69
1498695258,125,73
1498698869,125,61
1498702449,122,81
1498706065,113,53
1498709648,99,56
1498713261,86,57
1498716860,92,50
1498720456,96,55
1498724061,100,35
1498727663,99,52
1498731271,102,41
1498734890,113,58
1498738578,99,56
1498742088,103,47
1498745671,112,52
1498749274,102,49
1498752880,118,65
1498756519,120,81
1498760091,111,75
1498763687,96,94
1498767284,85,80
1498770897,95,76
1498774492,123,86
1498778086,91,85
1498781685,96,82
1498785292,99,94
1498788895,96,78
1498792486,89,87
1498796083,93,93
1498799686,85,103
1498803297,100,91
1498806902,96,102
1498810490,106,89
1498814107,91,98
1498817685,88,100
1498821286,91,85
1498824886,109,90
1498828507,89,59
1498832095,97,71
1498835691,94,68
1498839294,94,57
1498842914,118,58
1498846512,89,52
1498850105,97,57
1498853703,84,52
1498857318,94,53
1498860927,99,51
1498864514,99,38
1498868114,93,41
1498871735,84,67
1498875309,76,40
1498878910,65,44
1498882515,61,47
1498886138,60,49
1498889726,70,50
1498893344,48,51
1498896927,61,24
1498900527,54,34
1498904130,50,34
1498907748,46,52
1498911328,50,36
1498914924,51,36
1498918518,31,50
1498922129,50,35
1498925730,52,46
1498929328,44,42
1498932927,44,55
1498936533,43,35
1498940142,37,19
1498943733,37,22
1498947330,48,22
1498950931,25,30
1498954545,47,27
1498958138,34,25
1498961732,44,33
1498965331,39,26
1498968938,27,22
1498972544,36,20
1498976133,29,26
1498979851,37,27
1498983358,19,14
1498986954,29,27
1498990530,27,21
1498994128,19,26
1498997725,28,24
1499001345,33,34
1499004928,17,27
1499008525,29,16
1499012122,16,19
1499015736,24,23
1499019341,14,23
1499022930,22,29
1499026528,30,20
1499030136,26,20
1499033749,34,19
1499037334,23,30
1499040937,32,34
1499044530,35,30
1499048147,44,32
1499051740,24,21
1499055331,33,29
1499058933,36,19
1499062541,33,26
1499066144,30,20
1499069743,30,29
1499073341,47,33
1499076951,59,32
1499080557,77,24
1499084152,88,23
1499087750,70,28
1499091351,80,25
1499094969,81,33
1499098554,84,35
1499102155,89,27
1499105756,85,28
1499109379,80,37
1499112961,77,51
1499116564,83,50
1499120164,91,60
1499123785,67,47
1499127365,63,63
1499130962,74,62
1499134566,82,80
1499138172,73,75
1499141774,84,60
1499145370,80,82
1499148973,79,73
1499152574,91,72
1499156188,83,75
1499159782,122,68
1499163387,115,71
1499166985,117,46
1499170596,114,73
1499174189,120,69
1499177788,119,86
1499181390,88,91
1499184995,112,101
1499188600,91,73
1499192190,93,95
1499195789,107,84
1499199398,100,75
1499203004,126,91
1499206596,85,97
1499210194,92,71
1499213806,78,96
1499217404,94,76
1499221017,108,85
1499224592,86,88
1499228187,76,68
1499231789,99,84
1499235412,81,79
1499238992,87,87
1499242588,94,84
1499246188,106,96
1499249800,95,109
1499253398,103,117
1499256984,90,142
1499260608,96,147
1499264183,102,158
1499267777,119,180
1499271376,71,173
1499274990,94,167
1499278571,82,156
1499282169,112,173
1499285767,95,142
1499289377,91,185
1499292965,99,181
1499296554,85,183
1499300145,102,219
1499303743,75,236
1499307345,109,247
1499310922,105,199
1499314519,97,151
1499318116,100,98
1499321730,92,90
1499325323,109,98
1499328916,104,85
1499332518,107,96
1499336124,87,82
1499339729,116,101
1499343323,108,90
1499346946,106,99
1499350521,109,99
1499354120,110,83
1499357727,141,100
1499361348,121,113
1499364935,145,107
1499368531,115,97
1499372132,108,80
1499375746,127,98
1499379345,135,97
1499382937,111,78
1499386533,133,101
1499390158,280,99
1499393759,102,95
1499397345,91,88
1499400940,94,91
1499404552,103,96
1499408163,104,89
1499411754,89,92
1499415357,104,89
1499418957,102,94
1499422569,130,90
1499426170,116,88
1499429768,138,100
1499433363,109,105
1499436968,96,95
1499440571,102,84
1499444162,95,98
1499447766,117,111
1499451369,116,108
1499454971,99,91
1499458572,102,78
1499462168,104,99
1499465772,102,96
1499469370,105,88
1499472974,109,96
1499476576,103,83
1499480168,98,58
1499483770,114,65
1499487374,114,60
1499490972,106,67
1499494570,108,63
1499498183,101,64
1499501781,116,56
1499505384,114,47
1499508990,140,63
1499512604,96,41
1499516204,122,58
1499519812,88,47
1499523402,90,42
1499527002,98,54
1499530609,107,63
1499534213,99,63
1499537813,110,56
1499541414,106,47
1499545016,92,54
1499548621,100,37
1499552221,92,52
1499555822,94,37
1499559727,109,56
1499563380,93,32
1499566925,112,51
1499570232,105,49
1499573836,103,31
1499577445,90,42
1499581043,73,39
1499584648,110,42
1499588250,94,30
1499591854,99,37
1499595469,85,39
1499599061,110,31
1499602816,105,35
1499606284,90,40
1499609859,91,28
1499613466,106,37
1499617069,88,32
1499620697,94,28
1499624286,97,23
1499627883,87,28
1499631491,93,31
1499635102,89,38
1499638704,98,35
1499642301,100,34
1499645899,79,37
1499649511,113,39
1499653114,97,49
1499656708,92,33
1499660302,61,30
1499663909,105,41
1499667528,81,37
1499671124,94,35
1499674720,74,40
1499678325,96,54
1499681933,85,64
1499685536,104,79
1499689131,219,82
1499692750,352,61
1499696354,159,79
1499699962,90,69
1499703553,91,84
1499707152,103,88
1499710762,101,83
1499717968,203,152
1499721557,104,83
1499725159,107,85
1499728754,67,70
1499735966,176,140
1499739553,77,88
1499743152,82,61
1499746758,94,67
1499750375,95,70
1499753958,82,69
1499757556,92,74
1499761165,91,69
1499764786,101,103
1499768368,107,115
1499771971,95,102
1499775571,104,129
1499779201,355,97
1499782783,291,106
1499786389,156,78
1499789990,115,99
1499793643,102,85
1499797204,122,91
1499800795,91,114
1499804393,97,89
1499808003,107,122
1499811601,99,87
1499815189,91,95
1499818786,87,74
1499822393,83,89
1499826000,97,100
1499829598,93,81
1499833192,82,80
1499836823,95,103
1499840432,82,72
1499844026,103,94
1499847597,102,93
1499851216,88,109
1499854831,142,91
1499858444,284,112
1499862044,277,93
1499865653,121,105
1499869240,99,105
1499872847,100,120
1499876444,88,79
1499880066,86,94
1499883648,88,85
1499887238,93,103
1499890838,99,89
1499894452,91,87
1499898058,102,89
1499901770,98,79
1499905230,103,102
1499908815,89,75
1499912436,88,128
1499916036,79,102
1499919639,96,99
1499923213,117,88
1499926833,90,84
1499930436,99,93
1499934054,113,116
1499937623,104,96
1499941234,98,95
1499944832,143,111
1499948444,145,119
1499952030,144,96
1499955623,114,105
1499959240,117,105
1499962850,137,121
1499966456,136,104
1499970046,115,132
1499973778,118,109
1499977244,106,103
1499980835,93,104
1499984434,103,126
1499988051,113,97
1499991659,148,98
1499995235,101,153
1499998815,113,103
1500002420,102,94
1500006035,99,77
1500009614,111,107
1500023857,59,88
1500027627,229,386
