DateTime,Entries,UniqueIPs
1498579963,11695,11695
1498583564,11652,11652
1498587176,11649,11649
1498590765,11626,11626
1498594382,11615,11615
1498597966,11620,11620
1498601571,11648,11648
1498605187,11617,11617
1498608786,11646,11646
1498612520,11647,11647
1498615979,11630,11630
1498619575,11638,11638
1498623173,11633,11633
1498626773,11639,11639
1498630377,11658,11658
1498633961,11664,11664
1498637562,11699,11699
1498641158,11712,11712
1498644786,11755,11755
1498648376,11819,11819
1498651977,12038,12038
1498655588,12189,12189
1498659196,12311,12311
1498662808,12476,12476
1498666414,12590,12590
1498670011,12709,12709
1498673748,12819,12819
1498677227,12910,12910
1498680846,12971,12971
1498684447,13041,13041
1498688048,13097,13097
1498691637,13165,13165
1498695258,13217,13217
1498698869,13281,13281
1498702449,13322,13322
1498706065,13382,13382
1498709648,13425,13425
1498713261,13454,13454
1498716860,13496,13496
1498720456,13537,13537
1498724061,13602,13602
1498727663,13649,13649
1498731271,13710,13710
1498734890,13765,13765
1498738578,13808,13808
1498742088,13864,13864
1498745671,13924,13924
1498749274,13977,13977
1498752880,14030,14030
1498756519,14069,14069
1498760091,14105,14105
1498763687,14107,14107
1498767284,14112,14112
1498770897,14131,14131
1498774492,14168,14168
1498778086,14174,14174
1498781685,14188,14188
1498785292,14193,14193
1498788895,14211,14211
1498792486,14213,14213
1498796083,14213,14213
1498799686,14195,14195
1498803297,14204,14204
1498806902,14198,14198
1498810490,14215,14215
1498814107,14208,14208
1498817685,14196,14196
1498821286,14202,14202
1498824886,14221,14221
1498828507,14251,14251
1498832095,14277,14277
1498835691,14303,14303
1498839294,14340,14340
1498842914,14400,14400
1498846512,14437,14437
1498850105,14477,14477
1498853703,14509,14509
1498857318,14550,14550
1498860927,14598,14598
1498864514,14659,14659
1498868114,14711,14711
1498871735,14728,14728
1498875309,14764,14764
1498878910,14785,14785
1498882515,14799,14799
1498886138,14810,14810
1498889726,14830,14830
1498893344,14827,14827
1498896927,14864,14864
1498900527,14884,14884
1498904130,14900,14900
1498907748,14894,14894
1498911328,14908,14908
1498914924,14923,14923
1498918518,14904,14904
1498922129,14919,14919
1498925730,14925,14925
1498929328,14927,14927
1498932927,14916,14916
1498936533,14924,14924
1498940142,14942,14942
1498943733,14957,14957
1498947330,14983,14983
1498950931,14978,14978
1498954545,14998,14998
1498958138,15007,15007
1498961732,15018,15018
1498965331,15031,15031
1498968938,15036,15036
1498972544,15052,15052
1498976133,15055,15055
1498979851,15065,15065
1498983358,15070,15070
1498986954,15072,15072
1498990530,15078,15078
1498994128,15071,15071
1498997725,15075,15075
1499001345,15074,15074
1499004928,15064,15064
1499008525,15077,15077
1499012122,15074,15074
1499015736,15075,15075
1499019341,15066,15066
1499022930,15059,15059
1499026528,15069,15069
1499030136,15075,15075
1499033749,15090,15090
1499037334,15083,15083
1499040937,15081,15081
1499044530,15086,15086
1499048147,15098,15098
1499051740,15101,15101
1499055331,15105,15105
1499058933,15122,15122
1499062541,15129,15129
1499066144,15139,15139
1499069743,15140,15140
1499073341,15154,15154
1499076951,15181,15181
1499080557,15234,15234
1499084152,15299,15299
1499087750,15341,15341
1499091351,15396,15396
1499094969,15444,15444
1499098554,15493,15493
1499102155,15555,15555
1499105756,15612,15612
1499109379,15655,15655
1499112961,15681,15681
1499116564,15714,15714
1499120164,15745,15745
1499123785,15765,15765
1499127365,15765,15765
1499130962,15777,15777
1499134566,15779,15779
1499138172,15777,15777
1499141774,15801,15801
1499145370,15799,15799
1499148973,15805,15805
1499152574,15824,15824
1499156188,15832,15832
1499159782,15886,15886
1499163387,15930,15930
1499166985,16001,16001
1499170596,16042,16042
1499174189,16093,16093
1499177788,16126,16126
1499181390,16123,16123
1499184995,16134,16134
1499188600,16152,16152
1499192190,16150,16150
1499195789,16173,16173
1499199398,16198,16198
1499203004,16233,16233
1499206596,16221,16221
1499210194,16242,16242
1499213806,16224,16224
1499217404,16242,16242
1499221017,16265,16265
1499224592,16263,16263
1499228187,16271,16271
1499231789,16286,16286
1499235412,16288,16288
1499238992,16288,16288
1499242588,16298,16298
1499246188,16308,16308
1499249800,16294,16294
1499253398,16280,16280
1499256984,16228,16228
1499260608,16177,16177
1499264183,16121,16121
1499267777,16060,16060
1499271376,15958,15958
1499274990,15885,15885
1499278571,15811,15811
