DateTime,AddedIPs,RemovedIPs
1498489244,0,3
1498492861,3,3
1498496457,0,1
1498500044,4,1
1498503664,2,4
1498507244,3,0
1498510844,1,3
1498514445,1,4
1498518044,1,2
1498521646,2,2
1498525243,4,0
1498528844,1,3
1498532444,0,3
1498536043,0,1
1498539644,0,2
1498543244,3,2
1498546844,1,1
1498550443,0,2
1498554043,2,3
1498557645,5,1
1498561255,3,3
1498564843,2,5
1498568443,1,2
1498572043,2,3
1498575644,3,3
1498579252,0,4
1498582846,2,1
1498586444,3,1
1498590043,2,2
1498593650,0,3
1498597246,1,1
1498604444,3,3
1498608048,3,4
1498611645,3,0
1498618844,0,4
1498626044,1,1
1498629646,0,2
1498633245,1,4
1498636861,1,2
1498640443,1,15
1498644059,2,7
1498647644,4,2
1498651243,2,1
1498654861,1,2
1498658442,1,3
1498662060,1,1
1498665642,0,2
1498669242,0,1
1498672842,1,6
1498676446,3,3
1498680045,0,8
1498683643,1,1
1498687251,0,4
1498690842,2,2
1498694441,0,3
1498698042,1,1
1498701642,0,1
1498705241,1,1
1498708841,2,1
1498716042,3,1
1498723241,1,4
1498726841,1,4
1498730448,1,1
1498734041,0,3
1498737641,2,0
1498741242,0,1
1498744840,0,1
1498748442,0,3
1498752042,3,1
1498755641,1,3
1498759252,1,1
1498762842,2,4
1498766440,0,1
1498770050,1,1
1498773642,0,2
1498777242,3,4
1498780841,1,3
1498784442,1,2
1498788042,1,1
1498791642,0,2
1498795240,0,3
1498798841,2,3
1498802441,1,2
1498806059,2,4
1498809640,1,3
1498813240,0,27
1498816846,0,2
1498820438,3,1
1498824044,3,1
1498827640,1,6
1498831253,2,8
1498834853,0,2
1498838438,1,3
1498842039,0,3
1498845639,3,6
1498849238,1,1
1498852849,1,21
1498856437,0,4
1498860038,1,2
1498863645,3,1
1498867236,0,2
1498870839,1,1
1498878037,2,3
1498881636,2,1
1498885257,2,0
1498888846,1,2
1498892439,1,0
1498899637,1,4
1498903237,0,2
1498906838,4,1
1498910437,1,1
1498914038,3,1
1498917639,0,3
1498921241,0,1
1498924861,1,0
1498928437,1,3
1498932037,1,2
1498935642,0,2
1498939237,1,2
1498942838,5,3
1498946436,2,2
1498950036,2,0
1498953636,1,2
1498957248,1,0
1498964438,0,2
1498971637,1,1
1498975248,2,2
1498978838,2,1
1498982439,1,2
1498986037,3,0
1498989637,1,1
1498993240,3,0
1499000439,1,1
1499004037,1,2
1499007638,1,3
1499011237,2,6
1499014849,1,1
1499018440,4,0
1499022038,0,2
1499025636,0,2
1499029241,3,5
1499032838,3,1
1499036437,0,3
1499040038,3,1
1499050837,3,0
1499054436,2,2
1499058038,2,1
1499068837,1,1
1499072437,0,5
1499076038,1,0
1499079639,1,2
1499083239,0,6
1499086837,5,1
1499090438,4,0
1499094039,2,0
1499097638,3,2
1499101237,0,2
1499104838,13,6
1499108447,33,4
1499112040,30,1
1499115642,22,2
1499119242,2,2
1499122858,1,2
1499126443,2,1
1499130053,4,2
1499133648,0,1
1499137243,2,0
1499140857,0,1
1499144443,1,1
1499148057,1,5
1499151646,36,1
1499155254,2,0
1499158844,0,2
1499162445,2,4
1499166048,3,5
1499169644,1,1
1499173245,2,2
1499176843,0,1
1499180444,1,2
1499184044,2,0
1499187659,3,5
1499191250,1,2
1499194843,1,2
1499198445,3,0
1499205658,1,1
1499209245,2,1
1499212855,1,5
1499216443,1,3
1499220046,0,1
1499223646,2,1
1499227244,2,1
1499230845,5,1
1499234445,1,0
1499238044,1,1
1499241655,0,1
1499245244,2,1
1499248860,5,0
1499252445,2,4
1499256045,0,4
1499259646,2,2
1499263245,1,0
1499266845,1,3
1499270444,2,0
1499274045,2,0
1499277645,2,2
1499281246,0,2
1499284846,1,1
1499288445,2,1
1499292046,2,0
1499295644,1,0
1499299254,1,0
1499302845,2,2
1499310046,2,1
1499313648,0,1
1499317252,0,1
1499320846,0,1
1499324445,2,2
1499328044,0,1
1499331645,2,0
1499335248,1,2
1499338844,1,1
1499342445,2,2
1499346040,0,1
1499349658,1,1
1499353258,3,1
1499356842,6,1
1499360451,25,1
1499364041,0,1
1499367645,1,3
1499371242,0,1
1499374857,2,1
1499378446,2,0
1499382050,3,2
1499385651,0,2
1499389247,0,5
1499392857,0,1
1499396450,1,0
1499403651,2,1
