DateTime,Entries,UniqueIPs
1498667762,6824,6824
1498671603,6846,6846
1498675443,6848,6848
1498679282,6836,6836
1498683122,6823,6823
1498687212,6813,6813
1498689124,6776,6776
1498692962,6772,6772
1498696802,6767,6767
1498700642,6777,6777
1498704723,6758,6758
1498708563,6743,6743
1498710723,6730,6730
1498714562,6753,6753
1498718403,6754,6754
1498722242,6759,6759
1498726082,6760,6760
1498728724,6768,6768
1498732563,6772,6772
1498736404,6784,6784
1498740243,6798,6798
1498744083,6800,6800
1498747923,6804,6804
1498751765,6825,6825
1498755607,6825,6825
1498757522,6851,6851
1498761362,6847,6847
1498765203,6822,6822
1498769042,6823,6823
1498772882,6814,6814
1498776723,6788,6788
1498780563,6771,6771
1498784882,6759,6759
1498786803,6758,6758
1498790883,6745,6745
1498794722,6748,6748
1498798563,6732,6732
1498802405,6756,6756
1498806243,6758,6758
1498808402,6783,6783
1498812242,6792,6792
1498816082,6781,6781
1498819922,6771,6771
1498823763,6797,6797
1498827611,6806,6806
1498829524,6825,6825
1498833363,6820,6820
1498837205,6834,6834
1498841043,6823,6823
1498844885,6835,6835
1498848723,6837,6837
1498852564,6837,6837
1498854484,6821,6821
1498856407,6823,6823
1498858322,6812,6812
1498862162,6786,6786
1498866002,6818,6818
1498869842,6812,6812
1498873682,6845,6845
1498877522,6817,6817
1498881363,6831,6831
1498883524,6811,6811
1498887604,6839,6839
1498891442,6848,6848
1498895282,6862,6862
1498899122,6885,6885
1498901043,6862,6862
1498904883,6891,6891
1498906804,6862,6862
1498908722,6909,6909
1498912804,6920,6920
1498914722,6938,6938
1498916643,6920,6920
1498918563,6938,6938
1498920482,6929,6929
1498924322,6943,6943
1498928164,6960,6960
1498932006,6953,6953
1498933922,276,276
1498935843,6946,6946
1498939684,6925,6925
1498945443,6890,6890
1498949282,6870,6870
1498953122,6891,6891
1498955283,6890,6890
1498957204,6878,6878
1498959122,6867,6867
1498964884,6858,6858
1498966804,6855,6855
1498970642,6853,6853
1498974482,6876,6876
1498978322,6872,6872
1498982163,6896,6896
1498986011,6887,6887
1498987923,6883,6883
1498991762,6912,6912
1498995603,6917,6917
1498999683,6922,6922
1499003522,6949,6949
1499009283,6948,6948
1499011212,6949,6949
1499013363,6925,6925
1499017202,6925,6925
1499021042,6943,6943
1499025123,6931,6931
1499028963,6921,6921
1499032812,6892,6892
1499036642,6878,6878
1499038562,6880,6880
1499042402,6854,6854
1499046242,6850,6850
1499050082,6836,6836
1499053922,6816,6816
1499057763,6806,6806
1499061614,6812,6812
1499065442,6816,6816
1499067362,6812,6812
1499071202,6823,6823
1499075282,6838,6838
1499079122,6845,6845
1499085122,6837,6837
1499087283,6842,6842
1499089203,6833,6833
1499093042,6840,6840
1499094962,6845,6845
1499096882,6844,6844
1499100722,6883,6883
1499104807,6908,6908
1499106722,6892,6892
1499112484,6901,6901
1499114404,6889,6889
1499116323,6880,6880
1499122082,6854,6854
1499125922,6867,6867
1499129764,6846,6846
1499135522,6820,6820
1499139362,6807,6807
1499143203,6832,6832
1499149203,6849,6849
1499151123,6871,6871
1499154963,6849,6849
1499156884,6882,6882
1499160722,6877,6877
1499164562,6875,6875
1499170563,6880,6880
1499172482,6888,6888
1499176322,6896,6896
1499180406,6895,6895
1499182322,6904,6904
1499188324,6897,6897
1499194324,6913,6913
1499198163,6895,6895
1499202013,6901,6901
1499203923,6868,6868
1499208002,6849,6849
1499211843,6868,6868
1499215682,6861,6861
1499219522,6849,6849
1499223607,6827,6827
1499225522,6812,6812
1499229602,6809,6809
1499233443,6831,6831
1499237282,6851,6851
1499241122,6861,6861
1499244963,6850,6850
1499248807,6855,6855
1499250724,6871,6871
1499254562,6871,6871
1499260323,6893,6893
1499264163,6895,6895
1499266082,6894,6894
1499268004,6895,6895
1499269922,6892,6892
1499273763,6909,6909
1499277843,6928,6928
1499279762,6926,6926
1499281682,6941,6941
1499287442,6938,6938
1499293202,6904,6904
1499297043,6893,6893
1499298963,6906,6906
1499303043,6876,6876
1499304963,6883,6883
1499308803,6874,6874
1499310723,6850,6850
1499312642,6883,6883
1499314802,6850,6850
1499316722,6857,6857
1499320563,6871,6871
1499326322,6874,6874
1499328242,6874,6874
1499330163,6865,6865
1499334002,6871,6871
1499337843,6879,6879
1499341682,6884,6884
1499345521,6879,6879
1499349364,6833,6833
1499353205,6851,6851
1499355121,6855,6855
1499358963,6871,6871
1499362802,6885,6885
1499368564,6888,6888
1499370483,6887,6887
1499374323,6891,6891
1499378163,6872,6872
1499382010,6828,6828
1499384165,6843,6843
1499389922,6817,6817
1499391844,6778,6778
1499395685,6798,6798
1499401683,6801,6801
1499403613,6769,6769
1499405523,6783,6783
1499409362,6792,6792
1499411285,6783,6783
1499413203,6799,6799
1499417043,6806,6806
1499420884,6809,6809
1499424722,6828,6828
1499428563,6833,6833
1499430724,6830,6830
1499432642,6828,6828
1499434564,6844,6844
1499438406,6852,6852
1499442244,6854,6854
1499446083,6859,6859
1499449925,6862,6862
1499454010,6863,6863
1499455924,6875,6875
1499457842,6861,6861
1499463602,6846,6846
1499467442,6834,6834
1499471522,6840,6840
1499473444,6834,6834
1499475365,6820,6820
1499479208,6808,6808
1499483042,6809,6809
1499486882,6794,6794
1499488804,6758,6758
1499492644,6794,6794
1499494563,6769,6769
1499496483,6779,6779
1499500324,6794,6794
1499504164,6787,6787
1499508017,6793,6793
1499509923,6811,6811
